2530,5,4,15490,10120379,
2540,8,8,61492,62559425,
2550,8,7,60032,62562174,
2560,45,43,49708,51942846,
2570,0,0,2910,0,
2580,0,0,2601,0,
2590,0,0,23356,20252107,
2600,0,0,121575,125316306,
2610,8,8,116300,125048024,
2620,7,5,100419,104072561,
2630,4,3,2725,0,
2640,4,3,2617,0,
2650,7,6,40426,40395543,
2660,59,20,224626,250629068,
2670,0,43,218279,250221797,
2680,0,0,197719,208077037,
2690,6,0,2580,0,
2700,2,8,2654,0,
2710,13,7,118524,118414255,
2720,67,76,599619,627506302,
2730,26,19,568525,624127580,
2740,58,69,481062,517506084,
2750,0,0,2724,0,
2760,0,0,2211,0,
2770,8,0,192757,205794515,
2780,81,82,1168893,1253121491,
2790,76,91,1115111,1250425053,
2800,58,43,1002479,1043998243,
2810,40,3,2683,0,
2820,0,41,2674,0,
2830,0,0,319029,337358110,
2840,89,84,1826504,1868424842,
2850,100,100,1745587,1774544519,
2860,79,84,1296752,1315704119,
2870,4,3,2744,0,
2880,4,3,2807,0,
2890,4,3,2720,15,
2900,4,3,2561,0,
2910,4,3,2529,0,
2920,4,3,2720,0,
2930,5,3,2881,0,
2940,4,3,2578,0,
2950,4,3,2749,10,
2960,41,3,2688,0,
2970,0,3,2324,0,
2980,0,40,2839,0,
2990,0,0,2620,0,
3000,0,0,2495,0,
3010,0,0,2745,10,
3020,0,0,2684,0,
3030,0,0,9403,7143289,
3040,10,0,15652,12499940,
3050,0,0,15381,12530420,
3060,2,0,7863,5271648,
3070,4,0,2559,17,
3080,4,8,2768,0,
3090,6,0,18413,14246721,
3100,5,5,31005,25201598,
3110,6,6,27486,25029458,
3120,6,5,13235,10521827,
3130,4,3,2584,17,
3140,42,3,2734,0,
3150,0,6,41102,35442849,
3160,0,8,63107,62328401,
3170,0,7,60438,63130708,
3180,0,40,27631,26291337,
3190,8,0,2660,17,
3200,0,0,2765,0,
3210,7,0,73208,71606553,
3220,13,0,125960,124854572,
3230,12,10,125113,125143523,
3240,48,9,54806,52148282,
3250,0,3,2566,17,
3260,0,3,2722,0,
3270,0,15,143059,142309726,
3280,7,44,224803,251267829,
3290,19,0,227859,250052984,
3300,13,9,104076,106090682,
3310,5,2,2709,16,
3320,4,4,2572,0,
3330,41,24,293090,357634669,
3340,32,48,590290,625169419,
3350,50,42,580217,627004242,
3360,12,41,237460,264965124,
3370,4,0,2736,10,
3380,4,0,2080,0,
3390,58,29,654816,715905063,
3400,99,88,1234752,1246738449,
3410,69,95,1266577,1254540776,
3420,41,43,545805,532536157,
3430,4,2,2692,17,
3440,4,3,2349,0,
3450,58,81,872047,874142720,
3460,87,84,1546359,1547829380,
3470,96,100,1606359,1637251940,
3480,59,73,645232,651183477,
3490,0,0,2779,17,
3500,0,0,2579,0,
3510,0,0,2568,0,
3520,0,0,2663,0,
3530,6,0,2538,0,
3540,1,0,2795,0,
3550,3,0,2426,10,
3560,3,0,2766,16,
3570,4,3,2588,0,
3580,4,3,2543,0,
3590,4,3,2450,0,
3600,4,3,2620,0,
3610,0,3,2577,10,
