3020,0,0,2684,0,
3030,0,0,9403,7143289,
3040,10,0,15652,12499940,
3050,0,0,15381,12530420,
3060,2,0,7863,5271648,
3070,4,0,2559,17,
3080,4,8,2768,0,
3090,6,0,18413,14246721,
3100,5,5,31005,25201598,
3110,6,6,27486,25029458,
3120,6,5,13235,10521827,
3130,4,3,2584,17,
3140,42,3,2734,0,
3150,0,6,41102,35442849,
3160,0,8,63107,62328401,
3170,0,7,60438,63130708,
3180,0,40,27631,26291337,
3190,8,0,2660,17,
3200,0,0,2765,0,
3210,7,0,73208,71606553,
3220,13,0,125960,124854572,
3230,12,10,125113,125143523,
3240,48,9,54806,52148282,
3250,0,3,2566,17,
3260,0,3,2722,0,
3270,0,15,143059,142309726,
3280,7,44,224803,251267829,
3290,19,0,227859,250052984,
3300,13,9,104076,106090682,
3310,5,2,2709,16,
3320,4,4,2572,0,
3330,41,24,293090,357634669,
3340,32,48,590290,625169419,
3350,50,42,580217,627004242,
3360,12,41,237460,264965124,
3370,4,0,2736,10,
3380,4,0,2080,0,
3390,58,29,654816,715905063,
3400,99,88,1234752,1246738449,
3410,69,95,1266577,1254540776,
3420,41,43,545805,532536157,
3430,4,2,2692,17,
3440,4,3,2349,0,
3450,58,81,872047,874142720,
3460,87,84,1546359,1547829380,
3470,96,100,1606359,1637251940,
3480,59,73,645232,651183477,
3490,0,0,2779,17,
