t,data_mean,ewma_mean,ewma_mean_low,ewma_mean_high
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,9566078,191321,190824,191817
6,31590969,819313,819010,819616
7,31450566,1431938,1430626,1433250
8,31442537,2032149,2031961,2032337
9,31504492,2621596,2621432,2621760
10,31516225,3199488,3199246,3199730
11,31513892,3765775,3765572,3765979
12,31508001,4320619,4320415,4320824
13,31517416,4864555,4864385,4864724
14,31505659,5397376,5397121,5397631
15,31511537,5919659,5919503,5919816
16,31515545,6431576,6431333,6431820
17,31505177,6933048,6932840,6933256
18,31515059,7424688,7424453,7424922
19,31506835,7906330,7906059,7906602
20,31509188,8378387,8378244,8378530
21,31517404,8841167,8840899,8841434
22,31509192,9294527,9294294,9294760
23,31513884,9738914,9738659,9739168
24,31510363,10174342,10174026,10174658
25,31513886,10601133,10600892,10601373
26,31506828,11019246,11019083,11019410
27,31511537,11429091,11428879,11429303
28,31513923,11830787,11830521,11831053
29,31503382,12224239,12224076,12224401
30,31512710,12610008,12609812,12610203
31,31517408,12988155,12987893,12988418
32,31509225,13358576,13358288,13358864
33,31510358,13721611,13721402,13721820
34,31511540,14077409,14077230,14077588
35,31504488,14425950,14425705,14426195
36,31517446,14767780,14767561,14767998
37,31505667,15102537,15102314,15102759
38,31518576,15430857,15430693,15431021
39,31509187,15752423,15752165,15752682
40,31509187,16067558,16067344,16067772
41,31517443,16376555,16376393,16376718
42,31510356,16679231,16679063,16679399
43,31510361,16975853,16975657,16976049
44,31508052,17266497,17266300,17266693
45,31506835,17551303,17551066,17551540
46,31512712,17830531,17830368,17830693
47,31513881,18104197,18104008,18104386
48,31513924,18372391,18372251,18372532
49,31506833,18635080,18634853,18635307
50,31517414,18892726,18892591,18892861
51,31506873,19145009,19144762,19145255
52,31499788,19392104,19392003,19392204
53,31522217,19634705,19634520,19634891
54,31509665,19872204,19871966,19872443
55,31511572,20104991,20104802,20105180
56,31521622,20333323,20333128,20333518
57,31512059,20556897,20556717,20557078
58,31501662,20775792,20775577,20776007
59,31526627,20990808,20990614,20991003
60,31499312,21200978,21200679,21201277
61,31508692,21407132,21406906,21407357
62,31513892,21609267,21609053,21609480
63,31518576,21807452,21807342,21807563
64,31502137,22001346,22001103,22001588
65,39507080,22351460,22310303,22392617
66,57679742,23058025,22885346,23230704
67,57910059,23755065,23452411,24057719
68,58019676,24440357,24009011,24871703
69,58125948,25114068,24556104,25672032
70,58227190,25776330,25095211,26457449
71,58423307,26429269,25626808,27231730
72,58444318,27069570,26147709,27991431
73,58452776,27697233,26658759,28735708
74,58603785,28315364,27161502,29469226
75,58471284,28918482,27651838,30185125
76,58361953,29507351,28131308,30883393
77,58123628,30079676,28597130,31562221
78,58303620,30644154,29056198,32232110
79,58655259,31204376,29511779,32896972
80,59135496,31762998,29997311,33528684
81,61608393,32359905,30636257,34083553
82,61668710,32946081,31262660,34629502
83,61400460,33515168,31872507,35157829
84,61777955,34080423,32476002,35684844
85,61712116,34633056,33065985,36200127
86,61571464,35171824,33641704,36701944
87,61921921,35706825,34210866,37202784
88,61805694,36228802,34767551,37690053
89,61335499,36730936,35306170,38155702
90,61384270,37224002,35834558,38613445
91,61448185,37708485,36353811,39063159
92,61069299,38175701,36855779,39495622
93,61106561,38634318,37347873,39920762
94,61388931,39089410,37834580,40344239
95,61498252,39537586,38313039,40762133
96,61515809,39977150,38781946,41172354
97,61477995,40407166,39240873,41573460
98,61497451,40828971,39690607,41967336
99,61248208,41237356,40127167,42347544
100,61497440,41642557,40558279,42726834
101,61611176,42041929,40982289,43101568
102,61503787,42431165,41397161,43465169
103,61520774,42812957,41802038,43823876
104,61322488,43183147,42195716,44170578
105,61448625,43548456,42584277,44512636
106,61653009,43910547,42967403,44853691
107,61838704,44269110,43345757,45192462
108,61699891,44617725,43715407,45520043
109,61341414,44952198,44070888,45833509
110,61517720,45283508,44422067,46144949
111,61460377,45607045,44766388,46447702
112,61501214,45924928,45103262,46746594
113,61602641,46238482,45434051,47042912
114,61622256,46546157,45758810,47333503
115,61717737,46849588,46079207,47619968
116,61909923,47150794,46400131,47901457
117,61612718,47440032,46705898,48174166
118,61556585,47722362,47006753,48437972
119,61192440,47991764,47291320,48692207
120,61515937,48262247,47577993,48946501
121,61042902,48517859,47854049,49181669
122,61111470,48769731,48117140,49422322
123,60642404,49007184,48359695,49654673
124,60795971,49242959,48599360,49886559
125,63234323,49522786,48894615,50150957
126,68808363,49908497,49339199,50477795
127,68135550,50273038,49753010,50793065
128,68688432,50641345,50152009,51130680
129,69097672,51010471,50518866,51502075
130,69080640,51371874,50846318,51897429
131,68829462,51721025,51148952,52293098
132,68742897,52061462,51418830,52704094
133,68420966,52388651,51660720,53116583
134,68612542,52713129,51896650,53529607
135,69406993,53047006,52146812,53947199
136,69675771,53379580,52390696,54368465
137,69123302,53694454,52614108,54774800
138,69636547,54013296,52840613,55185978
139,69464896,54322327,53055011,55589643
140,68844576,54612772,53251273,55974270
141,69499476,54910505,53450722,56370288
142,70210974,55216514,53659430,56773598
143,68517803,55482539,53830228,57134851
144,69277193,55758432,54017514,57499350
145,68828414,56019831,54186363,57853299
146,68603048,56271495,54349546,58193444
147,68745660,56520978,54511849,58530107
148,68310075,56756760,54661250,58852269
149,68486523,56991354,54814984,59167725
150,68337121,57218269,54959633,59476905
151,69001595,57453935,55117194,59790677
152,68670824,57678273,55266976,60089570
153,68742892,57899565,55413656,60385474
154,68983953,58121252,55559034,60683470
155,69126854,58341364,55709502,60973225
156,69239233,58559321,55860726,61257915
157,68955574,58767245,56001645,61532845
158,68592091,58963742,56131220,61796263
159,68472804,59153922,56255213,62052631
160,68621740,59343278,56376906,62309651
161,69009574,59536604,56502587,62570620
162,68576406,59717399,56616221,62818577
163,69001992,59903091,56740007,63066174
164,68558131,60076191,56846591,63305790
165,68924105,60253149,56957433,63548864
166,68139304,60410871,57048808,63772935
167,68561099,60573875,57152005,63995746
168,68709596,60736590,57259372,64213807
169,69750088,60916859,57378695,64455023
170,68828532,61075092,57486120,64664064
171,69205027,61237690,57588468,64886912
172,69781254,61408561,57713388,65103734
173,68602478,61552439,57803707,65301171
174,68968638,61700762,57904696,65496828
175,68204428,61830835,57985683,65675987
176,68309254,61960403,58060714,65860093
177,67817932,62077553,58125580,66029527
178,69267107,62221344,58234905,66207782
179,67344118,62323799,58284658,66362940
180,68133907,62440000,58352577,66527424
181,34728115,61885762,57803855,65967669
182,0,60648046,56647777,64648315
183,0,59435085,55514821,63355349
184,0,58246383,54404524,62088241
185,0,57081455,53316433,60846476
186,0,55939825,52250104,59629546
