t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,9587240,2876172,
6,31564336,11482621,
7,31402096,17458463,
8,31494752,21669349,
9,31504480,24619888,
10,31516240,26688793,
11,31504496,28133503,
12,31539712,29155365,
13,31504496,29860104,
14,31516224,30356939,
15,31504496,30701206,
16,31504496,30942193,
17,31527984,31117930,
18,31480992,31226848,
19,31539712,31320707,
20,31481008,31368797,
21,31539728,31420076,
22,31492736,31441874,
23,31504496,31460660,
24,31539712,31484375,
25,31516240,31493934,
26,31469248,31486528,
27,31516240,31495441,
28,31539728,31508727,
29,31481360,31500516,
30,31551456,31515798,
31,31504496,31512407,
32,31516240,31513556,
33,31504480,31510833,
34,31504496,31508931,
35,31481008,31500554,
36,31539712,31512301,
37,31480992,31502908,
38,31539728,31513954,
39,31480992,31504065,
40,31551472,31518287,
41,31492736,31510621,
42,31527984,31515829,
43,31504480,31512424,
44,31516240,31513568,
45,31516240,31514369,
46,31492752,31507883,
47,31504480,31506862,
48,31516240,31509675,
49,31516224,31511639,
50,31527984,31516542,
51,31492752,31509405,
52,31492736,31504404,
53,31540096,31515111,
54,31521056,31516894,
55,31492720,31509641,
56,31499680,31506652,
57,31544560,31518024,
58,31499664,31512515,
59,31516224,31513627,
60,31521072,31515860,
61,31499648,31510996,
62,31504496,31509046,
63,31516224,31511199,
64,31504496,31509188,
65,40769000,34287131,
66,60261328,42079390,
67,61365568,47865243,
68,61078208,51829132,
69,61460960,54718680,
70,61329072,56701797,
71,61467888,58131624,
72,61331728,59091655,
73,61637120,59855294,
74,61404320,60320001,
75,61303328,60614999,
76,61824960,60977987,
77,61597072,61163712,
78,61223552,61181664,
79,62052736,61442985,
80,61418736,61435710,
81,61343056,61407913,
82,61355264,61392118,
83,61545344,61438085,
84,61275152,61389205,
85,61535760,61433171,
86,61486656,61449216,
87,62517920,61769827,
88,61406288,61660765,
89,60925472,61440177,
90,60939392,61289941,
91,61709728,61415877,
92,61603984,61472309,
93,61394704,61449027,
94,61867120,61574454,
95,60547024,61266225,
96,61536224,61347224,
97,61637104,61434188,
98,61411344,61427334,
99,61571488,61470580,
100,61653072,61525327,
101,62095152,61696274,
102,62014960,61791879,
103,62762352,62083020,
104,61251696,61833622,
105,61834112,61833769,
106,62797584,62122913,
107,62950272,62371120,
108,61810640,62202976,
109,61232672,61911884,
110,61721360,61854726,
111,61573280,61770292,
112,61871936,61800785,
113,62710976,62073842,
114,62196128,62110527,
115,61796720,62016384,
116,61159984,61759464,
117,61136432,61572554,
118,61465328,61540386,
119,60927728,61356588,
120,61850704,61504822,
121,61881120,61617711,
122,61486640,61578389,
123,60243920,61178048,
124,60445824,60958380,
125,63164096,61620094,
126,68819008,63779768,
127,68850928,65301115,
128,69147632,66455070,
129,70691888,67726115,
130,67763808,67737422,
131,69011408,68119617,
132,67027584,67792007,
133,64649488,66849251,
134,64553216,66160440,
135,63540320,65374404,
136,65793056,65499999,
137,66863776,65909132,
138,67481440,66380824,
139,74105520,68698232,
140,68639264,68680541,
141,69008720,68778994,
142,70823696,69392404,
143,69102832,69305532,
144,68017072,68918994,
145,69209632,69006185,
146,68059600,68722209,
147,68264912,68585019,
148,67681920,68314089,
149,66924400,67897182,
150,67006560,67629995,
151,69225024,68108503,
152,68055552,68092617,
153,69060128,68382870,
154,68153440,68314041,
155,68129920,68258804,
156,67883856,68146319,
157,68052752,68118248,
158,67224480,67850117,
159,68943136,68178022,
160,69225712,68492329,
161,71863792,69503767,
162,68264160,69131884,
163,68976016,69085123,
164,69692080,69267210,
165,67680400,68791167,
166,68477552,68697082,
167,69226864,68856016,
168,68209904,68662182,
169,68750560,68688695,
170,67753600,68408166,
171,67441232,68118085,
172,68300672,68172861,
173,67774032,68053212,
174,68156496,68084197,
175,67627488,67947184,
176,68902064,68233648,
177,68187488,68219800,
178,69548368,68618370,
179,68479664,68576758,
180,68553184,68569685,
181,34418816,58324424,
182,0,40827096,
183,0,28578967,
184,0,20005276,
185,0,14003693,
186,0,9802585,
