t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,11095680,3328704,
6,31651200,11825452,
7,33882560,18442584,
8,32696640,22718800,
9,25484480,23548504,
10,31591360,25961360,
11,31693600,27681032,
12,31293120,28764658,
13,31235520,29505916,
14,36460480,31592285,
15,19949600,28099479,
16,29847040,28623747,
17,39038400,31748142,
18,38414400,33748019,
19,32040320,33235709,
20,37343840,34468148,
21,22596800,30906743,
22,29125120,30372256,
23,34409920,31583555,
24,28778560,30742056,
25,26237440,29390671,
26,31527840,30031821,
27,37463360,32261282,
28,26372160,30494545,
29,26237440,29217413,
30,26360480,28360333,
31,26008320,27654729,
32,34229280,29627094,
33,23963520,27928021,
34,28122080,27986238,
35,29654720,28486782,
36,30122560,28977515,
37,44233280,33554244,
38,29654720,32384386,
39,25965760,30458798,
40,30532480,30480902,
41,29224960,30104119,
42,32847040,30926995,
43,32814080,31493120,
44,32596480,31824128,
45,31837760,31828217,
46,31148960,31624439,
47,30823360,31384115,
48,32232640,31638672,
49,30802240,31387742,
50,33451840,32006971,
51,28826720,31052895,
52,28890240,30404098,
53,32238400,30954388,
54,32771520,31499527,
55,29350720,30854884,
56,30428480,30726962,
57,29537280,30370057,
58,33177920,31212415,
59,28351360,30354098,
60,27721600,29564348,
61,30940640,29977235,
62,31410560,30407232,
63,31928480,30863606,
64,29383040,30419436,
65,37637680,32584909,
66,57344480,40012780,
67,50936800,43289986,
68,57568640,47573582,
69,66690880,53308771,
70,80244320,61389435,
71,67327840,63170956,
72,54440000,60551669,
73,71373120,63798104,
74,56943200,61741632,
75,63995520,62417798,
76,62772480,62524202,
77,65853440,63522973,
78,95911840,73239633,
79,69479360,72111551,
80,76609920,73461061,
81,72105440,73054374,
82,48658720,65735677,
83,72680320,67819069,
84,62650080,66268372,
85,56442880,63320724,
86,69882560,65289274,
87,68819840,66348443,
88,53371360,62455318,
89,54850240,60173794,
90,74532640,64481447,
91,81610720,69620228,
92,62116160,67369007,
93,66184640,67013696,
94,63103840,65840739,
95,64359360,65396325,
96,72105280,67409011,
97,54835200,63636867,
98,57307840,61738158,
99,78576000,66789510,
100,52955360,62639265,
101,54680640,60251677,
102,55769280,58906957,
103,57280000,58418869,
104,72746560,62717176,
105,57663040,61200935,
106,63989760,62037582,
107,49364320,58235603,
108,80015520,64769578,
109,59415200,63163264,
110,50552800,59380124,
111,55720320,58282182,
112,69755840,61724279,
113,87830240,69556067,
114,60818720,66934862,
115,74405440,69176035,
116,72797920,70262600,
117,51429440,64612652,
118,83111360,70162264,
119,53822080,65260208,
120,55368800,62292785,
121,54118880,59840613,
122,60888320,60154925,
123,59591520,59985903,
124,95036960,70501220,
125,53875760,65513582,
126,100549600,76024387,
127,111904480,86788414,
128,94977120,89245025,
129,107077280,94594701,
130,110036960,99227378,
131,93194880,97417628,
132,104885440,99657971,
133,89964640,96749971,
134,74281760,90009507,
135,110965600,96296334,
136,96110240,96240505,
137,101608640,97850945,
138,106855520,100552317,
139,99916640,100361613,
140,93244160,98226377,
141,96495200,97707023,
142,104202400,99655636,
143,123261920,106737521,
144,90632160,101905912,
145,72450560,93069306,
146,81479680,89592418,
147,109609280,95597476,
148,97888000,96284633,
149,74916800,89874283,
150,82673600,87714078,
151,101602880,91880718,
152,79834400,88266822,
153,88086400,88212695,
154,93244000,89722086,
155,96953120,91891396,
156,35317760,74919305,
157,92261440,80121945,
158,99633920,85975537,
159,81195680,84541579,
160,93515200,87233665,
161,87751840,87389117,
162,96374080,90084605,
163,86233120,88929159,
164,88082880,88675275,
165,71066880,83392756,
166,88491840,84922481,
167,89533920,86305912,
168,68975360,81106746,
169,68993600,77472802,
170,91580480,81705105,
171,89455360,84030181,
172,55202560,75381894,
173,87899840,79137277,
174,71202720,76756909,
175,91750400,81254956,
176,100930400,87157589,
177,89340160,87812360,
178,98877120,91131788,
179,98282560,93277019,
180,102873120,96155849,
181,50906240,82580966,
182,0,57806676,
183,0,40464673,
184,0,28325271,
185,0,19827689,
186,0,13879382,
