t,data,a0.1,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,9300800,930080,
6,32717760,4108848,
7,25143680,6212331,
8,31244800,8715577,
9,28282240,10672243,
10,29808800,12585898,
11,30290720,14356380,
12,33593600,16280102,
13,29468480,17598939,
14,28537920,18692837,
15,29995520,19823105,
16,32344320,21075226,
17,33048960,22272599,
18,33220480,23367387,
19,30700160,24100664,
20,32937280,24984325,
21,30471040,25532996,
22,33151360,26294832,
23,34870400,27152388,
24,28405440,27277693,
25,29525760,27502499,
26,29841280,27736377,
27,32894720,28252211,
28,31133120,28540301,
29,32894720,28975742,
30,30659840,29144151,
31,30278560,29257591,
32,35280320,29859863,
33,30886720,29962548,
34,32424960,30208789,
35,30396000,30227510,
36,32819840,30486743,
37,33759360,30814004,
38,28351360,30567739,
39,33226080,30833573,
40,29858560,30736071,
41,30465280,30708991,
42,30146080,30652699,
43,34298240,31017253,
44,30886720,31004199,
45,35921600,31495939,
46,27769920,31123337,
47,29958720,31006875,
48,31714560,31077643,
49,29814400,30951318,
50,31479680,31004154,
51,31416320,31045370,
52,27721600,30712993,
53,31458720,30787565,
54,30353600,30744168,
55,32212160,30890967,
56,31175680,30919438,
57,33461120,31173606,
58,32771520,31333397,
59,31352960,31335353,
60,32542400,31456057,
61,33177760,31628227,
62,29841280,31449532,
63,34912800,31795858,
64,30305280,31646800,
65,43509520,32833072,
66,69078560,36457620,
67,67441600,39556018,
68,56041920,41204608,
69,59864640,43070611,
70,70481600,45811709,
71,62400000,47470538,
72,60077120,48731196,
73,66963840,50554460,
74,60888320,51587846,
75,81397440,54568805,
76,63754880,55487412,
77,70624960,57001166,
78,48029440,56103993,
79,51589440,55652537,
80,70946400,57181923,
81,54780640,56941794,
82,74255680,58673182,
83,60327360,58838599,
84,59879520,58942691,
85,53489760,58397397,
86,75942080,60151865,
87,85848640,62721542,
88,52320960,61681483,
89,63200000,61833334,
90,68804800,62530480,
91,71368000,63414232,
92,52790560,62351864,
93,73213120,63437989,
94,56707840,62764974,
95,48745280,61363004,
96,71858240,62412527,
97,58243840,61995658,
98,68051840,62601276,
99,69686400,63309788,
100,56880000,62666809,
101,69882560,63388384,
102,69621120,64011657,
103,79077120,65518203,
104,54663360,64432718,
105,58662720,63855718,
106,69231680,64393314,
107,75478560,65501838,
108,59106080,64862262,
109,69596160,65335651,
110,52881280,64090213,
111,50980480,62779239,
112,67380480,63239363,
113,54532160,62368642,
114,61534240,62285201,
115,61950240,62251704,
116,77100480,63736581,
117,65838080,63946730,
118,76449760,65197033,
119,66060800,65283409,
120,50441920,63799260,
121,67187200,64138054,
122,60008320,63725080,
123,69168800,64269452,
124,71827680,65025274,
125,70363760,65559122,
126,135135200,72516729,
127,111917760,76456832,
128,93480480,78159196,
129,66077440,76951020,
130,102195840,79475502,
131,113887200,82916671,
132,113853440,86010347,
133,78975840,85306896,
134,67268800,83503086,
135,65945120,81747289,
136,73832480,80955808,
137,98752000,82735427,
138,116358560,86097740,
139,106558560,88143822,
140,64210720,85750511,
141,98310080,87006467,
142,118526720,90158492,
143,96049440,90747586,
144,122311360,93903963,
145,59977280,90511294,
146,121038240,93563988,
147,77500480,91957637,
148,101507360,92912609,
149,105783520,94199700,
150,110887680,95868498,
151,79759200,94257568,
152,81634080,92995219,
153,104145600,94110257,
154,73866240,92085855,
155,119140640,94791333,
156,80310400,93343239,
157,79896800,91998595,
158,105152800,93314015,
159,132386080,97221221,
160,83033120,95802410,
161,96109600,95833129,
162,102964640,96546280,
163,81948960,95086548,
164,117606720,97338565,
165,87814080,96386116,
166,75564000,94303904,
167,106958240,95569337,
168,98288000,95841203,
169,93014720,95558554,
170,104710400,96473738,
171,115590240,98385388,
172,111654880,99712337,
173,77675680,97508671,
174,118108480,99568651,
175,92117440,98823529,
176,91381760,98079352,
177,79619680,96233384,
178,95939840,96204029,
179,96816320,96265258,
180,83009600,94939692,
181,58801120,91325834,
182,0,82193250,
183,0,73973925,
184,0,66576532,
185,0,59918878,
186,0,53926990,
