t,data_mean,ewma_mean,ewma_mean_low,ewma_mean_high
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,9118696,3647478,2733692,4561264
6,29743584,14085920,12673225,15498614
7,29707888,20334706,18163427,22505986
8,32569136,25228478,23862528,26594427
9,30451792,27317803,26192887,28442718
10,30736880,28685433,28105851,29265015
11,31745376,29909410,29364851,30453968
12,31233136,30438900,29801661,31076139
13,30916192,30629816,29935116,31324516
14,31562496,31002887,30271638,31734137
15,30834720,30935620,29917723,31953516
16,31413744,31126869,30201437,32052301
17,32380272,31628229,30923927,32332531
18,32617424,32023907,31027951,33019862
19,31366672,31761012,30921409,32600616
20,32349200,31996287,30932026,33060547
21,31203984,31679365,31022718,32336012
22,31559904,31631580,31068448,32194712
23,31991536,31775562,31205894,32345229
24,31343760,31602841,31083095,32122587
25,30816160,31288168,30340918,32235417
26,31177952,31244081,30663431,31824730
27,32222976,31635638,30896721,32374555
28,30922272,31350291,30985860,31714722
29,31722240,31499070,30645041,32353100
30,31136416,31354008,30310525,32397491
31,30261216,30916891,29847087,31986694
32,31329296,31081852,30523952,31639752
33,30708912,30932675,29900695,31964656
34,31911040,31324021,30254743,32393299
35,31476144,31384870,30525956,32243783
36,31423024,31400131,30754934,32045328
37,33857648,32383137,31479813,33286461
38,30523248,31639181,30747268,32531094
39,29274064,30693133,29912084,31474183
40,31663888,31081435,30584005,31578865
41,30786352,30963401,30283211,31643591
42,30966624,30964690,30149826,31779553
43,31818272,31306122,30325003,32287241
44,31274544,31293490,30124178,32462803
45,30746576,31074724,30015588,32133860
46,31503328,31246165,30640366,31851964
47,31783184,31460972,30888875,32033069
48,30988096,31271821,30952649,31590993
49,31137856,31218234,30651902,31784567
50,31275008,31240943,30636107,31845779
51,31393568,31301993,30643041,31960944
52,32033568,31594622,30833983,32355261
53,32298832,31876305,31165181,32587430
54,31633104,31779024,31145261,32412787
55,30742320,31364342,30670524,32058160
56,30776368,31129152,30626976,31631328
57,32166064,31543916,30952051,32135781
58,31474224,31516039,30925018,32107059
59,31463504,31495024,30982765,32007284
60,31273776,31406524,30466520,32346529
61,32058960,31667498,30857288,32477708
62,31270400,31508658,30970570,32046746
63,31831824,31637924,30929861,32345987
64,30660112,31246799,30510172,31983425
65,40752952,35049260,33617812,36480707
66,64587984,46864749,44531249,49198248
67,61511488,52723444,48551628,56895260
68,57128880,54485618,51251410,57719825
69,62472016,57680176,56014160,59346193
70,65235424,60702275,58570439,62834111
71,62945792,61599681,59216222,63983140
72,60588832,61195341,58505189,63885493
73,65610512,62961409,60984026,64938792
74,63166000,63043245,60739780,65346709
75,69312320,65550874,61016486,70085262
76,60550576,63550754,60932685,66168824
77,61859472,62874241,60405363,65343119
78,66051680,64145216,58995739,69294693
79,64572416,64316095,58971071,69661120
80,67682608,65662700,61858866,69466533
81,61359456,63941402,59654769,68228034
82,62981040,63557256,59878942,67235570
83,64875504,64084555,62011419,66157690
84,64593600,64288172,61430160,67146184
85,59158672,62236372,60536854,63935889
86,62871824,62490552,60575819,64405285
87,62627568,62545358,58223797,66866918
88,59185520,61201422,57037352,65365492
89,63213920,62006421,58103933,65908908
90,63017792,62410969,60105669,64716268
91,62755536,62548795,58829461,66268128
92,61056800,61951996,60042534,63861458
93,64985616,63165444,61100783,65230104
94,61695440,62577442,59500239,65654644
95,64595296,63384583,60359854,66409312
96,66356256,64573251,62179503,66967000
97,65902928,65105122,62683496,67526747
98,64670160,64931136,62994843,66867430
99,62489040,63954297,61924380,65984214
100,61619408,63020341,59839615,66201067
101,63656912,63274969,60217631,66332307
102,63501824,63365710,60176331,66555090
103,66816288,64745941,61036721,68455161
104,65516064,65053990,62284624,67823355
105,63067120,64259241,61986781,66531701
106,62186192,63430021,60459842,66400199
107,62490112,63054057,60283509,65824604
108,60743936,62130008,60070131,64189885
109,61467808,61865127,58254663,65475592
110,63219184,62406750,58654389,66159110
111,61197744,61923147,58478362,65367932
112,60571296,61382406,59198752,63566060
113,64760848,62733782,58595751,66871813
114,62451808,62620992,59322520,65919464
115,65086576,63607225,60137677,67076773
116,68119760,65412238,61118696,69705781
117,57582672,62280411,59377853,65182969
118,66063424,63793616,60205426,67381806
119,63241312,63572694,61430493,65714894
120,61280624,62655865,60316011,64995719
121,59527568,61404546,59193131,63615961
122,62611312,61887252,60077834,63696669
123,64972224,63121240,61656326,64586154
124,71131088,66325179,63988434,68661923
125,68068984,67022700,65052333,68993068
126,99501872,80014368,75506625,84522112
127,96222496,86497619,80792168,92203070
128,96978080,90689803,86503265,94876341
129,90630128,90665932,87068612,94263253
130,98812592,93924596,90813526,97035665
131,104882928,98307928,94511633,102104223
132,101275488,99494951,93680556,105309347
133,93342192,97033847,94250509,99817185
134,85485504,92414509,89023171,95805848
135,92027552,92259726,88054081,96465371
136,90824672,91685704,86609651,96761756
137,95829296,93343140,89319680,97366599
138,98294544,95323701,91852652,98794750
139,98249920,96494188,93069841,99918535
140,93101968,95137299,91527321,98747278
141,96290144,95598437,92141282,99055592
142,94627936,95210236,90869279,99551193
143,91551312,93746666,86992899,100500432
144,98350688,95588274,90123410,101053139
145,92980128,94545015,88961843,100128187
146,97040032,95543021,91013010,100073033
147,89262480,93030804,90174273,95887335
148,95370640,93966738,89822380,98111095
149,94477376,94170992,90372606,97969379
150,101333920,97036163,92552669,101519657
151,97375776,97172008,92934239,101409776
152,97319504,97231006,92527744,101934267
153,92579936,95370577,91950902,98790253
154,92497440,94221322,90960678,97481965
155,98316832,95859525,91526645,100192405
156,87465024,92501724,86274496,98728953
157,88358112,90844279,86521907,95166650
158,97034336,93320301,90464971,96175631
159,100220176,96080251,90120302,102040199
160,94253808,95349673,92395429,98303917
161,97254720,96111691,89913980,102309402
162,88091200,92903494,88131528,97675459
163,92833040,92875312,90349935,95400689
164,91504080,92326819,88211761,96441876
165,93529104,92807732,87180994,98434470
166,88542144,91101496,86917921,95285071
167,95916816,93027624,89072923,96982325
168,92499776,92816484,86219557,99413411
169,92075824,92520219,85104733,99935705
170,94337792,93247248,88317444,98177051
171,94214432,93634121,88531624,98736617
172,91205072,92662501,85878968,99446033
173,98948304,95176821,88944484,101409159
174,97331152,96038553,87919220,104157886
175,89775104,93533173,88359072,98707274
176,94870992,94068300,88963490,99173110
177,93872752,93990080,90816789,97163372
178,87135424,91248217,87186177,95310257
179,92950864,91929275,90269587,93588964
180,97382000,94110365,89731469,98489260
181,51063408,76891581,73820308,79962855
182,0,46134948,44292184,47977712
183,0,27680968,26575310,28786627
184,0,16608580,15945185,17271976
185,0,9965148,9567111,10363185
186,0,5979088,5740266,6217910
