t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,5313520,1594056,
6,26809120,9158575,
7,21183680,12766106,
8,34627520,19324530,
9,29184960,22282659,
10,34698880,26007525,
11,31127360,27543475,
12,31244800,28653872,
13,32702400,29868430,
14,32579200,30681661,
15,31479680,30921066,
16,34346400,31948666,
17,34292480,32651810,
18,30470880,31997531,
19,28122240,30834943,
20,31720320,31100556,
21,32120960,31406677,
22,31949440,31569505,
23,31287360,31484861,
24,30353600,31145482,
25,28357120,30308973,
26,32409760,30939209,
27,35644160,32350694,
28,28416960,31170573,
29,34527360,32177609,
30,31934400,32104646,
31,31058240,31790724,
32,30167040,31303618,
33,31714560,31426900,
34,32744960,31822318,
35,33401280,32296006,
36,31645440,32100836,
37,36647040,33464697,
38,34837760,33876615,
39,30545920,32877406,
40,30925760,32291912,
41,32003520,32205394,
42,32419200,32269535,
43,28239680,31060578,
44,27011200,29845764,
45,28068160,29312482,
46,32344320,30222033,
47,32040160,30767471,
48,31009920,30840205,
49,27065280,29707727,
50,29477440,29638640,
51,30230400,29816168,
52,32799040,30711029,
53,31170080,30848744,
54,31160320,30942216,
55,33834240,31809823,
56,30886720,31532892,
57,31522080,31529648,
58,32301760,31761281,
59,32126720,31870912,
60,36156480,33156582,
61,33337920,33210983,
62,28468800,31788328,
63,32350080,31956853,
64,33518720,32425413,
65,48921600,37374269,
66,68617120,46747124,
67,82050400,57338106,
68,52028480,55745218,
69,45803680,52762756,
70,56702880,53944793,
71,55016320,54266251,
72,74201280,60246759,
73,54199360,58432539,
74,67331840,61102329,
75,66931520,62851086,
76,55662560,60694528,
77,68346560,62990137,
78,64534080,63453319,
79,75660160,67115371,
80,54847360,63434967,
81,58102880,61835340,
82,43719840,56400690,
83,73998720,61680099,
84,64926560,62654037,
85,65992320,63655521,
86,62089440,63185696,
87,43437440,57261219,
88,41911520,52656309,
89,53488800,52906056,
90,75097920,59563615,
91,44612320,55078226,
92,64534720,57915174,
93,73716800,62655661,
94,70848960,65113650,
95,69349760,66384483,
96,56480000,63413138,
97,82288160,69075644,
98,65688160,68059398,
99,45240000,61213578,
100,59489760,60696432,
101,44030560,55696670,
102,54483040,55332581,
103,67123360,58869814,
104,82669120,66009605,
105,62987840,65103075,
106,49939520,60554008,
107,68729920,63006781,
108,45818880,57850410,
109,43444160,53528535,
110,72328000,59168374,
111,75559200,64085621,
112,51615520,60344590,
113,52667680,58041517,
114,55160800,57177301,
115,58134880,57464574,
116,73742720,62348017,
117,51995040,59242123,
118,45884800,55234926,
119,62344800,57367888,
120,61806400,58699441,
121,52016960,56694696,
122,66232320,59555983,
123,61507680,60141492,
124,68761920,62727620,
125,78724480,67526678,
126,92876320,75131570,
127,77798880,75931763,
128,98950080,82837258,
129,105424800,89613520,
130,99654560,92625832,
131,105675200,96540642,
132,106674400,99580769,
133,78500960,93256826,
134,87842080,91632402,
135,101391360,94560089,
136,97881600,95556542,
137,98327200,96387739,
138,101575840,97944169,
139,88193920,95019094,
140,120254880,102589829,
141,102277440,102496112,
142,83948800,96931918,
143,88600320,94432438,
144,84200960,91362994,
145,110123680,96991199,
146,84616320,93278735,
147,76540320,88257210,
148,113038080,95691471,
149,96654720,95980445,
150,94300480,95476455,
151,87155360,92980126,
152,93698560,93195656,
153,85471840,90878511,
154,95764480,92344301,
155,113374240,98653282,
156,95180800,97611537,
157,93014560,96232443,
158,91177600,94715990,
159,100097600,96330473,
160,91828960,94980019,
161,91381440,93900445,
162,78841120,89382647,
163,103301280,93558236,
164,91179040,92844477,
165,81499840,89441085,
166,90814720,89853175,
167,101274720,93279638,
168,84948160,90780194,
169,96790080,92583159,
170,99094560,94536579,
171,94888160,94642053,
172,97806720,95591453,
173,125396480,104532961,
174,105415360,104797680,
175,90696800,100567416,
176,98983520,100092247,
177,99462240,99903244,
178,64952320,89417966,
179,101538880,93054240,
180,85207840,90700320,
181,40811520,75733680,
182,0,53013576,
183,0,37109503,
184,0,25976652,
185,0,18183656,
186,0,12728559,
