t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,7288576,2186572,
6,32238752,11202226,
7,29919648,16817452,
8,32178272,21425698,
9,32279584,24681863,
10,31797184,26816459,
11,31616640,28256513,
12,30564224,28948826,
13,31207648,29626472,
14,32020512,30344684,
15,31212960,30605166,
16,31703936,30934797,
17,31818336,31199858,
18,31209984,31202895,
19,31655072,31338548,
20,31808672,31479585,
21,32762048,31864323,
22,30248832,31379675,
23,31862336,31524473,
24,31440480,31499275,
25,31696736,31558513,
26,32437984,31822354,
27,31581568,31750118,
28,32168800,31875722,
29,31632736,31802826,
30,31659232,31759747,
31,32514464,31986162,
32,29992768,31388143,
33,31759872,31499661,
34,30916160,31324610,
35,31331584,31326702,
36,31847168,31482841,
37,31148736,31382609,
38,32280704,31652037,
39,31842112,31709059,
40,30857664,31453640,
41,31544096,31480776,
42,31683904,31541714,
43,31644256,31572476,
44,31617568,31586003,
45,31592000,31587802,
46,32012704,31715272,
47,32217600,31865970,
48,31160672,31654380,
49,32691584,31965541,
50,32006080,31977702,
51,31443744,31817514,
52,32057408,31889482,
53,32929920,32201613,
54,31476832,31984178,
55,30921600,31665404,
56,31360480,31573926,
57,32353280,31807732,
58,31927296,31843601,
59,31631584,31779995,
60,32011520,31849452,
61,31577952,31768002,
62,32527648,31995895,
63,31106336,31729027,
64,30352384,31316034,
65,39341696,33723732,
66,60333408,41706634,
67,59663072,47093565,
68,67862016,53324100,
69,61789792,55863807,
70,63933056,58284581,
71,66013920,60603382,
72,65144096,61965596,
73,60796832,61614966,
74,64128800,62369116,
75,59758976,61586074,
76,66519712,63066165,
77,61603296,62627304,
78,61887744,62405436,
79,68631616,64273290,
80,62651808,63786845,
81,70544544,65814154,
82,57692096,63377536,
83,61156416,62711200,
84,64663872,63297001,
85,63290944,63295183,
86,61239776,62678560,
87,67001504,63975443,
88,68576512,65355763,
89,66665920,65748810,
90,61558368,64491677,
91,64170560,64395341,
92,66129760,64915666,
93,58781696,63075475,
94,58257856,61630189,
95,61256288,61518018,
96,59845312,61016206,
97,63673312,61813337,
98,62550048,62034350,
99,64441440,62756477,
100,60214656,61993930,
101,63554784,62462186,
102,60247200,61797690,
103,62186592,61914360,
104,64688704,62746663,
105,59157888,61670030,
106,62469792,61909958,
107,64454272,62673252,
108,63162048,62819890,
109,60434016,62104127,
110,63664544,62572252,
111,62754880,62627040,
112,65455040,63475440,
113,61921376,63009220,
114,63571936,63178034,
115,62856832,63081673,
116,67376832,64370220,
117,65192064,64616773,
118,69904480,66203085,
119,58985984,64037954,
120,59496640,62675559,
121,58291360,61360299,
122,61255648,61328903,
123,60192128,60987870,
124,70414432,63815838,
125,74441888,67003652,
126,97968640,76293148,
127,99068864,83125862,
128,92701472,85998545,
129,81605824,84680728,
130,99296352,89065415,
131,94054656,90562187,
132,106666272,95393412,
133,95848768,95530018,
134,92723616,94688097,
135,86167456,92131904,
136,92723584,92309408,
137,91140032,91958595,
138,89679520,91274872,
139,93970144,92083453,
140,98892416,94126141,
141,91917600,93463578,
142,92175904,93077275,
143,99564768,95023522,
144,94945216,95000030,
145,90153440,93546053,
146,97403648,94703331,
147,95536480,94953275,
148,101087808,96793634,
149,100667200,97955703,
150,87161120,94717328,
151,101873600,96864209,
152,97004352,96906251,
153,94428896,96163044,
154,98304480,96805474,
155,95943232,96546801,
156,95169344,96133563,
157,98232000,96763094,
158,99196960,97493253,
159,96385504,97160928,
160,102389600,98729529,
161,100699744,99320593,
162,91268672,96905016,
163,91671936,95335092,
164,98011712,96138078,
165,99954752,97283080,
166,86435520,94028812,
167,94926720,94298184,
168,98377824,95522076,
169,104301792,98155990,
170,93468672,96749794,
171,89019776,94430788,
172,96225376,94969164,
173,93715808,94593157,
174,93992512,94412963,
175,99519360,95944882,
176,94562144,95530060,
177,88133536,93311102,
178,91242208,92690433,
179,100375776,94996035,
180,95019744,95003147,
181,45792224,80239870,
182,0,56167909,
183,0,39317536,
184,0,27522275,
185,0,19265592,
186,0,13485914,
