t,data,a0.1,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,9292320,929232,
6,27016960,3538004,
7,32654080,6449611,
8,33048640,9109513,
9,34976320,11696193,
10,27812480,13307821,
11,30401920,15017230,
12,28869280,16402435,
13,28907520,17652943,
14,31009920,18988640,
15,30465280,20136304,
16,30588320,21181505,
17,30070400,22070394,
18,32888960,23152250,
19,34464000,24283425,
20,31316160,24986698,
21,32461760,25734204,
22,30230400,26183823,
23,34469760,27012416,
24,30685120,27379686,
25,33054560,27947173,
26,29995520,28152007,
27,30775040,28414310,
28,30754240,28648303,
29,31527840,28936256,
30,31485440,29191174,
31,30182080,29290264,
32,30817600,29442997,
33,34111520,29909849,
34,29829760,29901840,
35,32665600,30178216,
36,31639680,30324362,
37,32329280,30524853,
38,29594880,30431855,
39,31287360,30517405,
40,29952960,30460960,
41,28282240,30243088,
42,30359200,30254699,
43,30588480,30288077,
44,32654080,30524677,
45,29468000,30419009,
46,31144640,30491572,
47,30434240,30485838,
48,31175680,30554822,
49,33135360,30812875,
50,31587840,30890371,
51,34939360,31295269,
52,33358720,31501614,
53,29296640,31281116,
54,29269920,31079996,
55,27598400,30731836,
56,31928640,30851516,
57,33226080,31088972,
58,31218080,31101882,
59,31757120,31167405,
60,29648960,31015560,
61,30748320,30988836,
62,33364480,31226400,
63,29483200,31052080,
64,26137280,30560600,
65,35180320,31022572,
66,73111200,35231434,
67,67348160,38443106,
68,57184320,40317227,
69,66654560,42950960,
70,65084800,45164344,
71,70070080,47654917,
72,63131200,49202545,
73,72771040,51559394,
74,65820160,52985470,
75,86054080,56292331,
76,63959040,57059001,
77,54622400,56815340,
78,96462560,60780062,
79,81932960,62895351,
80,67711360,63376951,
81,69973440,64036599,
82,75339200,65166859,
83,65163520,65166525,
84,79672960,66617168,
85,53277760,65283227,
86,63771360,65132040,
87,77074080,66326244,
88,69424960,66636115,
89,72975200,67270023,
90,55560640,66099084,
91,52925440,64781719,
92,69339840,65237531,
93,69866560,65700433,
94,74805760,66610965,
95,70225600,66972428,
96,72638080,67538993,
97,66310720,67416165,
98,70113120,67685860,
99,59816160,66898890,
100,79311360,68140137,
101,51424320,66468555,
102,67154880,66537187,
103,81728960,68056364,
104,72327840,68483511,
105,69503680,68585527,
106,78947520,69621726,
107,63401760,68999729,
108,55762880,67676044,
109,41317920,65040231,
110,51423040,63678511,
111,52108320,62521491,
112,56211840,61890525,
113,60536000,61755072,
114,64018400,61981404,
115,61652480,61948511,
116,75734400,63327099,
117,44249760,61419365,
118,74848000,62762228,
119,66691520,63155157,
120,70277760,63867417,
121,57017920,63182467,
122,50387520,61902972,
123,69355520,62648226,
124,77287040,64112107,
125,70756320,64776528,
126,99232960,68222171,
127,79163040,69316257,
128,96809600,72065591,
129,81612480,73020279,
130,99240640,75642315,
131,108218560,78899939,
132,55334240,76543369,
133,122464960,81135528,
134,73465280,80368503,
135,103855840,82717236,
136,74496000,81895112,
137,94476480,83153248,
138,88687040,83706627,
139,111206560,86456620,
140,83111200,86122078,
141,86026400,86112510,
142,83607360,85861995,
143,74994240,84775219,
144,110765280,87374225,
145,87564960,87393298,
146,75516640,86205632,
147,101100160,87695084,
148,90461120,87971687,
149,103535520,89528070,
150,106984960,91273759,
151,104911680,92637551,
152,87478080,92121603,
153,106785120,93587954,
154,91831520,93412310,
155,109049600,94976039,
156,95208960,94999331,
157,67365120,92235909,
158,110848640,94097182,
159,124221920,97109655,
160,82828800,95681569,
161,82573120,94370724,
162,84470720,93380723,
163,107296320,94772282,
164,70253280,92320381,
165,80374400,91125782,
166,85925760,90605779,
167,98049920,91350193,
168,101223840,92337557,
169,114553440,94559145,
170,97542880,94857518,
171,104048480,95776614,
172,63236320,92522584,
173,85867360,91857061,
174,72504320,89921786,
175,79800800,88909687,
176,88145120,88833230,
177,95562080,89506115,
178,70018720,87557375,
179,98981760,88699813,
180,93761280,89205959,
181,70999040,87385267,
182,0,78646740,
183,0,70782066,
184,0,63703859,
185,0,57333473,
186,0,51600125,
