t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,9809456,2942836,
6,29896128,11028823,
7,32720512,17536329,
8,31655616,21772115,
9,31986912,24836554,
10,31576032,26858397,
11,31244960,28174365,
12,30776352,28954961,
13,30973920,29560648,
14,30571584,29863928,
15,32067040,30524861,
16,31649600,30862282,
17,31057056,30920714,
18,31454528,31080858,
19,31158592,31104178,
20,30946240,31056796,
21,32111712,31373270,
22,32500640,31711481,
23,31752064,31723655,
24,31667744,31706881,
25,30920768,31471047,
26,32358592,31737310,
27,30348256,31320593,
28,33197952,31883800,
29,31608096,31801088,
30,32290400,31947881,
31,31402016,31784121,
32,30373888,31361051,
33,31246976,31326828,
34,31330400,31327899,
35,32467520,31669785,
36,31268480,31549393,
37,31148992,31429272,
38,31643552,31493556,
39,32589568,31822359,
40,31170304,31626742,
41,32132192,31778377,
42,32055072,31861385,
43,30784864,31538428,
44,32151360,31722307,
45,32487808,31951957,
46,30725216,31583934,
47,31352064,31514372,
48,31645408,31553682,
49,32368032,31797987,
50,31479840,31702542,
51,31493696,31639888,
52,30633088,31337848,
53,30106048,30968308,
54,30845664,30931514,
55,32154816,31298504,
56,31588960,31385640,
57,30678976,31173640,
58,32532480,31581292,
59,31036608,31417886,
60,31028544,31301083,
61,31807936,31453138,
62,31923104,31594127,
63,32594560,31894256,
64,31460736,31764200,
65,40567040,34405052,
66,62636448,42874470,
67,66557728,49979447,
68,64627776,54373945,
69,61152288,56407447,
70,63785344,58620816,
71,68683456,61639608,
72,66424160,63074973,
73,62188832,62809130,
74,58507744,61518714,
75,71532256,64522776,
76,68433920,65696119,
77,69383424,66802310,
78,59586496,64637565,
79,65133600,64786375,
80,58547168,62914612,
81,61947648,62624522,
82,61773600,62369245,
83,62582016,62433076,
84,64025472,62910794,
85,63116512,62972509,
86,64644768,63474186,
87,58857952,62089315,
88,60038048,61473934,
89,60734144,61251997,
90,65680416,62580522,
91,61891104,62373696,
92,60986880,61957651,
93,65649408,63065178,
94,62959168,63033374,
95,65460160,63761409,
96,59535040,62493498,
97,60458560,61883016,
98,66607168,63300261,
99,69486496,65156131,
100,58827392,63257509,
101,65731744,63999779,
102,60475712,62942558,
103,63150048,63004804,
104,65033120,63613298,
105,62622144,63315951,
106,68435648,64851860,
107,67550720,65661518,
108,61319840,64359014,
109,55234144,61621553,
110,62156704,61782098,
111,63180960,62201756,
112,62301152,62231574,
113,61214144,61926345,
114,60281248,61432815,
115,62312512,61696724,
116,68760160,63815754,
117,64528000,64029427,
118,61517888,63275965,
119,60722720,62509991,
120,62457632,62494283,
121,60566176,61915850,
122,59554304,61207386,
123,55606912,59527243,
124,67911232,62042439,
125,81629360,67918515,
126,90655424,74739587,
127,97790944,81654994,
128,90770016,84389500,
129,92082048,86697264,
130,108055008,93104587,
131,99906176,95145063,
132,91289344,93988347,
133,96174976,94644335,
134,105651296,97946423,
135,99554752,98428921,
136,94121248,97136619,
137,93905408,96167255,
138,95115872,95851840,
139,94156800,95343328,
140,87487776,92986662,
141,84452256,90426340,
142,94424256,91625714,
143,80921568,88414470,
144,98264096,91369357,
145,94829952,92407535,
146,95286528,93271232,
147,102774720,96122278,
148,96531840,96245146,
149,93365120,95381138,
150,92548576,94531369,
151,97703040,95482870,
152,99218176,96603461,
153,95629088,96311149,
154,84034560,92628172,
155,86501280,90790104,
156,92969952,91444058,
157,89169984,90761835,
158,90504448,90684618,
159,94172416,91730957,
160,91071872,91533231,
161,89109344,90806064,
162,90628960,90752932,
163,98626400,93114972,
164,92729536,92999341,
165,89364608,91908921,
166,98442560,93869012,
167,97566784,94978343,
168,97425536,95712500,
169,88895296,93667338,
170,88338752,92068762,
171,102078240,95071605,
172,92761568,94378593,
173,89684320,92970311,
174,91156896,92426286,
175,98381376,94212813,
176,98201920,95409545,
177,99355552,96593347,
178,85982976,93410235,
179,91903840,92958316,
180,93768960,93201509,
181,55344000,81844256,
182,0,57290979,
183,0,40103685,
184,0,28072579,
185,0,19650805,
186,0,13755563,
