t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,13172320,3951696,
6,29278720,11549803,
7,30217600,17150142,
8,29462240,20843771,
9,29408320,23413135,
10,30070400,25410314,
11,33054560,27703587,
12,27887360,27758718,
13,30817600,28676382,
14,34340800,30375707,
15,33684320,31368290,
16,31064000,31277003,
17,29254080,30670126,
18,29419840,30295040,
19,31404800,30627968,
20,35114560,31973945,
21,32307520,32074017,
22,30657600,31649091,
23,31373760,31566491,
24,32771520,31927999,
25,33518240,32405071,
26,30118720,31719165,
27,31528000,31661815,
28,30892480,31431014,
29,31645440,31495341,
30,31880320,31610834,
31,30534400,31287903,
32,31031680,31211036,
33,31714560,31362093,
34,32078400,31576985,
35,32461760,31842417,
36,31992000,31887291,
37,29932160,31300751,
38,29766240,30840397,
39,28586240,30164149,
40,31757120,30642040,
41,33123840,31386580,
42,30001280,30970990,
43,34415680,32004397,
44,31762880,31931941,
45,30001440,31352790,
46,32888960,31813641,
47,31997760,31868876,
48,29947200,31292373,
49,30886720,31170677,
50,32867840,31679825,
51,31416160,31600725,
52,33295360,32109115,
53,33759360,32604188,
54,33241280,32795315,
55,31058240,32274192,
56,33012160,32495582,
57,31528160,32205355,
58,32066880,32163812,
59,31880320,32078764,
60,28778560,31088702,
61,32344320,31465387,
62,29932160,31005418,
63,30182080,30758416,
64,34976480,32023835,
65,41599920,34896660,
66,65735520,44148318,
67,51024960,46211310,
68,49903040,47318829,
69,65943520,52906236,
70,63889120,56201101,
71,63911520,58514226,
72,54045440,57173590,
73,59699520,57931369,
74,50547680,55716262,
75,53190880,54958647,
76,62192320,57128748,
77,50895520,55258779,
78,59373120,56493081,
79,60409280,57667940,
80,64257440,59644790,
81,43859520,54909209,
82,68196480,58895390,
83,75814720,63971189,
84,70300160,65869880,
85,44184480,59364260,
86,55630720,58244198,
87,53345600,56774618,
88,47954240,54128504,
89,62053440,56505984,
90,54136640,55795180,
91,58721440,56673058,
92,65971840,59462692,
93,65613120,61307820,
94,54990720,59412690,
95,80021280,65595267,
96,69910240,66889758,
97,70074720,67845246,
98,62752480,66317416,
99,54322880,62719055,
100,69360960,64711626,
101,73572000,67369738,
102,67940640,67541008,
103,56223520,64145761,
104,52112800,60535872,
105,76498560,65324678,
106,59602080,63607898,
107,61230880,62894792,
108,61417760,62451682,
109,73144800,65659617,
110,55774560,62694099,
111,63669280,62986653,
112,56650240,61085729,
113,56136320,59600906,
114,59510880,59573898,
115,63401920,60722304,
116,42787040,55341724,
117,54904000,55210406,
118,76380320,61561380,
119,60342560,61195734,
120,57521600,60093493,
121,66663840,62064597,
122,67759360,63773025,
123,64978560,64134685,
124,63729920,64013255,
125,58548240,62373750,
126,114768960,78092313,
127,112629760,88453547,
128,107987040,94313594,
129,91744160,93542763,
130,92759040,93307646,
131,85862720,91074168,
132,125958400,101539437,
133,94301120,99367941,
134,75616480,92242502,
135,96323840,93466903,
136,109802720,98367648,
137,100878880,99121017,
138,87324320,95582007,
139,92414880,94631868,
140,99862400,96201027,
141,109396480,100159662,
142,113402720,104132579,
143,112664800,106692245,
144,102258720,105362187,
145,126883040,111818442,
146,79178080,102026333,
147,94066080,99638257,
148,84685760,95152507,
149,100387680,96723058,
150,92860320,95564236,
151,97592640,96172757,
152,113844320,101474225,
153,84015520,96236613,
154,106866560,99425597,
155,103941120,100780253,
156,90292320,97633873,
157,70577920,89517087,
158,86837600,88713240,
159,89159680,88847172,
160,127042400,100305740,
161,141473600,112656098,
162,82846720,103713284,
163,75771840,95330850,
164,73076160,88654443,
165,119336000,97858910,
166,96415360,97425845,
167,77660640,91496283,
168,80690240,88254470,
169,69666560,82678097,
170,100147040,87918779,
171,73447840,83577497,
172,95253120,87080183,
173,117344320,96159424,
174,118209440,102774428,
175,88465600,98481779,
176,122266560,105617213,
177,80068480,97952593,
178,96706880,97578879,
179,79042880,92018079,
180,112337760,98113983,
181,48499360,83229596,
182,0,58260717,
183,0,40782501,
184,0,28547750,
185,0,19983425,
186,0,13988397,
