t,data,a0.05,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,9300800,465040,
6,32717760,2077676,
7,25143680,3230976,
8,31244800,4631667,
9,28282240,5814195,
10,29808800,7013925,
11,30290720,8177764,
12,33593600,9448555,
13,29468480,10449551,
14,28537920,11353969,
15,29995520,12286046,
16,32344320,13288959,
17,33048960,14276959,
18,33220480,15224135,
19,30700160,15997936,
20,32937280,16844903,
21,30471040,17526209,
22,33151360,18307466,
23,34870400,19135612,
24,28405440,19599103,
25,29525760,20095435,
26,29841280,20582727,
27,32894720,21198326,
28,31133120,21695065,
29,32894720,22255047,
30,30659840,22675286,
31,30278560,23055449,
32,35280320,23666692,
33,30886720,24027693,
34,32424960,24447556,
35,30396000,24744978,
36,32819840,25148721,
37,33759360,25579252,
38,28351360,25717857,
39,33226080,26093268,
40,29858560,26281532,
41,30465280,26490719,
42,30146080,26673487,
43,34298240,27054724,
44,30886720,27246323,
45,35921600,27680086,
46,27769920,27684577,
47,29958720,27798284,
48,31714560,27994097,
49,29814400,28085112,
50,31479680,28254840,
51,31416320,28412914,
52,27721600,28378348,
53,31458720,28532366,
54,30353600,28623427,
55,32212160,28802863,
56,31175680,28921503,
57,33461120,29148483,
58,32771520,29329634,
59,31352960,29430800,
60,32542400,29586380,
61,33177760,29765949,
62,29841280,29769715,
63,34912800,30026869,
64,30305280,30040789,
65,43509520,30714225,
66,69078560,32632441,
67,67441600,34372898,
68,56041920,35456349,
69,59864640,36676763,
70,70481600,38367004,
71,62400000,39568653,
72,60077120,40594076,
73,66963840,41912564,
74,60888320,42861351,
75,81397440,44788155,
76,63754880,45736491,
77,70624960,46980914,
78,48029440,47033340,
79,51589440,47261145,
80,70946400,48445407,
81,54780640,48762168,
82,74255680,50036843,
83,60327360,50551368,
84,59879520,51017775,
85,53489760,51141374,
86,75942080,52381409,
87,85848640,54054770,
88,52320960,53968079,
89,63200000,54429675,
90,68804800,55148431,
91,71368000,55959409,
92,52790560,55800966,
93,73213120,56671573,
94,56707840,56673386,
95,48745280,56276980,
96,71858240,57056043,
97,58243840,57115432,
98,68051840,57662252,
99,69686400,58263459,
100,56880000,58194286,
101,69882560,58778699,
102,69621120,59320820,
103,79077120,60308635,
104,54663360,60026371,
105,58662720,59958188,
106,69231680,60421862,
107,75478560,61174696,
108,59106080,61071265,
109,69596160,61497509,
110,52881280,61066697,
111,50980480,60562386,
112,67380480,60903290,
113,54532160,60584733,
114,61534240,60632208,
115,61950240,60698109,
116,77100480,61518227,
117,65838080,61734219,
118,76449760,62469996,
119,66060800,62649536,
120,50441920,62039155,
121,67187200,62296557,
122,60008320,62182145,
123,69168800,62531477,
124,71827680,62996287,
125,70363760,63364660,
126,135135200,66953187,
127,111917760,69201415,
128,93480480,70415368,
129,66077440,70198471,
130,102195840,71798339,
131,113887200,73902782,
132,113853440,75900314,
133,78975840,76054090,
134,67268800,75614825,
135,65945120,75131339,
136,73832480,75066396,
137,98752000,76250676,
138,116358560,78256070,
139,106558560,79671194,
140,64210720,78898170,
141,98310080,79868765,
142,118526720,81801662,
143,96049440,82514050,
144,122311360,84503915,
145,59977280,83277583,
146,121038240,85165615,
147,77500480,84782358,
148,101507360,85618608,
149,105783520,86626853,
150,110887680,87839894,
151,79759200,87435859,
152,81634080,87145770,
153,104145600,87995761,
154,73866240,87289284,
155,119140640,88881851,
156,80310400,88453278,
157,79896800,88025454,
158,105152800,88881821,
159,132386080,91057033,
160,83033120,90655837,
161,96109600,90928525,
162,102964640,91530330,
163,81948960,91051261,
164,117606720,92379033,
165,87814080,92150785,
166,75564000,91321445,
167,106958240,92103284,
168,98288000,92412519,
169,93014720,92442629,
170,104710400,93056017,
171,115590240,94182728,
172,111654880,95056335,
173,77675680,94187302,
174,118108480,95383360,
175,92117440,95220064,
176,91381760,95028148,
177,79619680,94257724,
178,95939840,94341829,
179,96816320,94465553,
180,83009600,93892755,
181,58801120,92138173,
182,0,87531264,
183,0,83154700,
184,0,78996965,
185,0,75047116,
186,0,71294760,
