EWMA: using alpha list [0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.4, 0.5]
Select pair [0-1] : Selected port pair (3630, 3633)
t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
71,51608320,17725036,27447375,38409506,43607243,48772575,51465388,52713796,53198581,
72,60359680,18151382,28105621,39507014,45282486,51089996,54133675,55772149,56779130,
73,65845504,18628323,28860418,40823938,47338787,54041097,57647223,59801491,61312317,
74,55445504,18996494,29392119,41555016,48149458,54321978,56986707,58059096,58378910,
75,52779264,19334321,29859861,42116228,48612438,54013435,55724474,55947163,55579087,
76,96437248,20105350,31191408,44832279,53394919,62498197,67938306,72143197,76008167,
77,58560768,20489904,31738795,45518703,53911503,61710711,65125044,66710225,67284467,
78,61444608,20899451,32332911,46314998,54664813,61657490,64020913,64603978,64364537,
79,47662336,21167079,32639499,46382364,53964565,58858459,59113339,57827321,56013436,
80,78781184,21743220,33562332,48002305,56446226,62843004,65013692,66208866,67397310,
81,53522944,22061017,33961544,48278336,56153897,60978992,61566467,61134497,60460127,
82,83797248,22678379,34958258,50054281,58918232,65542643,68235701,70199597,72128687,
83,66040320,23111998,35579899,50853582,59630440,65642178,67577086,68535886,69084503,
84,67687936,23557757,36222059,51695299,60436189,66051329,67610341,68196706,68386219,
85,48160768,23803787,36460833,51518572,59208646,62473216,61775469,60182330,58273493,
86,38996992,23955719,36511556,50892493,57187480,57777971,54941925,51708194,48635242,
87,70571776,24421879,37192760,51876457,58525909,60336732,59630880,59253626,59603509,
88,44706304,24624723,37343030,51517949,57143948,57210646,55153507,53434697,52154906,
89,48680960,24865285,37569788,51376099,56297649,55504708,53211742,51533202,50417933,
90,45999872,25076630,37738389,51107287,55267871,53603740,51048181,49319870,48208902,
91,70824960,25534113,38400120,52093170,56823579,57047984,56981214,57921906,59516931,
92,64927744,25928049,38930672,52734898,57633995,58623936,59365173,60724241,62222337,
93,72761344,26396381,39607285,53736220,59146729,61451417,63384024,65539082,67491840,
94,59080960,26723226,39996758,54003457,59140152,60977325,62093104,62955833,63286400,
95,54693888,27002932,40290700,54037978,58695525,59720637,59873339,59651055,58990144,
96,49895424,27231856,40482794,53830850,57815514,57755594,56879964,55748802,54442784,
97,61899520,27578532,40911128,54234283,58223914,58584379,58385830,58209089,58171152,
98,57881344,27881560,41250532,54416636,58189657,58443772,58234484,58077991,58026248,
99,49576960,28098514,41417060,54174652,57328387,56670409,55637226,54677578,53801604,
100,69299968,28510528,41974718,54930917,58525545,59196320,59736048,60526534,61550786,
101,61595904,28841381,42367141,55264166,58832580,59676236,60294004,60954282,61573345,
102,65310464,29206071,42826007,55766480,59480368,60803081,61798942,62696754,63441904,
103,63186176,29545872,43233210,56137464,59850948,61279700,62215112,62892522,63314040,
104,57382912,29824242,43516204,56199736,59604144,60500342,60765452,60688678,60348476,
105,59557632,30121575,43837032,56367630,59599492,60311800,60403106,60236259,59953054,
106,54527744,30365636,44050846,56275635,59092317,59154988,58640497,57952853,57240399,
107,71930624,30781285,44608441,57058384,60376147,61710115,62627535,63543961,64585511,
108,42949888,30902971,44575269,56352959,58633521,57958069,56724240,55306331,53767699,
109,99978752,31593728,45683338,58534248,62768044,66362205,69700593,73175299,76873225,
110,59897856,31876769,45967628,58602428,62481025,65069335,66759771,67864321,68385540,
111,71605248,32274053,46480380,59252568,63393447,66376517,68213414,69360691,69995394,
112,80414976,32755462,47159071,60310688,65095599,69184208,71873882,73782405,75205185,
113,73260800,33160515,47681105,60958193,65912119,69999526,72289957,73573763,74232992,
114,80126208,33630171,48330007,61916593,67333527,72024862,74640832,76194741,77179600,
115,73990656,34033775,48843219,62520296,67999239,72418020,74445779,75313107,75585128,
116,80703744,34500474,49480429,63429468,69269689,74075164,76323168,77469361,78144436,
117,84122624,34996695,50173272,64464125,70754982,76084656,78663004,80130666,81133530,
118,57368064,35220408,50317167,64109321,69416290,72341337,72274522,71025625,69250797,
119,66293504,35531138,50636693,64218530,69104011,71131770,70480216,69132776,67772150,
120,53884928,35714675,50701657,63701849,67582102,67682401,65501629,63033636,60828539,
121,74770944,36105237,51183042,64255303,68300986,69100109,68282423,67728559,67799741,
122,63872512,36382909,51436831,64236163,67858138,68054589,66959449,66186140,65836126,
123,38411520,36403195,51176324,62944930,64913476,62125975,58395070,55076292,52123823,
124,48674048,36525903,51126278,62231385,63289533,59435589,55478763,52515394,50398935,
125,47676096,36637404,51057274,61503620,61728189,57083690,53137962,50579674,49037515,
126,80255744,37073587,51641243,62441226,63580944,61718100,61273296,62450102,64646629,
127,102898176,37731832,52666381,64464073,67512667,69954115,73760760,78629331,83772402,
128,82691584,38181429,53266885,65375448,69030558,72501608,76440007,80254232,83231993,
129,70642944,38506044,53614406,65638822,69191796,72129875,74700888,76409716,76937468,
130,98727680,39108260,54516671,67293264,72145384,77449436,81908925,85336901,87832574,
131,94081536,39657992,55307968,68632677,74338999,80775856,85560708,88834755,90957055,
132,73158912,39993001,55664986,68858988,74220990,79252467,81840169,82564417,82057983,
133,111484416,40707915,56781374,70990259,77947332,85698856,90733443,94132416,96771199,
134,88493824,41185774,57415622,71865437,79001981,86257849,90061557,91876979,92632511,
135,92780032,41701716,58122910,72911166,80379786,87562285,90877099,92238200,92706271,
136,111065088,42395349,59181753,74818862,83448316,92262845,96933495,99768955,101885679,
137,95598592,42927381,59910089,75857848,84663343,92929994,96533024,98100809,98742135,
138,138238976,43880496,61476666,78976904,90020906,101991790,109044809,114156075,118490555,
139,113449472,44576185,62516122,80700532,92363762,104283326,110366207,113873433,115970013,
140,93286400,45063287,63131527,81329825,92456025,102083940,105242264,105638619,104628206,
141,81723392,45429888,63503364,81349503,91382761,98011830,98186602,96072528,93175799,
142,73454592,45710135,63702388,80954757,89589944,93100382,90766998,87025353,83315195,
143,95989248,46212926,64348125,81706481,90229874,93678155,92333673,90610911,89652221,
144,69935872,46450155,64459879,81117950,88200473,88929698,85614332,82340895,79794046,
145,92845312,46914106,65027587,81704318,88664956,89712820,87783626,86542661,86319679,
146,99089664,47435861,65708828,82573585,89707426,91588188,91175437,91561462,92704671,
147,101829120,47979793,66431233,83536361,90919595,93636374,94371541,95668525,97266895,
148,112422912,48624224,67351066,84980688,93069926,97393681,99786952,102370279,104844903,
149,98012672,49118108,67964298,85632287,93564200,97517479,99254667,100627236,101428787,
150,88414720,49511074,68373306,85771408,93049252,95696927,96002682,95742229,94921753,
151,91081984,49926783,68827479,86036936,92852525,94773938,94526472,93878131,93001868,
152,90214656,50329661,69255222,86245822,92588738,93862081,93232927,92412741,91608262,
153,51333376,50339698,68896785,84500199,88463201,85356340,80663061,75980995,71470819,
154,121052672,51046827,69939902,86327822,91722148,92495606,92779944,94009665,96261745,
155,80530688,51341665,70151717,86037965,90603002,90102622,89105167,88618074,88396216,
156,106836224,51896610,70885407,87077877,92226324,93449342,94424484,95905334,97616220,
157,87208192,52249725,71211862,87084392,91724510,92201112,92259596,92426477,92412206,
158,67340800,52400635,71134440,86097212,89286139,87229049,84783957,82392206,79876503,
159,84614144,52722770,71404034,86023058,88818939,86706068,84733013,83280981,82245323,
160,116160256,53357144,72299158,87529917,91553070,92596905,94161185,96432691,99202789,
161,60547584,53429048,72064126,86180800,88452521,86187040,84077104,82078648,79875186,
162,94912256,53843880,72521088,86617372,89098494,87932083,87327649,87212091,87393721,
163,80906496,54114506,72688796,86331828,88279294,86526965,85401303,84689853,84150108,
164,75413760,54327498,72743295,85785924,86992740,84304324,82405040,80979415,79781934,
165,84310528,54627328,72974639,85712154,86724518,84305564,82976686,82311860,82046231,
166,105218304,55133237,73619512,86687461,88573896,88488112,89649171,91474437,93632267,
167,102327552,55605180,74193672,87469465,89949261,91256000,93452685,95815683,97979909,
168,129255168,56341679,75294901,89558750,93879851,98855833,104193429,109191477,113617538,
169,95425536,56732517,75697513,89852089,94034419,98169773,101563061,103685100,104521537,
170,69097216,56856163,75565507,88814345,91540698,92355261,91823307,89849946,86809376,
171,64609280,56933694,75346382,87604091,88847556,86806064,83659098,79753679,75709328,
172,76396800,57128325,75367390,87043726,87602480,84724211,81480408,78410927,76053064,
173,88921088,57446252,75638463,87137594,87734340,85563586,83712612,82614991,82487076,
174,104488448,57916673,76215462,88005136,89409750,89348558,89945362,91364373,93487762,
175,106171648,58399222,76814585,88913461,91085939,92713176,94813247,97287283,99829705,
176,97076096,58785990,77219815,89321592,91684954,93585760,95492101,97202808,98452900,
177,62411776,58822247,76923654,87976101,88757636,87350963,85568003,83286395,80432338,
178,100940032,59243424,77403981,88624297,89975875,90068776,90179611,90347849,90686185,
179,87642368,59527413,77608748,88575200,89742524,89583494,89418438,89265656,89164276,
180,73838336,59670522,77533339,87838356,88152105,86434462,84744407,83094728,81501306,
181,112763136,60201448,78237934,89084595,90613208,91700196,93150025,94962091,97132221,
182,79229184,60391725,78257759,88591824,89474805,89205993,88973772,88668928,88180702,
183,114583808,60933645,78984279,89891423,91985705,94281556,96656782,99034880,101382255,
184,81116160,61135470,79026916,89452659,90898750,91648476,91994595,91867392,91249207,
185,118039296,61704508,79807163,90881990,93612804,96926640,99808005,102336153,104644251,
186,119932160,62286784,80609662,92334498,96244739,101527744,105845251,109374555,112288205,
187,84649728,62510413,80690463,91950259,95085237,98152140,99486594,99484624,98468966,
188,79504128,62680350,80666736,91327952,93527126,94422537,93491854,91492425,88986547,
189,96480768,63018354,80983016,91585592,93822490,94834183,94388528,93487762,92733657,
190,100325888,63391429,81369873,92022606,94472829,95932524,96169736,96223012,96529772,
191,84750592,63605020,81437487,91659005,93500605,93696137,92743992,91634044,90640182,
192,100044032,63969410,81809617,92078256,94154947,94965716,94934004,94998039,95342107,
193,97911808,64308833,82131660,92369933,94530633,95554934,95827345,96163546,96626957,
194,94066688,64606411,82370360,92454770,94484238,95257284,95299147,95324802,95346822,
195,103527168,64995618,82793496,93008389,95388531,96911260,97767553,98605748,99436995,
196,89123840,65236900,82920102,92814161,94762061,95353776,95174439,94812984,94280417,
197,84013824,65424669,82941976,92374144,93687237,93085785,91826254,90493320,89147120,
198,103852544,65808947,83360187,92948064,94703767,95239136,95434141,95837009,96499832,
199,86377472,66014632,83420532,92619534,93871137,93466803,92717140,92053194,91438652,
200,95266304,66307148,83657447,92751872,94010653,93826703,93481889,93338438,93352478,
201,90192896,66546005,83788155,92623923,93628877,93099941,92495191,92080221,91772687,
202,88379136,66764336,83879974,92411683,93103902,92155780,91260374,90599787,90075911,
203,109330432,67189996,84388983,93257620,94726555,95590710,96681391,98092045,99703171,
204,76671744,67284813,84234638,92428326,92921073,91806916,90678496,89523924,88187457,
205,48943104,67101395,83528807,90254064,88523276,83234153,78157878,73291596,68565280,
206,4480,66430425,81858320,85741584,79671396,66588218,54711858,43976749,34284880,
207,0,65766120,80221153,81454504,71704256,53270574,38298300,26386049,17142440,
208,0,65108458,78616729,77381778,64533830,42616459,26808810,15831629,8571220,
209,0,64457373,77044394,73512689,58080447,34093167,18766167,9498977,4285610,
210,0,63812799,75503506,69837054,52272402,27274533,13136316,5699386,2142805,
211,0,63174671,73993435,66345201,47045161,21819626,9195421,3419631,1071402,
