t,data0,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,data1,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,data2,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
148,33301120,23732967,29279202,30830764,30879338,31176571,31460760,31697029,31920352,57674560,35523931,50984837,61840392,62939795,63292369,63192844,62694547,62004550,95223040,19551324,35048897,64502723,83465110,89679283,90367564,91156178,92015906,
149,33412640,23829763,29361870,30959857,31132668,31623784,32046324,32383273,32666496,75654400,35925235,51478228,62531092,64211255,65764775,66931310,67878488,68829475,94391840,20299729,36235755,65997178,84557783,90621794,91574846,92450442,93203873,
150,32126720,23912732,29417166,31018200,31232073,31724371,32070442,32280651,32396608,65052800,36216510,51749719,62657177,64295409,65622380,66367757,66748212,66941137,100742400,21104155,37525887,67734439,86176244,92645915,94325112,95767225,96973136,
151,33828480,24011889,29505392,31158714,31491713,32145192,32597853,32899782,33112544,57193280,36426277,51858590,62383982,63585196,63936560,63615413,62926239,62067208,83328800,21726401,38441945,68514157,85891499,90782492,91026218,90791855,90150968,
152,31362240,24085392,29542528,31168890,31478765,31988601,32227169,32284765,32237392,72909760,36791111,52279613,62910270,64517652,65731200,66403717,66919647,67488484,101045600,22519592,39694018,70140729,87406909,92835113,94032032,94893353,95598284,
153,31004160,24154579,29571760,31160653,31431304,31791712,31860266,31772523,31620776,57877280,37001972,52391566,62658620,63853614,64160416,63845785,63302700,62682882,98224960,23276645,40864636,71544940,88488714,93913082,95289910,96225995,96911622,
154,31528000,24228313,29610884,31179020,31440973,31738969,31760586,31674713,31574388,59031360,37222265,52524361,62477257,63371388,63134604,62401457,61594164,60857121,86811200,23911990,41783567,72308253,88320962,92492705,92746297,92460077,91861411,
155,29308160,24279111,29604829,31085477,31227691,31252807,31024858,30728091,30441274,58816960,37438211,52650212,62294242,62915945,62271075,61326107,60483282,59837040,90313280,24576002,42754161,73208504,88520193,92056820,92016391,91601358,91087345,
156,33392000,24370239,29680572,31200803,31444121,31680645,31735000,31793654,31916637,72695360,37790782,53051114,62814297,63893886,64355932,64736882,65368113,66266200,99600640,25326248,43891090,74528110,89628237,93565584,94291665,94801070,95343992,
157,35008640,24476623,29787133,31391194,31800572,32346244,32717092,33079648,33462638,68943040,38102304,53368952,63120734,64398801,65273353,65998729,66798083,67604620,127677600,26349761,45566820,77185584,93433173,100387987,104307445,107951682,111510796,
158,30471040,24536567,29800811,31345186,31667618,31971203,32043276,32036204,31966839,57381280,38295093,53449198,62833761,63697048,63694938,63413494,63031361,62492950,124211680,27328380,47139717,79536888,96511023,105152725,110278715,114455681,117861238,
159,32109440,24612295,29846983,31383398,31711800,31998850,32063125,32065498,32038139,60135040,38513492,53582914,62698824,63340847,62982958,62429957,61872832,61313995,87392640,27929022,47944775,79929675,95599184,101600708,103412892,103630464,102626939,
160,30311040,24669282,29856264,31329780,31571724,31661288,31537499,31363714,31174589,68153920,38809896,53874334,62971578,63822154,64017150,64147145,64385267,64733957,86670720,28516438,48719293,80266727,94706337,98614710,98390240,96846566,94648829,
161,33828480,24760873,29935708,31454715,31797399,32094726,32224793,32349620,32501534,54039680,38962193,53877640,62524983,62843906,62021656,61114905,60247032,59386818,102765760,29258931,49800222,81391678,95512279,99444920,99702896,99214243,98707294,
162,32659840,24839862,29990190,31514971,31883643,32207748,32355307,32473708,32580687,85705920,39429630,54514205,63684029,65130107,66758508,68492209,70430587,72546369,112178080,30088122,51047779,82930998,97178859,101991552,103445451,104399777,105442687,
163,32100000,24912463,30032386,31544222,31905278,32186198,32278714,32324224,32340343,59292480,39628258,54609770,63464451,64546344,65265302,65732290,65975344,65919424,84284640,30630087,51712516,82998680,95889437,98450169,97697207,96353722,94863663,
164,30187840,24965216,30035495,31476402,31733534,31786526,31651451,31469670,31264091,53297280,39764948,54583520,62956092,63421437,62871697,62001787,60904118,59608352,104800800,31371794,52774281,84088786,96780573,99720295,99828284,99732553,99832231,
165,29184960,25007413,30018484,31361829,31478676,31266212,30911503,30555786,30224525,69627040,40063568,54884390,63289639,64041997,64222765,64289362,64393286,64617696,94779840,32005874,53614392,84623338,96580499,98732204,98313750,97751467,97306035,
166,27999040,25037329,29978095,31193689,31130712,30612777,30037764,29533087,29111782,82096320,40483895,55428628,64229973,65847429,67797476,69631449,71474499,73357008,117825920,32864074,54898622,86283467,98705041,102550947,104167401,105781248,107565977,
167,30103520,25087990,29980603,31139180,31027992,30510925,30057490,29761260,29607651,53323520,40612291,55386525,63684650,64595038,64902684,64739070,64214107,63340264,96306560,33498498,55726780,86784621,98465192,101302069,101809148,101991372,101936268,
168,28772800,25124838,29956446,31020861,30802472,30163300,29672083,29365876,29190225,71532480,40921492,55709444,64077041,65288782,66228643,66777093,67141456,67436372,99963520,34163148,56611514,87443565,98615024,101034359,101255459,101180231,100949894,
169,32238400,25195973,30002085,31081737,30946064,30578320,30441978,30514885,30714312,63652480,41148801,55868304,64055812,65125151,65713410,65839709,65745865,65544426,93728640,34758802,57353856,87757818,98126385,99573215,98997413,98199594,97339267,
170,31874560,25262758,30039534,31121378,31038913,30837568,30871752,31058755,31294436,76074720,41498060,56272432,64656757,66220107,67785672,68910212,69877407,70809573,74490720,35156121,57696593,87094463,95762818,94556716,91645405,88716044,85914993,
171,31347040,25323600,30065684,31132661,31069725,30939462,31014338,31174069,31320738,60135040,41684429,56349684,64430671,65611600,66255545,66277660,65980460,65472306,100439040,35808950,58551441,87761691,96230440,95733180,94283495,93405242,93177016,
172,32654080,25396904,30117451,31208731,31228160,31282385,31506260,31766073,31987409,61283040,41880415,56448351,64273289,65178744,65261044,64779274,64101492,63377673,91961280,36370473,59219637,87971670,95803524,94978800,93586830,92827657,92569148,
173,34057600,25483510,30196253,31351174,31511104,31837428,32271662,32682683,33022504,65531520,42116926,56630014,64336200,65214021,65315139,65004947,64673503,64454596,102760000,37034368,60090444,88711086,96499171,96535040,96338781,96800594,97664574,
174,29462400,25523298,30181575,31256735,31306233,31362422,31428883,31394569,31242452,78332480,42479081,57064063,65036014,66525866,67918607,69003206,70137093,71393538,84737760,37511401,60583390,88512419,95323029,94175584,92858474,91975460,91201167,
175,30534400,25573409,30188631,31220618,31229049,31196817,31160538,31050501,30888426,41573760,42470027,56754256,63862901,64030655,62649637,60774372,58711759,56483649,96071680,38097003,61293155,88890382,95397894,94554803,93822435,93613948,93636423,
176,28821120,25605886,30161280,31100643,30988256,30721677,30458712,30158748,29854773,56788480,42613211,56754940,63509179,63306437,61477405,59578604,57942447,56636064,96697440,38683007,62001240,89280734,95527848,94983330,94684936,94847344,95166931,
177,32350240,25673329,30205059,31163122,31124454,31047389,31026170,31035344,31102506,69151680,42878595,57002874,63791304,63890961,63012260,62450526,62426140,62893872,105713280,39353309,62875480,90102361,96546391,97129320,97993439,99193718,100440105,
178,33172160,25748317,30264401,31263573,31329224,31472343,31669967,31890070,32137333,66600000,43115809,57194816,63931738,64161864,63729808,63695368,64095684,64746936,71425600,39674031,63046482,89168522,94034311,91988576,90023087,88086470,85932852,
179,31138880,25802222,30281890,31257338,31310189,31405650,31510640,31589594,31638106,55854560,43243196,57168010,63527879,63331133,62154758,61343125,60799234,60300748,112674720,40404037,64039046,90343831,95898351,96125804,96818576,97921770,99303786,
180,28368640,25827886,30243625,31112903,31016034,30798248,30568040,30301212,30003373,68212160,43492885,57388893,63762093,63819235,63366238,63403835,63764404,64256454,107368000,41073676,64905625,91195039,97045315,98374243,99983403,101700262,103335893,
181,14926400,25718871,29937280,30303577,29407070,27623878,25875548,24151287,22464886,29568640,43353642,56832487,62052420,60394175,56606718,53253276,50086098,46912547,36523840,41028177,64337989,88461479,90993167,86004162,80945534,75629693,69929866,
182,0,25461682,29338534,28788398,26466363,22099102,18112883,14490772,11232443,0,42920105,55695837,58949799,54354757,45285374,37277293,30051658,23456273,0,40617895,63051229,84038405,81893850,68803329,56661873,45377815,34964933,
183,0,25207065,28751763,27348978,23819726,17679281,12679018,8694463,5616221,0,42490903,54581920,56002309,48919281,36228299,26094105,18030994,11728136,0,40211716,61790204,79836484,73704465,55042663,39663311,27226689,17482466,
184,0,24954994,28176727,25981529,21437753,14143424,8875312,5216677,2808110,0,42065993,53490281,53202193,44027352,28982639,18265873,10818596,5864068,0,39809598,60554399,75844659,66334018,44034130,27764317,16336013,8741233,
185,0,24705444,27613192,24682452,19293977,11314739,6212718,3130006,1404055,0,41645333,52420475,50542083,39624616,23186111,12786111,6491157,2932034,0,39411502,59343311,72052426,59700616,35227304,19435021,9801607,4370616,
186,0,24458389,27060928,23448329,17364579,9051791,4348902,1878003,702027,0,41228879,51372065,48014978,35662154,18548888,8950277,3894694,1466017,0,39017386,58156444,68449804,53730554,28181843,13604514,5880964,2185308,
187,0,24213805,26519709,22275912,15628121,7241432,3044231,1126801,351013,0,40816590,50344623,45614229,32095938,14839110,6265193,2336816,733008,0,38627212,56993315,65027313,48357498,22545474,9523159,3528578,1092654,
188,0,23971666,25989314,21162116,14065308,5793145,2130961,676080,175506,0,40408424,49337730,43333517,28886344,11871288,4385635,1402089,366504,0,38240939,55853448,61775947,43521748,18036379,6666211,2117146,546327,
189,0,23731949,25469527,20104010,12658777,4634516,1491672,405648,87753,0,40004339,48350975,41166841,25997709,9497030,3069944,841253,183252,0,37858529,54736379,58687149,39169573,14429103,4666347,1270287,273163,
190,0,23494629,24960136,19098809,11392899,3707612,1044170,243388,43876,0,39604295,47383955,39108498,23397938,7597624,2148960,504751,91626,0,37479943,53641651,55752791,35252615,11543282,3266442,762172,136581,
191,0,23259682,24460933,18143868,10253609,2966089,730919,146032,21938,0,39208252,46436275,37153073,21058144,6078099,1504272,302850,45813,0,37105143,52568817,52965151,31727353,9234625,2286509,457303,68290,
