t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,6600800,1980240,
6,28452000,9921768,
7,47329760,21144165,
8,28443040,23333827,
9,33424320,26360974,
10,28944320,27135977,
11,29056000,27711983,
12,33876800,29561428,
13,31651360,30188407,
14,32003360,30732892,
15,29958720,30500640,
16,25538400,29011968,
17,34394720,30626793,
18,30365120,30548291,
19,39375520,33196459,
20,36033440,34047553,
21,29136640,32574279,
22,30305280,31893579,
23,28432000,30855105,
24,33636160,31689421,
25,57472480,39424338,
26,59883440,45562068,
27,27363520,40102503,
28,29013440,36775784,
29,31880480,35307192,
30,35644160,35408282,
31,36909600,35858677,
32,32584960,34876561,
33,32184320,34068888,
34,33642080,33940845,
35,27480960,32002879,
36,27375040,30614527,
37,26836000,29480968,
38,35515200,31291237,
39,25415200,29528425,
40,30076160,29692745,
41,31522080,30241545,
42,27011200,29272441,
43,30007040,29492820,
44,32861600,30503454,
45,53036960,37263505,
46,87360800,52292693,
47,58515760,54159613,
48,32530880,47670993,
49,30322560,42466463,
50,29371520,38537980,
51,29531520,35836042,
52,30118720,34120845,
53,31244800,33258031,
54,33166400,33230541,
55,29125120,31998914,
56,33172000,32350839,
57,31597120,32124723,
58,29238880,31258970,
59,28655360,30477887,
60,26893760,29402648,
61,29766400,29511773,
62,30299520,29748097,
63,31651200,30319027,
64,32350080,30928342,
65,60235680,39720543,
66,100346080,57908204,
67,91903680,68106846,
68,74444080,70008016,
69,26664640,57005003,
70,32003520,49504558,
71,33807840,44795542,
72,32009280,40959663,
73,38926720,40349780,
74,29339200,37046606,
75,31421920,35359200,
76,37560000,36019440,
77,26782080,33248232,
78,31587360,32749970,
79,29248320,31699475,
80,27833280,30539616,
81,28197120,29836867,
82,25074560,28408174,
83,37448320,31120217,
84,38622880,33371015,
85,52802000,39200310,
86,78987840,51136569,
87,89872000,62757198,
88,90666240,71129910,
89,68711520,70404393,
90,28420480,57809219,
91,29007680,49168757,
92,30000960,43418417,
93,32343360,40095899,
94,37384800,39282569,
95,38428480,39026342,
96,24192640,34576231,
97,31720320,33719457,
98,36210880,34466883,
99,31720320,33642914,
100,35451680,34185543,
101,30700000,33139880,
102,32461760,32936444,
103,27598400,31335030,
104,30792320,31172217,
105,63466720,40860567,
106,93353920,56608572,
107,88359840,66133952,
108,103034240,77204038,
109,103706720,85154842,
110,67545120,79871925,
111,29242560,64683115,
112,33108480,55210724,
113,30829120,47896242,
114,29606400,42409289,
115,33753440,39812534,
116,35804000,38609973,
117,27721600,35343461,
118,34506400,35092342,
119,29360000,33372639,
120,31287520,32747103,
121,29007680,31625276,
122,32703360,31948701,
123,34153280,32610074,
124,31955200,32413611,
125,16799680,27729431,
126,0,19410601,
127,0,13587420,
128,0,9511194,
129,0,6657835,
130,0,4660484,
