t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,9190240,2757072,
6,28655360,10526558,
7,38195200,18827150,
8,27134400,21319325,
9,39556160,26790375,
10,26670400,26754382,
11,26664640,26727459,
12,25367040,26319333,
13,39017600,30128813,
14,38788480,32726713,
15,28191360,31366107,
16,30769280,31187058,
17,29531520,30690396,
18,33963200,31672237,
19,34325760,32468293,
20,31762880,32256669,
21,39802720,34520484,
22,28239520,32636194,
23,30892480,32113079,
24,24544960,29842643,
25,50681200,36094210,
26,82884960,50131435,
27,28655360,43688612,
28,28073920,39004204,
29,29995680,36301646,
30,27128640,33549744,
31,31705120,32996356,
32,42082560,35722217,
33,28661120,33603887,
34,41501120,35973056,
35,31639680,34673043,
36,32813920,34115306,
37,34160000,34128714,
38,32461760,33628627,
39,35680800,34244278,
40,30187840,33027346,
41,33593600,33197222,
42,26830400,31287175,
43,35024640,32408414,
44,29408320,31508385,
45,46116960,35890957,
46,122784160,61958917,
47,57886000,60737041,
48,26541440,50478360,
49,25367040,42944964,
50,33412960,40085362,
51,34394880,38378217,
52,29365760,35674479,
53,26077440,32795367,
54,31886240,32522628,
55,27998880,31165503,
56,28890240,30482924,
57,35575360,32010654,
58,31058240,31724929,
59,30476960,31350538,
60,29884320,30910672,
61,31295360,31026078,
62,28079680,30142158,
63,26429760,29028438,
64,34464000,30659106,
65,51880480,37025518,
66,88992800,52615702,
67,103214720,67795407,
68,69494880,68305248,
69,37337120,59014809,
70,31410400,50733486,
71,32814080,45357664,
72,27363520,39959420,
73,49700960,42881882,
74,35984800,40812757,
75,32163200,38217889,
76,28570880,35323786,
77,29061760,33445178,
78,36972800,34503464,
79,31473920,33594600,
80,36786240,34552092,
81,37090080,35313488,
82,34171680,34970945,
83,28202880,32940525,
84,32654080,32854591,
85,65110000,42531213,
86,85725920,55489625,
87,77810720,62185953,
88,82569440,68300999,
89,71395200,69229259,
90,25719360,56176289,
91,23611200,46406762,
92,30353600,41590813,
93,30540160,38275617,
94,29537280,35654115,
95,27016960,33062968,
96,29290720,31931293,
97,31874560,31914273,
98,29259840,31117943,
99,35105280,32314144,
100,33006400,32521820,
101,30865760,32025002,
102,39023360,34124509,
103,32307520,33579412,
104,42877920,36368964,
105,40946480,37742218,
106,88969120,53110288,
107,92256160,64854049,
108,113856480,79554778,
109,81149760,80033272,
110,70057600,77040570,
111,28185600,62384079,
112,28073920,52091031,
113,40431840,48593273,
114,35335200,44615851,
115,29958720,40218711,
116,28303040,36644009,
117,28901760,34321334,
118,32163360,33673941,
119,33518560,33627326,
120,29883680,32504232,
121,26782080,30787586,
122,32831520,31400766,
123,29958720,30968152,
124,24956960,29164794,
125,23894560,27583723,
126,0,19308606,
127,0,13516024,
128,0,9461216,
129,0,6622851,
130,0,4635995,
