t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,3792400,1137720,
6,34489600,11143284,
7,39803840,19741450,
8,46591840,27796567,
9,34709760,29870524,
10,20126080,26947190,
11,43235200,31833593,
12,25412960,29907403,
13,23854560,28091550,
14,23024000,26571285,
15,34333600,28899979,
16,22206560,26891953,
17,29061440,27542799,
18,30563680,28449063,
19,22919200,26790104,
20,27887200,27119232,
21,30657600,28180742,
22,49272960,34508407,
23,26372160,32067532,
24,26354880,30353736,
25,32460640,30985807,
26,56677440,38693296,
27,20446080,33219131,
28,30877440,32516623,
29,31826240,32309508,
30,37474880,33859119,
31,24833760,31151511,
32,28426240,30333929,
33,25426880,28861814,
34,34346560,30507237,
35,27016960,29460153,
36,34128800,30860747,
37,29525760,30460250,
38,37912000,32695775,
39,25848320,30641538,
40,30588480,30625620,
41,29184960,30193422,
42,33524480,31192739,
43,26658880,29832581,
44,28778560,29516374,
45,42183200,33316421,
46,94209120,51584230,
47,68522560,56665729,
48,30588480,48842554,
49,23846080,41343611,
50,27251840,37116079,
51,24785600,33416935,
52,31645440,32885486,
53,28778560,31653408,
54,36162240,33006057,
55,27363520,31313295,
56,32820000,31765306,
57,32813920,32079890,
58,27929760,30834851,
59,36343040,32487307,
60,40907840,35013466,
61,32355840,34216178,
62,26360640,31859516,
63,26793600,30339741,
64,34976480,31730762,
65,53272320,38193229,
66,90375200,53847820,
67,82208000,62355874,
68,66483040,63594023,
69,30588640,53692408,
70,30705920,46796461,
71,31523040,42214434,
72,31293120,38938039,
73,31885920,36822403,
74,26782080,33810306,
75,28784320,32302510,
76,29290880,31399021,
77,36231360,32848722,
78,24845280,30447689,
79,37794880,32651846,
80,27658080,31153716,
81,41612800,34291441,
82,29958720,32991624,
83,27962240,31482808,
84,30540160,31200013,
85,46177920,35693385,
86,91806720,52527385,
87,86347040,62673281,
88,111559040,77339008,
89,60252800,72213145,
90,41143840,62892353,
91,26899520,52094503,
92,32413440,46190184,
93,29174080,41085352,
94,26547200,36723906,
95,35093920,36234910,
96,26954400,33450757,
97,37524000,34672729,
98,39028480,35979454,
99,33054560,35101985,
100,33930880,34750653,
101,29254080,33101681,
102,31347360,32575384,
103,31127360,32140976,
104,31693760,32006811,
105,54272800,38686607,
106,90446400,54214544,
107,91124320,65287476,
108,81445920,70135009,
109,92926240,76972378,
110,61203440,72241696,
111,30657600,59766467,
112,36108000,52668926,
113,26658880,44865912,
114,26551520,39371594,
115,27251840,35735667,
116,35216960,35580054,
117,28233920,33376213,
118,26658880,31361013,
119,51279520,37336565,
120,37848640,37490187,
121,32344160,35946378,
122,36502880,36113328,
123,29059680,33997233,
124,29130880,32537327,
125,24541040,30138440,
126,0,21096908,
127,0,14767835,
128,0,10337484,
129,0,7236238,
130,0,5065366,
