t,data,a0.4,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,9515816,3806326,
6,31644128,14941446,
7,31342032,21501680,
8,31529104,25512649,
9,31527984,27918783,
10,31527968,29362457,
11,31492752,30214575,
12,31504480,30730537,
13,31539728,31054213,
14,31516240,31239023,
15,31492736,31340508,
16,31504480,31406096,
17,31504496,31445456,
18,31527984,31478467,
19,31516224,31493569,
20,31492736,31493235,
21,31516240,31502437,
22,31516224,31507951,
23,31492752,31501871,
24,31504480,31502914,
25,31527984,31512942,
26,31504496,31509563,
27,31492736,31502832,
28,31528352,31513040,
29,31504496,31509622,
30,31527968,31516960,
31,31527984,31521369,
32,31481008,31505224,
33,31516224,31509624,
34,31504496,31507572,
35,31516224,31511032,
36,31527984,31517812,
37,31504496,31512485,
38,31504480,31509283,
39,31527984,31516763,
40,31504496,31511856,
41,31504480,31508905,
42,31527968,31516530,
43,31492752,31507018,
44,31516224,31510700,
45,31492752,31503520,
46,31516224,31508601,
47,31516240,31511656,
48,31527968,31518180,
49,31481008,31503311,
50,31539728,31517877,
51,31504848,31512665,
52,31492752,31504699,
53,31539728,31518710,
54,31492736,31508320,
55,31539728,31520883,
56,31504480,31514321,
57,31504496,31510391,
58,31480992,31498631,
59,31527984,31510372,
60,31527984,31517416,
61,31480992,31502846,
62,31551472,31522296,
63,31492736,31510472,
64,31504496,31508081,
65,39925544,34875066,
66,60296224,45043529,
67,60850224,51366207,
68,61423808,55389247,
69,61282048,57746367,
70,61340816,59184146,
71,61150320,59970615,
72,61559168,60606036,
73,61136416,60818188,
74,61315200,61016992,
75,60988528,61005606,
76,61068096,61030602,
77,61188144,61093618,
78,61155088,61118206,
79,61047264,61089829,
80,61300784,61174211,
81,61949376,61484277,
82,62985488,62084761,
83,62950240,62430952,
84,62144176,62316241,
85,61420880,61958096,
86,61808400,61898217,
87,61594336,61776664,
88,61649184,61725672,
89,61521808,61644126,
90,61677104,61657317,
91,61883712,61747875,
92,61585248,61682824,
93,62024640,61819550,
94,61697920,61770898,
95,61526480,61673130,
96,61439536,61579692,
97,62008096,61751053,
98,61603968,61692219,
99,61761456,61719913,
100,61791920,61748715,
101,62170368,61917376,
102,61317344,61677363,
103,62111648,61851077,
104,61479632,61702499,
105,60288688,61136974,
106,60965024,61068194,
107,61853344,61382254,
108,62054976,61651342,
109,61604000,61632405,
110,61042848,61396582,
111,61719344,61525686,
112,61714800,61601331,
113,61404288,61522513,
114,61425696,61483786,
115,61601872,61531020,
116,61672208,61587495,
117,61902320,61713425,
118,61295936,61546429,
119,62457008,61910660,
120,61317200,61673276,
121,61606160,61646429,
122,61996352,61786398,
123,61709680,61755710,
124,61404336,61615160,
125,62554864,61991041,
126,67593808,64232147,
127,67642768,65596395,
128,68244608,66655680,
129,69116096,67639846,
130,69559056,68407530,
131,68846816,68583244,
132,69518576,68957376,
133,69947376,69353376,
134,68985344,69206163,
135,69219936,69211672,
136,68856640,69069659,
137,69311088,69166230,
138,70044096,69517376,
139,68388192,69065702,
140,70003744,69440918,
141,73401536,71025165,
142,72714304,71700820,
143,69226608,70711135,
144,68404080,69788313,
145,69006048,69475407,
146,68839920,69221212,
147,70606560,69775351,
148,68038640,69080666,
149,68580544,68880617,
150,68806864,68851115,
151,69917920,69277837,
152,68200736,68846996,
153,68345696,68646476,
154,69038256,68803188,
155,68867856,68829055,
156,68973296,68886751,
157,68290912,68648415,
158,67272128,68097900,
159,67982944,68051917,
160,67520864,67839495,
161,69131344,68356234,
162,68336432,68348313,
163,67569104,68036629,
164,68025296,68032095,
165,73886480,70373849,
166,69309568,69948136,
167,69321888,69697636,
168,70982688,70211656,
169,80045776,74145304,
170,71444880,73065134,
171,79919664,75806946,
172,70990304,73880289,
173,67224992,71218170,
174,66382960,69284086,
175,66544976,68188442,
176,66674736,67582959,
177,66556992,67172572,
178,65786560,66618167,
179,66498096,66570138,
180,66358256,66485385,
181,33340416,53227397,
182,0,31936438,
183,0,19161862,
184,0,11497117,
185,0,6898270,
186,0,4138962,
