t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
73,30236160,18474261,28361790,38542940,41291389,40359448,37276475,34386892,32435408,
74,31160640,18601124,28417767,38173825,40278314,38519686,35441724,33096391,31798024,
75,31244800,18727560,28474307,37827373,39374962,37064708,34182646,32355754,31521412,
76,31971200,18859996,28544244,37534564,38634585,36046006,33519212,32201932,31746306,
77,31058240,18981978,28594523,37210747,37876950,35048452,32780920,31744455,31402273,
78,33097120,19123129,28684574,37005065,37398967,34658185,32875780,32285521,32249696,
79,30557440,19237472,28722031,36682683,36714814,33838036,32180278,31594288,31403568,
80,30236000,19347457,28752310,36360348,36066932,33117628,31596994,31050972,30819784,
81,29723840,19451220,28771740,36028522,35432622,32438870,31035047,30520119,30271812,
82,28826880,19544976,28772842,35668439,34772047,31716472,30372596,29842823,29549346,
83,29483200,19644358,28787049,35359177,34243162,31269817,30105777,29698973,29516273,
84,32765760,19775572,28866623,35229506,34095421,31569005,30903771,30925687,31141016,
85,59059040,20168406,29470471,36420982,36591782,37067012,39350351,42179028,45100028,
86,70739520,20674117,30295851,38136908,40006555,43801513,48767101,53603224,57919774,
87,112476960,21592145,31939473,41853910,47253595,57536602,67880058,77152718,85198367,
88,107897760,22455201,33458638,45156102,53318011,67608833,79885368,89450734,96548063,
89,79920320,23029852,34387871,46894312,55978241,70071130,79895853,85638568,88234191,
90,29233120,23091884,34284775,46011252,53303728,61903528,64697033,63076388,58733655,
91,31708800,23178053,34233255,45296129,51144235,55864582,54800563,50529352,45221227,
92,29841280,23244685,34145415,44523386,49013939,50659921,47312778,42254123,37531253,
93,35446080,23366698,34171428,44069520,47657153,47617152,43752768,39530905,36488666,
94,33572800,23468759,34159455,43544684,46248717,44808281,40698777,37147663,35030733,
95,31052640,23544597,34097318,42920081,44729109,42057152,37804935,34709653,33041686,
96,31015680,23619307,34035685,42324860,43357766,39848857,35768158,33232063,32028683,
97,29040960,23673523,33935790,41660665,41926085,37687277,33749998,31555621,30534821,
98,33584160,23772629,33928757,41256839,41091892,36866653,33700246,32367036,32059490,
99,29691520,23831817,33844012,40678573,39951854,35431626,32497628,31296829,30875505,
100,28555200,23879050,33738235,40072404,38812188,34056340,31314899,30200177,29715352,
101,31112320,23951382,33685716,39624399,38042201,33467536,31254125,30565034,30413836,
102,34048320,24052351,33692968,39345595,37642812,33583692,32092383,31958348,32231078,
103,29760640,24109433,33614321,38866347,36854594,32819081,31392860,31079264,30995859,
104,35008640,24218425,33642207,38673461,36669998,33256992,32477594,32651014,33002249,
105,45288800,24429128,33875138,39004227,37531878,35663353,36320955,37706128,39145524,
106,118060000,25365436,35558835,42957015,45584690,52142682,60842668,69847676,78602762,
107,91851840,26030300,36684695,45401756,50211405,60084513,70145419,78649341,85227301,
108,107246720,26842464,38095935,48494004,55914936,69516954,81275809,90088292,96237010,
109,81359520,27387634,38961206,50137279,58459394,71885467,81300922,86596783,88798265,
110,64332720,27757084,39468636,50847051,59046726,70374917,76210461,77691157,76565492,
111,30934880,27788861,39297960,49851442,56235541,62486909,62627786,58988646,53750186,
112,27038560,27781357,39052772,48710797,53315842,55397239,51951018,46208611,40394373,
113,32061120,27824154,38912938,47878313,51190369,50730015,45984048,40549614,36227746,
114,33358720,27879499,38801853,47152333,49407204,47255756,42196449,37673256,34793233,
115,33647680,27937180,38698769,46477100,47831251,44534140,39631818,36063025,34220456,
116,31347040,27971278,38551734,45720597,46182829,41896720,37146384,34176631,32783748,
117,31458880,28006154,38409876,45007511,44710434,39809152,35440132,33089530,32121314,
118,33828480,28064377,38318248,44448559,43622238,38613017,34956636,33385110,32974897,
119,31004160,28093774,38171966,43776339,42360430,37091245,33770893,32432730,31989528,
120,32979680,28142633,38068120,43236506,41422355,36268932,33533529,32651510,32484604,
121,32066880,28181875,37948095,42678024,40486807,35428521,33093534,32417658,32275742,
122,31837760,28218433,37825888,42136010,39621902,34710368,32716801,32185698,32056751,
123,33536000,28271608,37740090,41706009,39013311,34475494,32962560,32725818,32796375,
124,32888960,28317781,37643067,41265156,38400875,34158187,32940480,32791074,32842667,
125,19073600,28225339,37271677,40155578,36468147,31141269,28780416,27304084,25958133,
126,65200,27943737,36527547,38151059,32827852,24926055,20165851,16408530,13011666,
127,0,27664299,35796996,36243506,29545066,19940844,14116095,9845118,6505833,
128,0,27387656,35081056,34431330,26590559,15952675,9881266,5907070,3252916,
129,0,27113779,34379434,32709763,23931503,12762140,6916886,3544242,1626458,
130,0,26842641,33691845,31074274,21538352,10209712,4841820,2126545,813229,
131,0,26574214,33018008,29520560,19384516,8167769,3389274,1275927,406614,
