t,data,a0.05,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,10817920,540896,
6,29203840,1974043,
7,37066400,3728660,
8,30983360,5091395,
9,31949440,6434297,
10,31356480,7680406,
11,32584960,8925633,
12,34186560,10188679,
13,30877440,11223117,
14,29242560,12124089,
15,32232640,13129516,
16,31009920,14023536,
17,30817760,14863247,
18,33358720,15788020,
19,30353600,16516299,
20,30534400,17217204,
21,33386240,18025655,
22,31009920,18674868,
23,33177920,19400020,
24,31293120,19994675,
25,28426240,20416253,
26,33033920,21047136,
27,28486080,21419083,
28,34186560,22057456,
29,31293120,22519239,
30,30118720,22899213,
31,31458880,23327196,
32,29494720,23635572,
33,30823360,23994961,
34,29179200,24254172,
35,32413440,24662135,
36,31708800,25014468,
37,32066880,25367088,
38,31639680,25680717,
39,26002560,25696809,
40,32627520,26043344,
41,30775040,26279928,
42,31943680,26563115,
43,33012160,26885567,
44,34656320,27274104,
45,30396160,27430206,
46,33524480,27734919,
47,32238400,27960093,
48,32072640,28165720,
49,32009280,28357898,
50,28474400,28363723,
51,31464640,28518768,
52,32066880,28696173,
53,30886720,28805700,
54,32424960,28986663,
55,31410560,29107857,
56,29947200,29149824,
57,34063360,29395500,
58,33177920,29584621,
59,31368000,29673789,
60,31527840,29766491,
61,30754240,29815878,
62,32072640,29928716,
63,34048320,30134696,
64,29712320,30113577,
65,39616240,30588710,
66,62511360,32184842,
67,64977440,33824471,
68,61770080,35221751,
69,65837760,36752551,
70,59879360,37908891,
71,59767680,39001830,
72,61769920,40140234,
73,60936320,41180038,
74,63583200,42300196,
75,56895040,43029938,
76,61589120,43957897,
77,61188320,44819418,
78,60658880,45611391,
79,59596160,46310629,
80,59527040,46971449,
81,60065760,47626164,
82,67636160,48626663,
83,61411680,49265913,
84,62351200,49920177,
85,63248320,50586584,
86,58866240,51000566,
87,61309440,51516009,
88,64166880,52148552,
89,60077440,52544996,
90,60610560,52948274,
91,65537280,53577724,
92,56516160,53724645,
93,59478720,54012348,
94,59538560,54288658,
95,58054080,54476929,
96,70448800,55275522,
97,66607040,55842097,
98,64742400,56287112,
99,63754720,56660492,
100,63941440,57024539,
101,63754880,57361056,
102,65777920,57781899,
103,62666880,58026148,
104,65100640,58379872,
105,64038080,58662782,
106,57696320,58614458,
107,61225440,58745007,
108,60295040,58822508,
109,62740640,59018414,
110,61721600,59153573,
111,63462400,59369014,
112,62303040,59515715,
113,66392320,59859545,
114,63588960,60046015,
115,63546560,60221042,
116,65825920,60501285,
117,64694240,60710932,
118,66003520,60975561,
119,59773280,60915446,
120,56253760,60682361,
121,58539200,60575202,
122,64097600,60751321,
123,70294720,61228490,
124,63857120,61359921,
125,64178240,61500836,
126,104095200,63630554,
127,86679680,64783010,
128,105780160,66832867,
129,93729920,68177719,
130,87197920,69128729,
131,111040640,71224324,
132,91952000,72260707,
133,85910560,72943199,
134,102633280,74427703,
135,98337120,75623173,
136,87271040,76205566,
137,89647040,76877639,
138,102283840,78147949,
139,103801920,79430647,
140,97456320,80331930,
141,92099840,80920325,
142,87206080,81234612,
143,85641120,81454937,
144,83911680,81577774,
145,108863360,82942053,
146,109685280,84279214,
147,83249760,84227741,
148,100264000,85029553,
149,106390080,86097579,
150,121007520,87843076,
151,96586240,88280234,
152,111094560,89420950,
153,97419040,89820854,
154,95806880,90120155,
155,84347200,89831507,
156,97432320,90211547,
157,85531680,89977553,
158,99918880,90474619,
159,98401920,90870984,
160,89998080,90827338,
161,109085600,91740251,
162,97224640,92014470,
163,81488160,91488154,
164,80955200,90961506,
165,76902720,90258566,
166,84793760,89985325,
167,83553920,89663754,
168,96580320,90009582,
169,86902080,89854206,
170,83582880,89540639,
171,98630720,89995143,
172,90795680,90035169,
173,90015520,90034186,
174,88302240,89947588,
175,96782080,90289312,
176,106054560,91077574,
177,101218080,91584599,
178,103400000,92175369,
179,77043040,91418752,
180,103245760,92010102,
181,55292160,90174204,
182,0,85665493,
183,0,81382218,
184,0,77313107,
185,0,73447451,
186,0,69775078,
