t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
10,11262976,11262976,11262976,11262976,11262976,11262976,11262976,11262976,11262976,
20,32321968,11473565,11684155,12315925,13368875,15474774,17580673,19686572,21792472,
30,38118024,11740009,12212832,13606029,15843789,20003424,23741878,27059152,29955248,
40,32370752,11946316,12615990,14544265,17496485,22476889,26330540,29183792,31163000,
50,45531312,12282165,13274296,16093617,20299967,27087773,32090771,35722800,38347156,
60,30531808,12464661,13619446,16815526,21323151,27776580,31623082,33646403,34439482,
70,48853160,12828545,14324120,18417407,24076151,31991896,36792105,39729105,41646321,
80,30855904,13008818,14654755,19039331,24754126,31764697,35011244,36179824,36251112,
90,51818944,13396919,15398038,20678311,27460607,35775546,40053554,42435472,44035028,
100,33386128,13596811,15757799,21313701,28053159,35297662,38053326,38815734,38710578,
110,56196784,14022810,16566578,23057855,30867521,39477486,43496363,45768154,47453681,
120,40087536,14283457,17036997,23909339,31789522,39599496,42473714,43495906,43770608,
130,21281512,14353437,17121887,23777947,30738721,35935899,36116053,34610148,32526060,
