t,1,2,5,10,20
129,69097672,88985472,89375857,90815875,97928106
130,69080640,94398240,97716017,99634133,92800035
131,68829462,91065585,92805644,106722844,93827271
132,68742897,95048760,101439493,101243768,89913991
133,68420966,96123854,90422515,91340551,98393600
134,68612542,94518727,99698728,84756906,92649777
135,69406993,95602371,91483040,91986737,94539697
136,69675771,94769212,92249715,90373191,104711573
137,69123302,94555832,94629226,96704960,89455182
138,69636547,93469834,91942604,99234791,90642737
139,69464896,92976181,95548924,99818613,100044728
140,68844576,93818346,94437422,92730933,98531697
141,69499476,90056913,91940986,95585386,93450382
142,70210974,93670083,92904693,95485333,89467235
143,68517803,94655182,88871840,90947360,85226808
144,69277193,95276728,97528488,99065742,104028266
145,68828414,94012999,94854880,92598115,105733155
146,68603048,94449347,94325786,96685937,81936711
147,68745660,95085852,97892728,87790524,96546737
148,68310075,94781073,93568977,95321546,92790151
149,68486523,95277016,94330915,94047946,98782044
150,68337121,92080714,101561137,102142115,93168320
151,69001595,95561137,89944906,97547804,91126115
152,68670824,95863523,92182862,97438453,94175004
153,68742892,95136238,94848595,91992551,103504675
154,68983953,91641756,101585920,93138613,98743893
155,69126854,94844789,97777173,98796195,99236551
156,69239233,93661816,96514337,86015182,93952035
157,68955574,92915189,90858844,87174737,92125191
158,68592091,95803633,91731795,98459004,91248320
159,68472804,95001237,98517368,101007342,93786773
160,68621740,96447726,97346951,93928142,98246968
161,69009574,93280718,93931635,97362808,94864604
162,68576406,92320835,90546622,87248906,91767040
163,69001992,95767384,96961671,92808764,96367253
164,68558131,92844504,95672640,90505831,96571911
165,68924105,95120131,89036880,93743484,103573333
166,68139304,96178339,92862622,87147128,92916657
167,68561099,93597312,101583395,96102400,105796017
168,68709596,94495665,93037315,93459342,87391431
169,69750088,95382901,97080328,90286826,91713280
170,68828532,90562979,98430808,93880871,97866275
171,69205027,97563022,94273146,94988408,92478968
172,69781254,94623729,93640657,91111982,88897706
173,68602478,94376462,94688515,99197724,98025351
174,68968638,92834464,96202551,97945511,98213475
175,68204428,94640782,96649955,89504071,103841528
176,68309254,95414680,96839191,94954435,106791751
177,67817932,95323857,92244871,93448053,109575537
178,69267107,93482410,91309715,86694542,101359324
179,67344118,96853173,95082613,93636640,96384142
180,68133907,93035438,91059084,98124551,104644373
181,34728115,52493223,47653635,51685920,52344960
182,0,10741937,0,0,0
183,0,10701048,0,0,0
184,0,9935527,0,0,0
185,0,11018577,0,0,0
186,0,10505169,0,0,0
