t,data,a0.4,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,9575464,3830185,
6,31596480,14936703,
7,31374768,21511929,
8,31516240,25513653,
9,31481008,27900595,
10,31504480,29342149,
11,31551472,30225878,
12,31492736,30732621,
13,31492752,31036673,
14,31516224,31228493,
15,31527984,31348289,
16,31504496,31410771,
17,31516224,31452952,
18,31516240,31478267,
19,31492736,31484054,
20,31516240,31496928,
21,31527968,31509344,
22,31516240,31512102,
23,31480992,31499658,
24,31504496,31501593,
25,31551472,31521544,
26,31480992,31505323,
27,31527984,31514387,
28,31504480,31510424,
29,31492752,31503355,
30,31527968,31513200,
31,31504496,31509718,
32,31540096,31521869,
33,31492736,31510215,
34,31516240,31512625,
35,31480992,31499971,
36,31528000,31511182,
37,31516224,31513198,
38,31492736,31505013,
39,31551472,31523596,
40,31480992,31506554,
41,31527984,31515126,
42,31504480,31510867,
43,31516240,31513016,
44,31481008,31500212,
45,31516224,31506616,
46,31527968,31515156,
47,31527984,31520287,
48,31492752,31509273,
49,31527968,31516751,
50,31492752,31507151,
51,31504496,31506089,
52,31516224,31510143,
53,31504480,31507877,
54,31504496,31506524,
55,31516240,31510410,
56,31516240,31512742,
57,31527968,31518832,
58,31492752,31508400,
59,31540080,31521072,
60,31516240,31519139,
61,31504480,31513275,
62,31504496,31509763,
63,31504480,31507649,
64,31527984,31515783,
65,39820680,34837741,
66,59905952,44865025,
67,61479344,51510752,
68,61545808,55524774,
69,62254688,58216739,
70,61672304,59598965,
71,61738016,60454585,
72,62440464,61248936,
73,61357392,61292318,
74,62264320,61681118,
75,62151664,61869336,
76,60922768,61490708,
77,58024272,60104133,
78,61249536,60562294,
79,61449152,60917037,
80,61578384,61181575,
81,61568752,61336445,
82,61963264,61587172,
83,61460928,61536674,
84,61770416,61630170,
85,62146320,61836630,
86,61523888,61711533,
87,62062032,61851732,
88,61451312,61691564,
89,61577808,61646061,
90,61669632,61655489,
91,61531376,61605843,
92,61482016,61556312,
93,61597008,61572590,
94,61373808,61493077,
95,61566608,61522489,
96,61423008,61482696,
97,61918384,61656971,
98,61688832,61669715,
99,61333904,61535390,
100,61836672,61655902,
101,61702720,61674629,
102,61617904,61651939,
103,61561776,61615873,
104,61369072,61517152,
105,61392624,61467340,
106,61298624,61399853,
107,62276048,61750331,
108,61845840,61788534,
109,61914128,61838771,
110,61681296,61775781,
111,61143344,61522806,
112,60328192,61044960,
113,61516992,61233772,
114,61258608,61243706,
115,61354624,61288073,
116,61730928,61465215,
117,61763616,61584575,
118,61585296,61584863,
119,61228560,61442341,
120,61195104,61343446,
121,58317888,60133222,
122,60758432,60383306,
123,60971968,60618770,
124,61267728,60878353,
125,62920112,61695056,
126,66977728,63808124,
127,64013968,63890461,
128,63641312,63790801,
129,63684032,63748093,
130,63749648,63748715,
131,63742224,63746118,
132,63549952,63667651,
133,63350384,63540744,
134,63263264,63429752,
135,66370832,64606184,
136,70098416,66803076,
137,63397296,65440764,
138,63146016,64522864,
139,60940272,63089827,
140,63195616,63132142,
141,62523536,62888699,
142,64174688,63403094,
143,63975392,63632013,
144,63650928,63639579,
145,62554112,63205392,
146,63411744,63287932,
147,63341360,63309303,
148,63679088,63457217,
149,64082576,63707360,
150,64068816,63851942,
151,64174512,63980970,
152,65863936,64734156,
153,65877392,65191450,
154,64144176,64772540,
155,64291936,64580298,
156,64315488,64474374,
157,64987552,64679645,
158,64508256,64611089,
159,65360640,64910909,
160,64825264,64876651,
161,64489552,64721811,
162,63505056,64235109,
163,65457328,64723996,
164,65006288,64836912,
165,64094992,64540144,
166,61335296,63258204,
167,65816672,64281591,
168,64120576,64217185,
169,64329968,64262298,
170,64273408,64266742,
171,65898736,64919539,
172,75087952,68986904,
173,68149392,68651899,
174,69520752,68999440,
175,64003104,67000905,
176,64879072,66152171,
177,66793296,66408621,
178,72851216,68985659,
179,64583328,67224726,
180,67019312,67142560,
181,33347232,53624428,
182,0,32174656,
183,0,19304793,
184,0,11582875,
185,0,6949725,
186,0,4169835,
