t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
10,5951168,5951168,5951168,5951168,5951168,5951168,5951168,5951168,5951168,
20,33658432,6228240,6505313,7336531,8721894,11492620,14263347,17034073,19804800,
30,34998960,6515947,7075185,8719652,11349600,16193888,20484030,24220027,27401880,
40,30786752,6758655,7549416,9823007,13293315,19112460,23574846,26846717,29094316,
50,44919552,7140263,8296818,11577834,16455938,24273878,29978257,34075851,37006934,
60,32322176,7392082,8777325,12615051,18042561,25883537,30681432,33374381,34664555,
70,46268912,7780850,9527156,14297744,20865196,29960612,35357676,38532193,40466733,
80,34962752,8052669,10035867,15330994,22274951,30961040,35239198,37104416,37714742,
90,50498080,8477123,10845111,17089348,25097263,34868448,39816862,42461881,44106411,
100,39470208,8787053,11417612,18208391,26534557,35788800,39712865,41265211,41788309,
110,43653152,9135713,12062322,19480629,28246416,37361670,40894951,42220387,42720730,
120,48215296,9526508,12785381,20917362,30243304,39532395,43091054,44618350,45468013,
130,24538848,9676631,13020450,21098436,29672858,36533685,37525392,36586549,35003430,
