t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
10,6945818,6945818,6945818,6945818,6945818,6945818,6945818,6945818,6945818,
20,31511916,7191478,7437139,8174122,9402427,11859037,14315647,16772257,19228867,
30,36351252,7483075,8015421,9582978,12097309,16757480,20926328,24603855,27790059,
40,31499725,7723241,8485107,10678815,14037550,19705929,24098347,27362203,29644892,
50,39407607,8040084,9103557,12115254,16574555,23646264,28691125,32180364,34526249,
60,31503080,8274713,9551547,13084645,18067407,25217627,29534711,31909450,33014664,
70,40946450,8601430,10179445,14477735,20355311,28363391,32958232,35524250,36980557,
80,33854509,8853960,10652946,15446573,21705230,29461614,33227115,34856353,35417533,
90,42002824,9185448,11279943,16774385,23734989,31969856,35859827,37714941,38710178,
100,38590716,9479500,11826158,17865201,25220561,33294028,36679093,38065251,38650447,
110,39695927,9781664,12383553,18956737,26668097,34574407,37584143,38717521,39173187,
120,40944763,10093294,12954777,20056138,28095763,35848478,38592329,39608417,40058975,
130,24260026,10234961,13180881,20266332,27712189,33530787,34292638,33469060,32159500,
