t,data,a0.02,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,5313520,106270,
6,26809120,640327,
7,21183680,1051194,
8,34627520,1722720,
9,29184960,2271964,
10,34698880,2920502,
11,31127360,3484639,
12,31244800,4039842,
13,32702400,4613093,
14,32579200,5172415,
15,31479680,5698560,
16,34346400,6271516,
17,34292480,6831935,
18,30470880,7304713,
19,28122240,7721063,
20,31720320,8201048,
21,32120960,8679446,
22,31949440,9144845,
23,31287360,9587695,
24,30353600,10003013,
25,28357120,10370095,
26,32409760,10810888,
27,35644160,11307553,
28,28416960,11649741,
29,34527360,12107293,
30,31934400,12503835,
31,31058240,12874923,
32,30167040,13220765,
33,31714560,13590640,
34,32744960,13973726,
35,33401280,14362277,
36,31645440,14707940,
37,36647040,15146722,
38,34837760,15540542,
39,30545920,15840649,
40,30925760,16142351,
41,32003520,16459574,
42,32419200,16778766,
43,28239680,17007984,
44,27011200,17208048,
45,28068160,17425250,
46,32344320,17723631,
47,32040160,18009961,
48,31009920,18269960,
49,27065280,18445866,
50,29477440,18666497,
51,30230400,18897775,
52,32799040,19175800,
53,31170080,19415685,
54,31160320,19650577,
55,33834240,19934250,
56,30886720,20153299,
57,31522080,20380674,
58,32301760,20619095,
59,32126720,20849247,
60,36156480,21155391,
61,33337920,21399041,
62,28468800,21540436,
63,32350080,21756628,
64,33518720,21991869,
65,48921600,22530463,
66,68617120,23452196,
67,82050400,24624160,
68,52028480,25172246,
69,45803680,25584874,
70,56702880,26207234,
71,55016320,26783415,
72,74201280,27731772,
73,54199360,28261123,
74,67331840,29042537,
75,66931520,29800316,
76,55662560,30317560,
77,68346560,31078140,
78,64534080,31747258,
79,75660160,32625516,
80,54847360,33069952,
81,58102880,33570610,
82,43719840,33773594,
83,73998720,34578096,
84,64926560,35185065,
85,65992320,35801210,
86,62089440,36326974,
87,43437440,36469183,
88,41911520,36578029,
89,53488800,36916244,
90,75097920,37679877,
91,44612320,37818525,
92,64534720,38352848,
93,73716800,39060127,
94,70848960,39695903,
95,69349760,40288980,
96,56480000,40612800,
97,82288160,41446307,
98,65688160,41931144,
99,45240000,41997321,
100,59489760,42347169,
101,44030560,42380836,
102,54483040,42622880,
103,67123360,43112889,
104,82669120,43904013,
105,62987840,44285689,
106,49939520,44398765,
107,68729920,44885388,
108,45818880,44904057,
109,43444160,44874859,
110,72328000,45423921,
111,75559200,46026626,
112,51615520,46138403,
113,52667680,46268988,
114,55160800,46446824,
115,58134880,46680585,
116,73742720,47221827,
117,51995040,47317291,
118,45884800,47288641,
119,62344800,47589764,
120,61806400,47874096,
121,52016960,47956953,
122,66232320,48322460,
123,61507680,48586164,
124,68761920,48989679,
125,78724480,49584375,
126,92876320,50450213,
127,77798880,50997186,
128,98950080,51956243,
129,105424800,53025614,
130,99654560,53958192,
131,105675200,54992532,
132,106674400,56026169,
133,78500960,56475664,
134,87842080,57102992,
135,101391360,57988759,
136,97881600,58786615,
137,98327200,59577426,
138,101575840,60417394,
139,88193920,60972924,
140,120254880,62158563,
141,102277440,62960940,
142,83948800,63380697,
143,88600320,63885089,
144,84200960,64291406,
145,110123680,65208051,
146,84616320,65596216,
147,76540320,65815098,
148,113038080,66759557,
149,96654720,67357460,
150,94300480,67896320,
151,87155360,68281500,
152,93698560,68789841,
153,85471840,69123480,
154,95764480,69656300,
155,113374240,70530658,
156,95180800,71023660,
157,93014560,71463478,
158,91177600,71857760,
159,100097600,72422556,
160,91828960,72810684,
161,91381440,73182099,
162,78841120,73295279,
163,103301280,73895399,
164,91179040,74241071,
165,81499840,74386246,
166,90814720,74714815,
167,101274720,75246013,
168,84948160,75440055,
169,96790080,75867055,
170,99094560,76331605,
171,94888160,76702736,
172,97806720,77124815,
173,125396480,78090248,
174,105415360,78636750,
175,90696800,78877951,
176,98983520,79280062,
177,99462240,79683705,
178,64952320,79389077,
179,101538880,79832073,
180,85207840,79939588,
181,40811520,79157026,
182,0,77573885,
183,0,76022407,
184,0,74501958,
185,0,73011918,
186,0,71551679,
