0,0,0,0,0,
1,0,0,0,0,
2,0,0,0,0,
3,0,0,0,0,
4,0,0,0,0,
5,397691,12018432,4470888,0,
6,397691,14583165,11214818,21786534,
7,1725295,19677071,11214818,19460845,
8,4051819,19677071,22647062,24093586,
9,5816099,24872736,22647062,24093586,
10,5816099,25672810,29769450,30329185,
11,9809046,25672810,32144606,26869123,
12,9809046,27732279,33176761,25809355,
13,14355460,27409199,33176761,26725726,
14,16667636,26981398,30942358,25861355,
15,19364441,29933460,32669173,30649347,
16,22032042,32152000,39348817,44137434,
17,24849419,36419248,41892702,45827071,
18,27739851,36419248,40461210,49003546,
19,30691851,39751368,39266244,49003546,
20,33597324,45736343,39266244,46587479,
21,36398768,45707644,53330767,48081929,
22,39030933,45707644,51921241,51997250,
23,41773570,48262163,50234818,52760651,
24,44562953,50587559,55486035,51605553,
25,47083293,55267940,60731427,58967680,
26,49125555,58549019,70150610,71404713,
27,50889593,62604081,75453964,81916787,
28,50889593,69398914,89633367,81129695,
29,54034438,72374474,89633367,81190088,
30,54034438,74097362,80919999,84213939,
31,56215118,81241787,85063839,85394656,
32,56215118,84322582,87385166,82507353,
33,58326103,83603084,87662077,77200143,
34,59482548,86931168,86119890,78728306,
35,60597469,88066239,84768933,75724149,
36,61912439,86392912,91876518,83420287,
37,63393380,87121653,92182947,84404982,
38,65055809,88626671,85580113,77588904,
39,66445082,89429974,91337493,84233510,
40,67250968,88906950,89163424,77532841,
41,67949527,91272700,91695118,73632210,
42,68520275,92224416,92749785,73632210,
43,69300090,92994277,90376639,75262692,
44,70415591,93018660,91456781,82868632,
45,70910890,91292986,88809134,77175282,
46,71476109,88749104,88200499,84941017,
47,72957607,89274706,88788631,83465625,
48,73831504,91315960,82780624,85310898,
49,75156252,88553371,85985534,80924467,
50,77741452,91734066,81843205,75182622,
51,79171777,94339689,79065461,70341379,
52,81060069,94996368,85562688,74477641,
53,81776242,94996368,84952761,75090383,
54,0,91357900,84952761,76640107,
55,0,91268627,88013315,78701594,
56,0,89365775,80636480,78543993,
57,0,89365775,85263808,76788017,
58,0,83643070,85841430,71831276,
59,0,83328874,89417840,71831276,
60,0,84580834,87204079,74974135,
