t,data,a0.4,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,5784640,2313856,
6,35143360,15445657,
7,26517120,19874242,
8,31293120,24441793,
9,30049600,26684915,
10,29772160,27919813,
11,31009920,29155855,
12,31955200,30275593,
13,31533760,30778859,
14,30994720,30865203,
15,34993600,32516561,
16,29013440,31115312,
17,32633280,31722499,
18,29173440,30702875,
19,30070400,30449885,
20,31169920,30737899,
21,32355840,31385075,
22,31822720,31560133,
23,28784320,30449807,
24,31169760,30737788,
25,33449600,31822512,
26,32900480,32253699,
27,32648320,32411547,
28,31479680,32038800,
29,31287360,31738224,
30,29365760,30789238,
31,30940640,30849798,
32,30780800,30822198,
33,32467520,31480326,
34,34506400,32690755,
35,33352960,32955637,
36,30299520,31893190,
37,31175680,31606186,
38,28592000,30400511,
39,29296640,29958962,
40,31479680,30567249,
41,31229600,30832189,
42,31154880,30961265,
43,32238400,31472119,
44,28886560,30437895,
45,31608640,30906193,
46,33283840,31857251,
47,34458240,32897646,
48,28778560,31250011,
49,31004160,31151670,
50,30892480,31047994,
51,29360000,30372796,
52,33952640,31804733,
53,35804000,33404439,
54,31708800,32726183,
55,30904000,31997309,
56,29109920,30842353,
57,29835520,30439619,
58,29958720,30247259,
59,32461760,31133059,
60,29835520,30614043,
61,29947200,30347305,
62,30338400,30343743,
63,30236160,30300709,
64,31100800,30620745,
65,40304480,34494239,
66,68603520,48137951,
67,61995360,53680914,
68,65425600,58378788,
69,60893760,59384776,
70,63600640,61071121,
71,63769920,62150640,
72,65811200,63614864,
73,65175680,64239190,
74,61950720,63323802,
75,61598400,62633641,
76,66296000,64098584,
77,60269760,62567054,
78,62634400,62593992,
79,65164160,63622059,
80,62383680,63126707,
81,63600640,63316280,
82,59005280,61591880,
83,60728960,61246712,
84,62559360,61771771,
85,66765760,63769366,
86,62218560,63149043,
87,64615040,63735441,
88,61130880,62693616,
89,61544320,62233897,
90,61188480,61815730,
91,66034560,63503262,
92,60535680,62316229,
93,59869760,61337641,
94,64118720,62450072,
95,61282720,61983131,
96,62047360,62008822,
97,66147520,63664301,
98,63296480,63517172,
99,71671680,66778975,
100,61956480,64849977,
101,64631040,64762402,
102,61893120,63614689,
103,65398880,64328365,
104,64636800,64451739,
105,61598400,63310403,
106,62634560,63040065,
107,58919040,61391655,
108,61471680,61423665,
109,66184320,63327927,
110,66323360,64526100,
111,59954240,62697356,
112,59297760,61337517,
113,64838400,62737870,
114,60803840,61964258,
115,62399520,62138362,
116,60824640,61612873,
117,65277760,63078827,
118,60354720,61989184,
119,64663200,63058790,
120,62110240,62679370,
121,64239680,63303494,
122,67054560,64803920,
123,62062400,63707312,
124,65393280,64381699,
125,68420320,65997147,
126,87093120,74435536,
127,92048000,81480521,
128,92527520,85899320,
129,88958400,87122952,
130,91418720,88841259,
131,88323680,88634227,
132,101560960,93804920,
133,111356960,100825736,
134,92042880,97312593,
135,92394880,95345507,
136,94888000,95162504,
137,87948320,92276830,
138,89832320,91299026,
139,84131680,88432087,
140,96441280,91635764,
141,102632960,96034642,
142,86911360,92385329,
143,96986880,94225949,
144,91915200,93301649,
145,96418240,94548285,
146,100226880,96819723,
147,102510080,99095865,
148,95812480,97782511,
149,98342240,98006402,
150,94060160,96427905,
151,95827520,96187751,
152,96248960,96212234,
153,97866400,96873900,
154,86726880,92815092,
155,94002560,93290079,
156,100513600,96179487,
157,99008480,97311084,
158,84212320,92071578,
159,93135680,92497218,
160,97184800,94372250,
161,96281920,95136118,
162,95671840,95350406,
163,93051520,94430851,
164,100488320,96853838,
165,91599680,94752174,
166,101097280,97290216,
167,94246560,96072753,
168,83863680,91189123,
169,108176800,97984193,
170,98450080,98170547,
171,87248640,93801784,
172,92042880,93098222,
173,96703520,94540341,
174,91801920,93444972,
175,92214400,92952743,
176,94120000,93419645,
177,97695040,95129803,
178,91103360,93519225,
179,86778880,90823087,
180,90699040,90773468,
181,45460800,72648400,
182,0,43589040,
183,0,26153424,
184,0,15692054,
185,0,9415232,
186,0,5649139,
