t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,4017920,1205376,
6,29152640,9589555,
7,23511040,13766000,
8,35959680,20424104,
9,33822720,24443688,
10,29841280,26062965,
11,31708800,27756715,
12,34485440,29775332,
13,31955200,30429292,
14,36738560,32322072,
15,32201600,32285930,
16,28986880,31296215,
17,34069120,32128086,
18,31239040,31861372,
19,34773760,32735088,
20,28655360,31511169,
21,27950720,30443034,
22,31239040,30681835,
23,36183040,32332196,
24,27342400,30835257,
25,31100800,30914919,
26,32467200,31380603,
27,32510080,31719446,
28,26799360,30243420,
29,33129600,31109274,
30,28655360,30373099,
31,30865920,30520945,
32,31239040,30736373,
33,31346880,30919525,
34,32917760,31518995,
35,32051840,31678848,
36,32424960,31902681,
37,32883200,32196836,
38,31708800,32050425,
39,34069120,32656033,
40,33461120,32897559,
41,25933440,30808323,
42,34080640,31790018,
43,28185600,30708692,
44,32413440,31220116,
45,33226240,31821953,
46,31593600,31753447,
47,26541440,30189844,
48,32040320,30744986,
49,34069120,31742226,
50,31485440,31665190,
51,28047360,30579841,
52,31015680,30710592,
53,37827200,32845574,
54,30492800,32139741,
55,28655360,31094426,
56,30322560,30862866,
57,32648320,31398502,
58,33118080,31914375,
59,27715840,30654814,
60,31708800,30971009,
61,31358720,31087322,
62,33707520,31873381,
63,29360000,31119366,
64,29594880,30662020,
65,37574560,32735782,
66,58273280,40397031,
67,77276480,51460865,
68,55666560,52722573,
69,58581760,54480329,
70,57888640,55502822,
71,54130560,55091143,
72,76112640,61397592,
73,54708480,59390858,
74,56232960,58443488,
75,57280320,58094537,
76,59875520,58628831,
77,71403520,62461237,
78,59811200,61666225,
79,60460800,61304597,
80,55528320,59571713,
81,59436160,59531047,
82,68469760,62212660,
83,60260480,61627006,
84,64785280,62574488,
85,50595520,58980797,
86,61646720,59780573,
87,56840960,58898689,
88,76347520,64133338,
89,52902720,60764152,
90,55431680,59164410,
91,59894400,59383407,
92,50734080,56788608,
93,70005760,60753753,
94,72451200,64262987,
95,63079040,63907802,
96,60695680,62944165,
97,59521280,61917299,
98,65296640,62931101,
99,60833920,62301946,
100,68126720,64049378,
101,82092800,69462404,
102,65404800,68245122,
103,70627200,68959745,
104,59671040,66173133,
105,68693120,66929129,
106,61978560,65443958,
107,63622080,64897394,
108,52721280,61244559,
109,58827840,60519543,
110,68446720,62897696,
111,62008320,62630883,
112,71596800,65320658,
113,62670720,64525676,
114,79016000,68872773,
115,53992000,64408541,
116,55070080,61607002,
117,64241920,62397477,
118,63898880,62847897,
119,67187200,64149687,
120,71992960,66502668,
121,54685120,62957403,
122,53787520,60206438,
123,61262080,60523130,
124,64241920,61638767,
125,61889600,61714016,
126,115033600,77709891,
127,103946880,85580987,
128,112404480,93628034,
129,75295040,88128135,
130,80844800,85943134,
131,111579520,93634049,
132,81422720,89970650,
133,48078720,77403071,
134,70487040,75328261,
135,66194560,72588150,
136,119843840,86764857,
137,94437760,89066727,
138,87248640,88521300,
139,111291200,95352270,
140,99004160,96447837,
141,106743360,99536493,
142,97263360,98854553,
143,119920000,105174187,
144,100028800,103630570,
145,83490560,97588567,
146,123196800,105271036,
147,81618560,98175293,
148,100818240,98968177,
149,104961280,100766107,
150,101845440,101089906,
151,114741120,105185270,
152,105419520,105255545,
153,78323520,97175937,
154,95577600,96696435,
155,92800640,95527696,
156,60695680,85078091,
157,103123840,90491815,
158,85261440,88922702,
159,89544320,89109187,
160,94988800,90873070,
161,78792960,87249037,
162,77618560,84359893,
163,88947840,85736277,
164,89640960,86907681,
165,108537600,93396656,
166,89748800,92302299,
167,115362240,99220281,
168,94638080,97845620,
169,94776320,96924830,
170,97125120,96984917,
171,95812480,96633185,
172,144794240,111081501,
173,84152320,103002746,
174,88176320,98554818,
175,90965120,96277908,
176,67295040,87583047,
177,98414720,90832548,
178,77233920,86752959,
179,97168320,89877567,
180,84900160,88384344,
181,46271360,75750448,
182,0,53025313,
183,0,37117719,
184,0,25982403,
185,0,18187682,
186,0,12731377,
