t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,9587384,2876215,
6,31593728,11491468,
7,31342480,17446771,
8,31516992,21667837,
9,31492752,24615311,
10,31516208,26685580,
11,31516256,28134782,
12,31516224,29149214,
13,31516240,29859321,
14,31527968,30359915,
15,31492752,30699766,
16,31527984,30948231,
17,31480992,31108059,
18,31527984,31234036,
19,31527968,31322215,
20,31504496,31376899,
21,31480992,31408126,
22,31516240,31440560,
23,31539712,31470305,
24,31528016,31487618,
25,31481008,31485635,
26,31516192,31494802,
27,31527984,31504756,
28,31492736,31501150,
29,31504480,31502149,
30,31504512,31502857,
31,31492736,31499820,
32,31539712,31511787,
33,31492752,31506076,
34,31516240,31509125,
35,31504480,31507731,
36,31551472,31520853,
37,31481008,31508899,
38,31527968,31514619,
39,31504496,31511582,
40,31492736,31505928,
41,31551472,31519591,
42,31480992,31508011,
43,31527984,31514002,
44,31493120,31507737,
45,31504480,31506759,
46,31516240,31509603,
47,31539712,31518635,
48,31481008,31507346,
49,31516224,31510009,
50,31516240,31511878,
51,31504496,31509663,
52,31516224,31511631,
53,31527984,31516536,
54,31492736,31509396,
55,31527984,31514972,
56,31504480,31511824,
57,31527984,31516671,
58,31481008,31505972,
59,31527968,31512570,
60,31481008,31503101,
61,31527936,31510551,
62,31504528,31508744,
63,31527968,31514511,
64,31469232,31500927,
65,39635656,33941345,
66,58877808,41422283,
67,58687808,46601940,
68,56119952,49457343,
69,57425056,51847656,
70,59412592,54117136,
71,59738656,55803592,
72,60385248,57178088,
73,60720960,58240949,
74,60732752,58988489,
75,60032928,59301820,
76,60441216,59643638,
77,59798048,59689960,
78,60215984,59847767,
79,60627024,60081544,
80,60119296,60092869,
81,60044640,60078400,
82,59449840,59889832,
83,59121728,59659400,
84,60225648,59829274,
85,58872336,59542192,
86,58345984,59183329,
87,58834400,59078650,
88,59934112,59335288,
89,59063008,59253603,
90,59292384,59265237,
91,60079920,59509641,
92,58503440,59207780,
93,58670608,59046628,
94,59020176,59038692,
95,58994640,59025476,
96,59006368,59019743,
97,59058160,59031268,
98,59067136,59042028,
99,58550416,58894544,
100,58670608,58827363,
101,58665792,58778891,
102,59680608,59049406,
103,58127648,58772878,
104,58496560,58689982,
105,59022912,58789861,
106,59088592,58879480,
107,58952464,58901375,
108,59774560,59163330,
109,58496560,58963299,
110,59053328,58990307,
111,59511344,59146618,
112,59302032,59193242,
113,59111392,59168687,
114,59266800,59198120,
115,59475472,59281325,
116,61451200,59932287,
117,59324848,59750055,
118,60358976,59932731,
119,58620896,59539180,
120,60093712,59705539,
121,60932368,60073587,
122,57803632,59392600,
123,54655600,57971500,
124,55430704,57209261,
125,54985792,56542220,
126,59592464,57457293,
127,62080832,58844354,
128,64860784,60649283,
129,65513632,62108587,
130,64971360,62967418,
131,67099056,64206909,
132,65000976,64445129,
133,64329328,64410388,
134,64694240,64495543,
135,66871792,65208417,
136,65090896,65173160,
137,66110432,65454341,
138,65023104,65324969,
139,65805072,65468999,
140,65427264,65456478,
141,64212640,65083326,
142,64891120,65025664,
143,64866288,64977851,
144,65924624,65261882,
145,64165824,64933064,
146,64062800,64671984,
147,65809840,65013340,
148,64736464,64930277,
149,65036880,64962257,
150,64176432,64726509,
151,65271136,64889897,
152,65285536,65008588,
153,64108384,64738526,
154,64475168,64659518,
155,63906016,64433467,
156,67446576,65337399,
157,64165824,64985926,
158,67054144,65606391,
159,63825264,65072052,
160,64060000,64768436,
161,64555376,64704518,
162,64345952,64596948,
163,63484608,64263245,
164,64310160,64277319,
165,64418512,64319676,
166,64561552,64392238,
167,63493648,64122660,
168,63690592,63993039,
169,64572016,64166732,
170,63486800,63962752,
171,62103680,63405030,
172,64966464,63873460,
173,64621648,64097916,
174,65487920,64514917,
175,65152336,64706142,
176,63747968,64418689,
177,63639424,64184909,
178,73950640,67114628,
179,64207872,66242601,
180,63440416,65401945,
181,32945008,55664863,
182,0,38965404,
183,0,27275782,
184,0,19093047,
185,0,13365132,
186,0,9355592,
