t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,10334720,3100416,
6,43100160,15100339,
7,42398080,23289661,
8,32178560,25956330,
9,31473920,27611607,
10,32744960,29151612,
11,35466880,31046192,
12,29136640,30473326,
13,30545920,30495104,
14,30076160,30369420,
15,33834240,31408866,
16,29125120,30723742,
17,30534400,30666939,
18,28913280,30140841,
19,34027520,31306844,
20,27962240,30303462,
21,28997760,29911751,
22,28901760,29608753,
23,29360000,29534127,
24,34292480,30961632,
25,31004160,30974390,
26,33822720,31828889,
27,37677440,33583454,
28,28901760,32178945,
29,34538880,32886925,
30,34292480,33308591,
31,33215040,33280525,
32,31004160,32597615,
33,31720320,32334426,
34,25132160,30173746,
35,32894720,30990038,
36,34389120,32009762,
37,26969280,30497617,
38,33226240,31316203,
39,29606400,30803262,
40,31485440,31007915,
41,34057600,31922820,
42,30631040,31535286,
43,32190080,31731724,
44,35701760,32922734,
45,33118080,32981337,
46,32979840,32980887,
47,30172800,32138460,
48,29456640,31333914,
49,32040320,31545835,
50,29360000,30890084,
51,31015680,30927762,
52,34858880,32107097,
53,30769280,31705751,
54,32883200,32058985,
55,27950720,30826505,
56,27480960,29822841,
57,33352960,30881876,
58,31966720,31207329,
59,30780800,31079370,
60,36737920,32776935,
61,28986560,31639822,
62,33599360,32227683,
63,32853120,32415314,
64,31004160,31991967,
65,39694720,34302792,
66,66961920,44100530,
67,86795840,56909123,
68,64229440,59105218,
69,66760320,61401748,
70,55740800,59703463,
71,57428160,59020872,
72,50139200,56356370,
73,73962240,61638131,
74,52280320,58830787,
75,63261440,60159982,
76,55759360,58839795,
77,62331520,59887312,
78,90851520,69176574,
79,67158720,68571217,
80,52976640,63892843,
81,50522240,59881662,
82,37111040,53050475,
83,44912640,50609124,
84,65863040,55185298,
85,47898240,52999180,
86,42289920,49786402,
87,74566400,57220401,
88,86542720,66017096,
89,71733760,67732095,
90,49336320,62213362,
91,73733440,65669385,
92,61880320,64532665,
93,61742720,63695681,
94,46848000,58641376,
95,39099200,52778723,
96,71705920,58456882,
97,52965760,56809545,
98,46378240,53680153,
99,36750720,48601323,
100,60694400,52229246,
101,57780480,53894616,
102,58911680,55399735,
103,63750400,57904934,
104,85359360,66141261,
105,54131840,62538434,
106,64220160,63042951,
107,46999040,58229777,
108,56147840,57605195,
109,50968960,55614324,
110,55538880,55591690,
111,69645440,59807815,
112,67048000,61979870,
113,55720640,60102101,
114,54257280,58348654,
115,56330880,57743321,
116,90663680,67619428,
117,39941120,59315935,
118,50968960,56811842,
119,42866560,52628257,
120,41457280,49276963,
121,59201280,52254258,
122,83405440,61599612,
123,62947840,62004080,
124,43498880,56452520,
125,39512640,51370556,
126,139283200,77744349,
127,60364160,72530292,
128,81942720,75354020,
129,112326720,86445830,
130,111548480,93976625,
131,97776000,95116437,
132,81787840,91117857,
133,71972160,85374147,
134,65874240,79524174,
135,103211520,86630377,
136,106121600,92477743,
137,78226560,88202388,
138,101671040,92242983,
139,128871680,103231592,
140,104349120,103566850,
141,79482560,96341563,
142,96648000,96433494,
143,96587520,96479701,
144,121400320,103955886,
145,107682880,105073984,
146,70569600,94722668,
147,102877440,97169099,
148,89277440,94801601,
149,99696960,96270208,
150,143288320,110375641,
151,76314560,100157316,
152,89535360,96970729,
153,130712960,107093398,
154,84418560,100290946,
155,113204480,104165006,
156,107063680,105034608,
157,118625920,109112001,
158,113465920,110418176,
159,81496000,101741523,
160,99241920,100991642,
161,106729920,102713125,
162,61258560,90276755,
163,117463040,98432640,
164,93140480,96844992,
165,96502080,96742118,
166,83647680,92813786,
167,101344320,95372946,
168,95703680,95472166,
169,94390400,95147636,
170,107780160,98937393,
171,142397760,111975503,
172,101919360,108958660,
173,120459840,112409014,
174,100775040,108918821,
175,123781760,113377702,
176,91714560,106878759,
177,91133440,102155163,
178,118167680,106958918,
179,123088640,111797834,
180,100425280,108386067,
181,69867520,96830502,
182,0,67781351,
183,0,47446945,
184,0,33212861,
185,0,23249002,
186,0,16274301,
