t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,21139200,6341760,
6,22313600,11133312,
7,29360000,16601318,
8,32883200,21485882,
9,22313600,21734197,
10,27011200,23317297,
11,30534400,25482427,
12,22371200,24549058,
13,38755200,28810900,
14,31708800,29680270,
15,28723200,29393149,
16,27011200,28678564,
17,28667200,28675154,
18,22313600,26766687,
19,21139200,25078440,
20,34598400,27934428,
21,25836800,27305139,
22,36406400,30035517,
23,17673600,26326941,
24,37580800,29703098,
25,32883200,30657128,
26,25836800,29211029,
27,28667200,29047880,
28,23545600,27397196,
29,27011200,27281397,
30,38065600,30516657,
31,35232000,31931259,
32,35232000,32921481,
33,29360000,31853036,
34,36406400,33219045,
35,31708800,32765971,
36,37638400,34227699,
37,19964800,29948829,
38,22313600,27658260,
39,22313600,26054862,
40,36406400,29160323,
41,29360000,29220226,
42,34057600,30671438,
43,35232000,32039606,
44,22313600,29121804,
45,27494400,28633582,
46,28668800,28644147,
47,35232000,30620502,
48,34057600,31651631,
49,32883200,32021101,
50,16441600,27347250,
51,42070400,31764195,
52,23488000,29281336,
53,22796800,27335975,
54,43452800,32171022,
55,32940800,32401955,
56,25836800,30432408,
57,35232000,31872285,
58,36406400,33232519,
59,30534400,32423083,
60,32883200,32561118,
61,36406400,33714702,
62,39929600,35579171,
63,35232000,35475019,
64,44627200,38220673,
65,71638400,48245991,
66,41104000,46103393,
67,76428800,55201015,
68,82208000,63303110,
69,48150400,58757297,
70,62243200,59803067,
71,35232000,52431746,
72,71796800,58241262,
73,57545600,58032563,
74,56371200,57534154,
75,36406400,51195827,
76,63417600,54862358,
77,39929600,50382530,
78,53331200,51267131,
79,32883200,45751951,
80,35232000,42595965,
81,42278400,42500695,
82,99824000,59697686,
83,29417600,50613660,
84,34057600,45646842,
85,62718400,50768309,
86,52166400,51187736,
87,50288000,50917815,
88,39929600,47621350,
89,77510400,56588065,
90,39987200,51607805,
91,102664000,66924663,
92,77510400,70100384,
93,54505600,65421948,
94,45801600,59535843,
95,124977600,79168370,
96,59952000,73403459,
97,124486400,88728341,
98,27011200,70213198,
99,50499200,64298998,
100,78684800,68614738,
101,42278400,60713836,
102,49324800,57297125,
103,65766400,59837907,
104,41588800,54363174,
105,39987200,50050381,
106,128009600,73438146,
107,41644800,63900142,
108,61068800,63050739,
109,69347200,64939677,
110,99881600,75422253,
111,47033600,66905657,
112,50556800,62000999,
113,34057600,53617979,
114,76827200,60580745,
115,23545600,49470201,
116,29835200,43579700,
117,35232000,41075390,
118,44627200,42140933,
119,90428800,56627293,
120,98649600,69233985,
121,90486400,75609709,
122,36464000,63865996,
123,65766400,64436117,
124,36464000,56044481,
125,50987200,54527296,
126,86905600,64240787,
127,144451200,88303910,
128,84614400,87197057,
129,49324800,75835379,
130,98649600,82679645,
131,105449600,89510631,
132,62243200,81330401,
133,207172800,119083120,
134,112742400,117180904,
135,224844800,149480072,
136,90910400,131909170,
137,136230400,133205539,
138,81033600,117553957,
139,78684800,105893209,
140,233014400,144029566,
141,45166400,114370616,
142,138694400,121667751,
143,156004800,131968865,
144,81033600,116688285,
145,180182400,135736519,
146,41104000,107346763,
147,58070400,92563854,
148,95126400,93332617,
149,86905600,91404511,
150,190310400,121076277,
151,106195200,116611953,
152,89254400,108404687,
153,151979200,121477040,
154,40398400,97153448,
155,89254400,94783733,
156,137944000,107731813,
157,89369600,102223149,
158,184862400,127014924,
159,142160000,131558446,
160,48633600,106680992,
161,44627200,88064854,
162,91660800,89143637,
163,55196800,78959585,
164,204345600,116575389,
165,120403200,117723732,
166,99131200,112145972,
167,82747200,103326340,
168,113974400,106520758,
169,98707200,104176690,
170,105558400,104591203,
171,52156800,88860882,
172,74486400,84548537,
173,45801600,72924455,
174,142102400,93677838,
175,38755200,77201046,
176,106870400,86101852,
177,70270400,81352416,
178,126160000,94794691,
179,94433600,94686363,
180,86905600,92352134,
181,70464000,85785693,
182,0,60049985,
183,0,42034989,
184,0,29424492,
185,0,20597144,
186,0,14418000,
