EWMA: using alpha list [0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.4, 0.5]
Select pair [0-0] : Selected port pair (3630, 3633)
t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
343,11188800,10109563,10396199,10377736,10376569,10460940,10566341,10660230,10742766,
344,12059040,10129057,10429455,10461801,10544816,10780560,11014150,11219754,11400903,
345,10442880,10132195,10429723,10460854,10534622,10713024,10842769,10909004,10921891,
346,10940160,10140274,10439931,10484819,10575175,10758451,10871986,10921466,10931025,
347,12556320,10164434,10482258,10588394,10773289,11118024,11377286,11575407,11743672,
348,11561760,10178407,10503848,10637062,10852136,11206771,11432628,11569948,11652716,
349,9945600,10176078,10492683,10602488,10761482,10954536,10986519,10920208,10799158,
350,11064480,10184962,10504118,10625587,10791781,10976524,11009907,10977916,10931819,
351,11934720,10202459,10532730,10691043,10906074,11168163,11287350,11360637,11433269,
352,13550880,10235943,10593093,10834034,11170554,11644706,11966409,12236734,12492074,
353,10940160,10242985,10600034,10839340,11147514,11503796,11658534,11718104,11716117,
354,10940160,10249956,10606836,10844381,11126778,11391068,11443021,11406926,11328138,
355,10194240,10249398,10598584,10811873,11033524,11151702,11068386,10921851,10761189,
356,11810400,10265008,10622820,10861799,11111211,11283441,11290990,11277270,11285794,
357,8578080,10248138,10581925,10747613,10857897,10742368,10477117,10197594,9931937,
358,9199680,10237653,10554280,10670216,10692075,10433830,10093885,9798428,9565808,
359,9075360,10226030,10524701,10590473,10530403,10162136,9788327,9509200,9320584,
360,8702400,10210793,10488254,10496069,10347602,9870188,9462548,9186480,9011492,
361,10442880,10213113,10487346,10493409,10357129,9984726,9756647,9689040,9727186,
362,9199680,10202978,10461592,10428722,10241384,9827716,9589556,9493296,9463433,
363,8951040,10190458,10431380,10354837,10112349,9652380,9398001,9276393,9207236,
364,10940160,10197955,10441555,10384103,10195130,9909936,9860648,9941899,10073698,
365,3978240,10135757,10312288,10063809,9573441,8723596,8095925,7556435,7025969,
366,248640,10036885,10111015,9573050,8640960,7028604,5741739,4633317,3637304,
367,0,9936516,9908794,9094397,7776864,5622883,4019217,2779990,1818652,
368,0,9837150,9710618,8639677,6999177,4498306,2813451,1667994,909326,
369,0,9738778,9516405,8207693,6299259,3598644,1969415,1000796,454663,
370,0,9641390,9326076,7797308,5669333,2878915,1378590,600477,227331,
371,0,9544976,9139554,7407442,5102399,2303132,965012,360286,113665,
