EWMA: using alpha list [0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.4, 0.5]
Select pair [0-0] : Selected port pair (3630, 3633)
t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
81,9696960,5683935,8361024,10507851,10867002,11039070,11025947,10895571,10697353,
82,9324000,5720335,8380283,10448658,10712701,10696056,10515362,10266942,10010676,
83,11188800,5775019,8436453,10485665,10760310,10794604,10717393,10635685,10599738,
84,11437440,5831643,8496472,10533253,10828023,10923171,10933407,10956387,11018589,
85,10318560,5876512,8532913,10522518,10777076,10802248,10748952,10701256,10668574,
86,11686080,5934607,8595976,10580696,10867976,10979014,11030090,11095185,11177327,
87,10691520,5982176,8637886,10586237,10850330,10921515,10928519,10933719,10934423,
88,12307680,6045431,8711281,10672309,10996065,11198748,11342267,11483303,11621051,
89,10318560,6088162,8743426,10654621,10928314,11022710,11035154,11017405,10969805,
90,9572640,6123006,8760010,10600521,10792746,10732696,10596399,10439499,10271222,
91,8702400,6148799,8758857,10505614,10583711,10326636,10028199,9744659,9486811,
92,9199680,6179307,8767673,10440317,10445307,10101244,9779643,9526667,9343245,
93,10069920,6218213,8793717,10421797,10407768,10094979,9866726,9743968,9706582,
94,10567200,6261702,8829186,10429067,10423711,10189423,10076868,10073260,10136891,
95,12804960,6327134,8908701,10547861,10661835,10712530,10895295,11165940,11470925,
96,11188800,6375750,8954302,10579907,10714531,10807784,10983346,11175084,11329862,
97,9821280,6410205,8971641,10541975,10625205,10610483,10634726,10633562,10575571,
98,8453760,6430640,8961283,10437564,10408060,10179138,9980436,9761641,9514665,
99,12307680,6489410,9028210,10531069,10598022,10604846,10678609,10780056,10911172,
100,12680640,6551322,9101258,10638547,10806283,11020004,11279218,11540289,11795906,
101,10691520,6592723,9133063,10641195,10794806,10954307,11102908,11200781,11243713,
102,9075360,6617549,9131908,10562903,10622861,10578517,10494643,10350612,10159536,
103,11686080,6668234,9182991,10619061,10729182,10800029,10852074,10884799,10922808,
104,9821280,6699764,9195756,10579171,10638391,10604279,10542835,10459391,10372044,
105,10194240,6734708,9215725,10559924,10593975,10522271,10438256,10353330,10283142,
106,12183360,6789194,9275077,10641095,10752913,10854488,10961787,11085342,11233251,
107,12804960,6849351,9345674,10749288,10958117,11244582,11514738,11773189,12019105,
108,11437440,6895231,9387509,10783695,11006049,11283153,11491548,11638889,11728272,
109,10318560,6929464,9406130,10760438,10937300,11090234,11139651,11110757,11023416,
110,9075360,6950922,9399514,10676184,10751106,10687259,10520363,10296598,10049388,
111,9199680,6973409,9395517,10602358,10595963,10389743,10124158,9857830,9624534,
112,10442880,7008103,9416464,10594384,10580654,10400370,10219774,10091850,10033707,
113,11064480,7048666,9449424,10617888,10629036,10533192,10473185,10480902,10549093,
114,11686080,7095040,9494157,10671297,10734740,10763769,10837053,10962973,11117586,
115,9696960,7121059,9498213,10622580,10630962,10550407,10495025,10456567,10407273,
116,11934720,7169195,9546943,10688187,10761337,10827269,10926933,11047828,11170996,
117,11810400,7215607,9592212,10744297,10866243,11023895,11191973,11352856,11490698,
118,11934720,7262798,9639062,10803818,10973090,11206060,11414797,11585601,11712709,
119,9572640,7285896,9637733,10742259,10833045,10879376,10862149,10780416,10642674,
120,11810400,7331141,9681186,10795666,10930780,11065580,11146624,11192409,11226537,
121,9696960,7354799,9681501,10740730,10807398,10791856,10711724,10594229,10461748,
122,9572640,7376977,9679323,10682325,10683922,10548012,10369998,10185593,10017194,
123,12307680,7426284,9731890,10763592,10846297,10899945,10951302,11034427,11162437,
124,10940160,7461422,9756055,10772420,10855683,10907988,10947959,10996720,11051298,
125,12183360,7508641,9804601,10842967,10988450,11163062,11318579,11471376,11617329,
126,10069920,7534253,9809907,10804314,10896597,10944433,10943981,10910793,10843624,
127,9945600,7558366,9812620,10761378,10801497,10744666,10644466,10524715,10394612,
128,9945600,7582238,9815279,10720589,10715907,10584852,10434806,10293069,10170106,
129,10567200,7612087,9830317,10712919,10701036,10581321,10474524,10402721,10368653,
130,10318560,7639151,9840081,10693201,10662788,10528768,10427734,10369056,10343606,
131,12307680,7685836,9889432,10773924,10827277,10884550,10991717,11144505,11325643,
132,10691520,7715892,9905473,10769803,10813701,10845944,10901657,10963311,11008581,
133,11064480,7749377,9928653,10784536,10838778,10889651,10950503,11003778,11036530,
134,10691520,7778798,9943910,10779885,10824052,10850024,10872808,10878874,10864025,
135,9324000,7794250,9931511,10707090,10674046,10544819,10408165,10256924,10094012,
136,12307680,7839384,9979034,10787119,10837409,10897391,10978019,11077226,11200846,
137,10815840,7869148,9995770,10788555,10835252,10881080,10929365,10972671,11008343,
138,9448320,7884939,9984821,10721543,10696558,10594528,10485051,10362930,10228331,
139,12307680,7929166,10031278,10800849,10857670,10937158,11031839,11140830,11268005,
140,10194240,7951816,10034537,10770518,10791327,10788574,10780559,10762194,10731122,
141,9075360,7963051,10015353,10685760,10619730,10445931,10268999,10087460,9903241,
142,11313120,7996551,10041308,10717128,10689069,10619368,10582235,10577724,10608180,
143,9572640,8012311,10031934,10659903,10577426,10410022,10279356,10175690,10090410,
144,11437440,8046562,10060044,10698779,10663427,10615505,10626781,10680390,10763925,
145,11561760,8081713,10090078,10741928,10753260,10804756,10907274,11032938,11162842,
146,10567200,8106567,10099620,10733191,10734654,10757244,10805251,10846642,10865021,
147,10318560,8128686,10103998,10712459,10693044,10669507,10659243,10635409,10591790,
148,10815840,8155557,10118234,10717628,10705323,10698773,10706222,10707581,10703815,
149,12183360,8195835,10159536,10790914,10853126,10995690,11149363,11297892,11443587,
150,9448320,8208359,10145311,10723784,10712645,10686216,10639050,10558063,10445953,
151,9324000,8219515,10128884,10653794,10573780,10413772,10244535,10064437,9884976,
152,11313120,8250451,10152568,10686760,10647714,10593641,10565110,10563910,10599048,
153,11934720,8287293,10188211,10749158,10776414,10861856,10975993,11112234,11266884,
154,10691520,8311335,10198277,10746276,10767924,10827788,10890651,10943948,10979202,
155,9199680,8320218,10178305,10668946,10611099,10502166,10383359,10246240,10089441,
156,8702400,8324039,10148786,10570618,10420229,10142212,9879071,9628704,9395920,
157,9448320,8335281,10134776,10514503,10323038,10003433,9749845,9556550,9422120,
158,9075360,8342681,10113587,10442545,10198270,9817818,9547499,9364074,9248740,
159,11437440,8373628,10140064,10492289,10322187,10141742,10114481,10193420,10343090,
160,9448320,8384374,10126229,10440090,10234800,10003057,9914632,9895380,9895705,
161,9696960,8397499,10117643,10402933,10181016,9941837,9849330,9816012,9796332,
162,9448320,8408007,10104256,10355202,10107746,9843133,9729027,9668935,9622326,
