t,data,a0.02,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,10817920,216358,
6,29203840,796107,
7,37066400,1521512,
8,30983360,2110748,
9,31949440,2707521,
10,31356480,3280500,
11,32584960,3866589,
12,34186560,4472988,
13,30877440,5001077,
14,29242560,5485906,
15,32232640,6020840,
16,31009920,6520621,
17,30817760,7006563,
18,33358720,7533606,
19,30353600,7990005,
20,30534400,8440892,
21,33386240,8939798,
22,31009920,9381200,
23,33177920,9857134,
24,31293120,10285853,
25,28426240,10648660,
26,33033920,11096365,
27,28486080,11444159,
28,34186560,11899007,
29,31293120,12286889,
30,30118720,12643525,
31,31458880,13019832,
32,29494720,13349329,
33,30823360,13698809,
34,29179200,14008416,
35,32413440,14376516,
36,31708800,14723161,
37,32066880,15070035,
38,31639680,15401427,
39,26002560,15613449,
40,32627520,15953730,
41,30775040,16250156,
42,31943680,16564026,
43,33012160,16892988,
44,34656320,17248254,
45,30396160,17511212,
46,33524480,17831477,
47,32238400,18119615,
48,32072640,18398675,
49,32009280,18670887,
50,28474400,18866957,
51,31464640,19118910,
52,32066880,19377869,
53,30886720,19608046,
54,32424960,19864384,
55,31410560,20095307,
56,29947200,20292344,
57,34063360,20567764,
58,33177920,20819967,
59,31368000,21030927,
60,31527840,21240865,
61,30754240,21431132,
62,32072640,21643962,
63,34048320,21892049,
64,29712320,22048454,
65,39616240,22399809,
66,62511360,23202040,
67,64977440,24037548,
68,61770080,24792198,
69,65837760,25613109,
70,59879360,26298434,
71,59767680,26967818,
72,61769920,27663860,
73,60936320,28329309,
74,63583200,29034386,
75,56895040,29591599,
76,61589120,30231549,
77,61188320,30850684,
78,60658880,31446847,
79,59596160,32009833,
80,59527040,32560177,
81,60065760,33110288,
82,67636160,33800805,
83,61411680,34353022,
84,62351200,34912985,
85,63248320,35479691,
86,58866240,35947421,
87,61309440,36454661,
88,64166880,37008905,
89,60077440,37470275,
90,60610560,37933080,
91,65537280,38485164,
92,56516160,38845783,
93,59478720,39258441,
94,59538560,39664043,
95,58054080,40031843,
96,70448800,40640182,
97,66607040,41159519,
98,64742400,41631176,
99,63754720,42073646,
100,63941440,42511001,
101,63754880,42935878,
102,65777920,43392718,
103,62666880,43778201,
104,65100640,44204649,
105,64038080,44601317,
106,57696320,44863217,
107,61225440,45190461,
108,60295040,45492552,
109,62740640,45837513,
110,61721600,46155194,
111,63462400,46501338,
112,62303040,46817372,
113,66392320,47208870,
114,63588960,47536471,
115,63546560,47856672,
116,65825920,48216056,
117,64694240,48545619,
118,66003520,48894777,
119,59773280,49112347,
120,56253760,49255175,
121,58539200,49440855,
122,64097600,49733989,
123,70294720,50145203,
124,63857120,50419441,
125,64178240,50694616,
126,104095200,51762627,
127,86679680,52460968,
128,105780160,53527351,
129,93729920,54331402,
130,87197920,54988732,
131,111040640,56109770,
132,91952000,56826614,
133,85910560,57408292,
134,102633280,58312791,
135,98337120,59113277,
136,87271040,59676432,
137,89647040,60275844,
138,102283840,61116003,
139,103801920,61969721,
140,97456320,62679452,
141,92099840,63267859,
142,87206080,63746623,
143,85641120,64184512,
144,83911680,64579055,
145,108863360,65464741,
146,109685280,66349151,
147,83249760,66687163,
148,100264000,67358699,
149,106390080,68139326,
150,121007520,69196689,
151,96586240,69744480,
152,111094560,70571481,
153,97419040,71108432,
154,95806880,71602400,
155,84347200,71857296,
156,97432320,72368796,
157,85531680,72632053,
158,99918880,73177789,
159,98401920,73682271,
160,89998080,74008587,
161,109085600,74710127,
162,97224640,75160417,
163,81488160,75286971,
164,80955200,75400335,
165,76902720,75430382,
166,84793760,75617649,
167,83553920,75776374,
168,96580320,76192452,
169,86902080,76406644,
170,83582880,76550168,
171,98630720,76991779,
172,90795680,77267857,
173,90015520,77522810,
174,88302240,77738398,
175,96782080,78119271,
176,106054560,78677976,
177,101218080,79128778,
178,103400000,79614202,
179,77043040,79562778,
180,103245760,80036437,
181,55292160,79541551,
182,0,77950719,
183,0,76391704,
184,0,74863869,
185,0,73366591,
186,0,71899259,
