t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,36406400,10921920,
6,31708800,17157984,
7,19964800,18000028,
8,30534400,21760339,
9,31708800,24744877,
10,34057600,27538693,
11,29360000,28085085,
12,49324800,34456999,
13,23488000,31166299,
14,43510400,34869529,
15,43510400,37461790,
16,36889600,37290133,
17,24662400,33501813,
18,31708800,32963909,
19,42278400,35758256,
20,32883200,34895739,
21,37580800,35701257,
22,22313600,31684959,
23,29360000,30987471,
24,25836800,29442269,
25,31708800,30122228,
26,35232000,31655159,
27,25145600,29702291,
28,32883200,30656563,
29,38755200,33086154,
30,32940800,33042547,
31,18790400,28766902,
32,32883200,30001791,
33,28185600,29456933,
34,31708800,30132493,
35,39987200,33088905,
36,31708800,32674873,
37,27552000,31138011,
38,38755200,33423167,
39,23488000,30442616,
40,37580800,32584071,
41,34057600,33026129,
42,19964800,29107730,
43,30534400,29535731,
44,37580800,31949251,
45,31708800,31877115,
46,39929600,34292860,
47,32883200,33869962,
48,35232000,34278573,
49,39929600,35973881,
50,30534400,34342036,
51,41104000,36370625,
52,18790400,31096557,
53,31708800,31280229,
54,30534400,31056480,
55,27011200,29842896,
56,23488000,27936427,
57,28185600,28011178,
58,34057600,29825104,
59,25894400,28645892,
60,25836800,27803164,
61,19964800,25451654,
62,27011200,25919517,
63,31708800,27656301,
64,34057600,29576690,
65,119788800,56640323,
66,62243200,58321186,
67,56371200,57736190,
68,63417600,59440613,
69,72812800,63452269,
70,71638400,65908108,
71,51731200,61655035,
72,57545600,60422204,
73,62358400,61003062,
74,70947200,63986303,
75,69289600,65577292,
76,57545600,63167784,
77,76336000,67118248,
78,59894400,64951093,
79,56371200,62377125,
80,65824000,63411187,
81,72812800,66231670,
82,64592000,65739769,
83,62243200,64690798,
84,74472000,67625158,
85,47459200,61575370,
86,65766400,62832679,
87,54022400,60189595,
88,61068800,60453356,
89,82265600,66997029,
90,73987200,69094080,
91,66940800,68448096,
92,63475200,66956227,
93,61068800,65189998,
94,78110400,69066118,
95,73987200,70542442,
96,41587200,61855869,
97,66940800,63381348,
98,61068800,62687583,
99,86905600,69952988,
100,64592000,68344691,
101,57545600,65104963,
102,69347200,66377634,
103,66940800,66546583,
104,69289600,67369488,
105,56371200,64070001,
106,66940800,64931240,
107,75161600,68000348,
108,81033600,71910323,
109,75219200,72902986,
110,72812800,72875930,
111,63958400,70200671,
112,68172800,69592309,
113,63417600,67739896,
114,69289600,68204807,
115,68598400,68322884,
116,55196800,64385058,
117,43452800,58105380,
118,62243200,59346726,
119,68115200,61977268,
120,66940800,63466327,
121,65076800,63949468,
122,66249600,64639507,
123,57545600,62511334,
124,56371200,60669293,
125,55196800,59027545,
126,214283200,105604241,
127,97475200,103165528,
128,196609600,131198749,
129,196124800,150676564,
130,83440000,130505594,
131,122195200,128012475,
132,128009600,128011612,
133,58720000,107224128,
134,59952000,93042489,
135,88619200,91715502,
136,90912000,91474451,
137,97532800,93291955,
138,65766400,85034288,
139,203651200,120619361,
140,55678400,101137072,
141,35232000,81365550,
142,54080000,73179885,
143,58025600,68633599,
144,99824000,77990719,
145,196124800,113430943,
146,54022400,95608380,
147,91660800,94424106,
148,55254400,82673194,
149,25836800,65622275,
150,63417600,64960872,
151,81033600,69782690,
152,109219200,81613643,
153,76393600,80047630,
154,55196800,72592381,
155,201996800,111413706,
156,102288000,108675994,
157,77995200,99471755,
158,50556800,84797268,
159,49324800,74155527,
160,49324800,66706308,
161,44627200,60082575,
162,112800000,75897802,
163,79859200,77086221,
164,119628800,89848994,
165,115563200,97563255,
166,71696000,89803078,
167,126142400,100704874,
168,86905600,96565091,
169,110393600,100713643,
170,135537600,111160830,
171,59894400,95780901,
172,129184000,105801830,
173,45801600,87801761,
174,31708800,70973872,
175,68115200,70116270,
176,48150400,63526509,
177,100998400,74768076,
178,115148800,86882293,
179,48150400,75262725,
180,29360000,61491907,
181,0,43044334,
182,0,30131033,
183,0,21091723,
184,0,14764206,
185,0,10334944,
