t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
10,4116160,4116160,4116160,4116160,4116160,4116160,4116160,4116160,4116160,
20,32448000,4399478,4682796,5532752,6949344,9782528,12615712,15448896,18282080,
30,39421920,4749702,5377578,7227210,10196601,15710406,20657574,25038105,28852000,
40,29296800,4995172,5855962,8330689,12106620,18427684,23249341,26741583,29074400,
50,39272960,5337949,6524301,9877802,14823254,22596739,28056426,31754133,34173680,
60,34069120,5625260,7075197,11087367,16747840,24891215,29860234,32680127,34121400,
70,43395200,6002959,7801597,12702758,19412576,28592012,33920723,36966156,38758300,
80,45503200,6397961,8555629,14342780,22021638,31974249,37395466,40380973,42130750,
90,34656320,6680544,9077642,15358457,23285106,32510663,36573722,38091111,38393535,
100,41203040,7025768,9720149,16650686,25076899,34249138,37962517,39335882,39798287,
110,52163040,7477140,10569006,18426303,27785513,37831918,42222673,44466745,45980663,
120,58358880,7985957,11524803,20422931,30842849,41937310,47063535,50023599,52169771,
130,24080960,8146907,11775926,20605832,30166660,38366040,40168762,39646543,38125365,
