t,data_mean,ewma_mean,ewma_mean_low,ewma_mean_high
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,9672071,2901621,2007980,3795262
6,28445688,10564841,8299617,12830064
7,33020408,17301511,14155117,20447904
8,32961991,21999654,19826580,24172728
9,32879786,25263693,22746049,27781337
10,32001173,27284937,25763012,28806861
11,33425742,29127178,27655649,30598706
12,30803271,29630005,27936848,31323162
13,30789973,29977995,28469148,31486843
14,30494933,30133076,29264244,31001908
15,33154595,31039531,29609219,32469844
16,30925546,31005335,29671594,32339076
17,30270862,30784993,29771507,31798479
18,29207715,30311809,29372586,31251032
19,30330240,30317338,29244984,31389691
20,32223288,30889122,29546900,32231345
21,31982186,31217041,30049485,32384597
22,30281884,30936494,29589787,32283200
23,31616924,31140622,29375532,32905713
24,30380835,30912686,29242849,32582523
25,30231182,30708234,28914386,32502082
26,31388195,30912222,29078165,32746279
27,32595840,31417307,29566861,33267752
28,31594666,31470514,30397827,32543201
29,35423822,32656506,31672207,33640804
30,33632106,32949186,30907908,34990463
31,32536284,32825315,31977060,33673569
32,31418880,32403384,31320428,33486339
33,29862542,31641131,31013063,32269198
34,31703360,31659799,30509905,32809693
35,32167608,31812141,31160218,32464064
36,30799360,31508306,30830921,32185692
37,30149511,31100667,30607261,31594074
38,32278968,31454157,30471906,32436408
39,30146666,31061909,30139087,31984731
40,32116124,31378173,30684295,32072051
41,31562168,31433371,30433016,32433727
42,31294471,31391701,30590705,32192696
43,32363235,31683161,31036714,32329607
44,32618097,31963641,31033028,32894254
45,32401137,32094890,31489592,32700187
46,31439075,31898145,31066246,32730043
47,30137457,31369938,30701668,32038208
48,30605262,31140535,30315557,31965512
49,31820515,31344528,30079930,32609126
50,30330951,31040455,29696505,32384405
51,34345528,32031976,30871202,33192750
52,32506666,32174383,30854105,33494660
53,31772266,32053747,31049259,33058236
54,31910080,32010647,30694276,33327017
55,31919360,31983260,30984992,32981528
56,31275128,31770820,30478014,33063627
57,32765191,32069131,30907918,33230344
58,31954133,32034631,30688656,33380606
59,32322062,32120860,31000523,33241196
60,32646257,32278478,31312974,33243982
61,31154453,31941270,31003847,32878694
62,32501688,32109395,31199763,33019027
63,31347448,31880811,30689355,33072266
64,32579164,32090316,31230961,32949671
65,43418844,35488874,34217758,36759991
66,63344853,43845667,41872884,45818450
67,64597475,50071209,47132175,53010243
68,63934684,54230251,50750592,57709910
69,57060053,55079191,52447334,57711049
70,67879182,58919188,56209467,61628908
71,64516373,60598343,57889973,63306712
72,63700337,61528941,59325530,63732351
73,65769955,62801245,60758343,64844146
74,66001173,63761222,60183721,67338724
75,64647715,64027170,59696294,68358045
76,68731448,65438453,61958061,68918845
77,58568640,63377508,60858008,65897009
78,67997760,64763583,61571859,67955307
79,62467911,64074881,59699365,68450397
80,64902791,64323253,59562394,69084113
81,61906453,63598213,60287062,66909364
82,68262364,64997458,59718201,70276714
83,59299555,63288086,58548304,68027869
84,59136391,62042577,57495783,66589371
85,67403484,63650849,59668217,67633480
86,61179306,62909386,57853510,67965261
87,71208568,65399140,61333057,69465223
88,59536320,63640293,61255201,66025386
89,57090986,61675501,58488219,64862782
90,59799786,61112786,59098644,63126928
91,68412408,63302672,59200192,67405152
92,63710364,63424979,60780068,66069891
93,56589546,61374349,59691980,63056718
94,63690595,62069222,59178533,64959912
95,56259768,60326386,56816755,63836016
96,75317795,64823808,59703868,69943748
97,64463715,64715780,60308723,69122837
98,67099626,65430933,59721615,71140251
99,66460551,65739818,58318768,73160868
100,62810880,64861136,60391785,69330487
101,61311928,63796373,60717327,66875419
102,64125724,63895178,60522028,67268329
103,64960248,64214699,61489756,66939641
104,61121422,63286715,61207016,65366415
105,68786417,64936625,61714047,68159204
106,55023395,61962656,58546324,65378987
107,61613191,61857816,57151138,66564494
108,59855466,61257110,56104117,66410103
109,63718720,61995593,57824012,66167173
110,62418951,62122600,59698113,64547086
111,65746595,63209798,60665932,65753664
112,60113884,62281023,61243303,63318744
113,58145848,61040470,59041452,63039488
114,58199004,60188030,57891810,62484250
115,62342755,60834447,58858538,62810355
116,65441848,62216667,58915620,65517714
117,54924764,60029096,57301772,62756419
118,66283520,61905422,59270712,64540132
119,62108231,61966264,57399229,66533300
120,56778026,60409792,56076432,64743153
121,61737777,60808188,57508651,64107724
122,72049244,64180504,59019748,69341260
123,64158791,64173990,61567615,66780364
124,65182328,64476491,61163887,67789094
125,69343146,65936487,60977815,70895159
126,99894577,76123914,71775286,80472541
127,97837760,82638067,76976825,88299309
128,95537173,86507798,78957760,94057836
129,97928106,89933890,84539623,95328157
130,92800035,90793733,85133578,96453888
131,93827271,91703794,85428985,97978602
132,89913991,91166852,84346580,97987125
133,98393600,93334876,86245064,100424688
134,92649777,93129346,84931228,101327464
135,94539697,93552451,86915548,100189353
136,104711573,96900187,87041614,106758760
137,89455182,94666685,86669451,102663919
138,90642737,93459500,85852951,101066049
139,100044728,95435068,86700689,104169448
140,98531697,96364057,89808231,102919883
141,93450382,95489954,88707430,102272478
142,89467235,93683138,86292773,101073503
143,85226808,91146238,84553026,97739451
144,104028266,95010846,88041492,101980200
145,105733155,98227538,90545371,105909706
146,81936711,93340290,86925297,99755283
147,96546737,94302224,88756211,99848236
148,92790151,93848601,89205903,98491299
149,98782044,95328634,89418648,101238619
150,93168320,94680539,87122661,102238417
151,91126115,93614211,89638373,97590049
152,94175004,93782449,89590704,97974193
153,103504675,96699116,90116181,103282051
154,98743893,97312549,90777130,103847967
155,99236551,97889749,91936307,103843190
156,93952035,96708434,91735434,101681434
157,92125191,95333460,87703292,102963628
158,91248320,94107918,85776534,102439301
159,93786773,94011574,87368316,100654831
160,98246968,95282192,89762946,100801438
161,94864604,95156915,87187966,103125864
162,91767040,94139952,87767438,100512466
163,96367253,94808142,90120645,99495638
164,96571911,95337272,89526233,101148311
165,103573333,97808090,91593745,104022435
166,92916657,96340660,91639344,101041976
167,105796017,99177267,93276348,105078185
168,87391431,95641516,91668222,99614809
169,91713280,94463044,89562291,99363798
170,97866275,95484013,92707712,98260314
171,92478968,94582499,87475291,101689708
172,88897706,92877061,85145161,100608961
173,98025351,94421547,87244754,101598341
174,98213475,95559125,87905409,103212842
175,103841528,98043846,91709546,104378145
176,106791751,100668217,96470894,104865539
177,109575537,103340413,96460091,110220734
178,101359324,102746086,95273424,110218747
179,96384142,100837502,91715586,109959418
180,104644373,101979563,94077835,109881291
181,52344960,87089181,80524349,93654013
182,0,60962426,56367044,65557808
183,0,42673698,39456930,45890465
184,0,29871588,27619851,32123325
185,0,20910111,19333895,22486327
186,0,14637077,13533726,15740428
