t,data,a0.1,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,5784640,578464,
6,35143360,4034953,
7,26517120,6283169,
8,31293120,8784164,
9,30049600,10910707,
10,29772160,12796852,
11,31009920,14618158,
12,31955200,16351862,
13,31533760,17870051,
14,30994720,19182517,
15,34993600,20763625,
16,29013440,21588606,
17,32633280,22693073,
18,29173440,23341109,
19,30070400,24014038,
20,31169920,24729626,
21,32355840,25492247,
22,31822720,26125294,
23,28784320,26391196,
24,31169760,26869052,
25,33449600,27527106,
26,32900480,28064443,
27,32648320,28522830,
28,31479680,28818515,
29,31287360,29065399,
30,29365760,29095435,
31,30940640,29279955,
32,30780800,29430039,
33,32467520,29733787,
34,34506400,30211048,
35,33352960,30525239,
36,30299520,30502667,
37,31175680,30569968,
38,28592000,30372171,
39,29296640,30264617,
40,31479680,30386123,
41,31229600,30470470,
42,31154880,30538911,
43,32238400,30708859,
44,28886560,30526629,
45,31608640,30634830,
46,33283840,30899731,
47,34458240,31255581,
48,28778560,31007878,
49,31004160,31007506,
50,30892480,30996003,
51,29360000,30832402,
52,33952640,31144425,
53,35804000,31610382,
54,31708800,31620223,
55,30904000,31548600,
56,29109920,31304732,
57,29835520,31157810,
58,29958720,31037901,
59,32461760,31180286,
60,29835520,31045809,
61,29947200,30935948,
62,30338400,30876193,
63,30236160,30812189,
64,31100800,30841050,
65,40304480,31787393,
66,68603520,35469005,
67,61995360,38121640,
68,65425600,40852036,
69,60893760,42856208,
70,63600640,44930651,
71,63769920,46814577,
72,65811200,48714239,
73,65175680,50360383,
74,61950720,51519416,
75,61598400,52527314,
76,66296000,53904182,
77,60269760,54540739,
78,62634400,55350105,
79,65164160,56331510,
80,62383680,56936727,
81,63600640,57603118,
82,59005280,57743334,
83,60728960,58041896,
84,62559360,58493642,
85,66765760,59320853,
86,62218560,59610623,
87,64615040,60111064,
88,61130880,60213045,
89,61544320,60346172,
90,61188480,60430402,
91,66034560,60990817,
92,60535680,60945303,
93,59869760,60837748,
94,64118720,61165845,
95,61282720,61177532,
96,62047360,61264514,
97,66147520,61752814,
98,63296480,61907180,
99,71671680,62883630,
100,61956480,62790915,
101,64631040,62974927,
102,61893120,62866746,
103,65398880,63119959,
104,64636800,63271643,
105,61598400,63104318,
106,62634560,63057342,
107,58919040,62643511,
108,61471680,62526327,
109,66184320,62892126,
110,66323360,63235249,
111,59954240,62907148,
112,59297760,62546209,
113,64838400,62775428,
114,60803840,62578269,
115,62399520,62560394,
116,60824640,62386818,
117,65277760,62675912,
118,60354720,62443792,
119,64663200,62665732,
120,62110240,62610182,
121,64239680,62773131,
122,67054560,63201273,
123,62062400,63087385,
124,65393280,63317974,
125,68420320,63828208,
126,87093120,66154699,
127,92048000,68744029,
128,92527520,71122378,
129,88958400,72905980,
130,91418720,74757254,
131,88323680,76113896,
132,101560960,78658602,
133,111356960,81928437,
134,92042880,82939881,
135,92394880,83885380,
136,94888000,84985642,
137,87948320,85281909,
138,89832320,85736950,
139,84131680,85576423,
140,96441280,86662908,
141,102632960,88259913,
142,86911360,88125057,
143,96986880,89011239,
144,91915200,89301635,
145,96418240,90013295,
146,100226880,91034653,
147,102510080,92182195,
148,95812480,92545223,
149,98342240,93124924,
150,94060160,93218447,
151,95827520,93479354,
152,96248960,93756314,
153,97866400,94167322,
154,86726880,93423277,
155,94002560,93481205,
156,100513600,94184444,
157,99008480,94666847,
158,84212320,93621394,
159,93135680,93572822,
160,97184800,93934019,
161,96281920,94168809,
162,95671840,94319112,
163,93051520,94192352,
164,100488320,94821948,
165,91599680,94499721,
166,101097280,95159476,
167,94246560,95068184,
168,83863680,93947733,
169,108176800,95370639,
170,98450080,95678583,
171,87248640,94835588,
172,92042880,94556317,
173,96703520,94771037,
174,91801920,94474125,
175,92214400,94248152,
176,94120000,94235336,
177,97695040,94581306,
178,91103360,94233511,
179,86778880,93488047,
180,90699040,93209146,
181,45460800,88434311,
182,0,79590879,
183,0,71631791,
184,0,64468611,
185,0,58021749,
186,0,52219574,
