t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,37280000,11184000,
6,30735200,17049360,
7,29360000,20742552,
8,38755200,26146346,
9,34057600,28519722,
10,31363200,29372765,
11,33499200,30610695,
12,39342400,33230206,
13,31364800,32670584,
14,29360000,31677408,
15,22900800,29044425,
16,27627200,28619257,
17,31121600,29369959,
18,30534400,29719291,
19,36993600,31901583,
20,36435200,33261668,
21,32324800,32980607,
22,41748800,35611064,
23,29360000,33735744,
24,28772800,32246860,
25,31708800,32085442,
26,36406400,33381729,
27,30563200,32536170,
28,39929600,34754199,
29,38168000,35778339,
30,27011200,33148197,
31,28214400,31668057,
32,28772800,30799479,
33,34057600,31776915,
34,33528000,32302240,
35,33711200,32724928,
36,30534400,32067769,
37,31121600,31783918,
38,36406400,33170662,
39,28772800,31851303,
40,35819200,33041672,
41,43106400,36061090,
42,41104000,37573963,
43,26665600,34301454,
44,36435200,34941577,
45,37580800,35733343,
46,25249600,32588220,
47,34644800,33205194,
48,36406400,34165555,
49,29947200,32900048,
50,29360000,31838033,
51,36435200,33217183,
52,34886400,33717948,
53,32883200,33467523,
54,33499200,33477026,
55,36993600,34531998,
56,26665600,32172078,
57,24904000,29991654,
58,27011200,29097517,
59,43539200,33430021,
60,31708800,32913654,
61,33470400,33080677,
62,34644800,33549913,
63,28185600,31940619,
64,36708000,33370833,
65,68152000,43805183,
66,63417600,49688908,
67,82300000,59472235,
68,84340000,66932564,
69,96888000,75919194,
70,75790400,75880555,
71,68702400,73727108,
72,39929600,63587855,
73,51086400,59837418,
74,81365600,66295872,
75,92976000,74299910,
76,41104000,64341137,
77,45214400,58603115,
78,52260800,56700420,
79,57624000,56977494,
80,83998400,65083765,
81,56371200,62469995,
82,88724800,70346436,
83,124956000,86729305,
84,55841600,77462993,
85,50155200,69270655,
86,100468800,78630098,
87,90428800,82169708,
88,88108800,83951435,
89,44627200,72154164,
90,72254400,72184234,
91,71638400,72020483,
92,65766400,70144258,
93,56987200,66197140,
94,83040000,71249998,
95,39929600,61853878,
96,32775200,53130274,
97,57545600,54454871,
98,64649600,57513289,
99,39022400,51966022,
100,32296000,46065015,
101,45243200,45818470,
102,63127200,51011089,
103,36406400,46629682,
104,72225600,54308457,
105,38168000,49466319,
106,57545600,51890103,
107,34057600,46540352,
108,38755200,44204806,
109,42307200,43635524,
110,36406400,41466786,
111,61068800,47347390,
112,63446400,52177093,
113,49324800,51321405,
114,38755200,47551543,
115,62243200,51959040,
116,91847200,63925488,
117,80102400,68778561,
118,81277600,72528272,
119,104795200,82208350,
120,67027200,77654005,
121,32296000,64046603,
122,98678400,74436142,
123,59923200,70082259,
124,50179200,64111341,
125,165508800,94530578,
126,45214400,79735724,
127,111038400,89126526,
128,53435200,78419128,
129,58720000,72509389,
130,52318400,66452092,
131,86992000,72614064,
132,140340800,92932084,
133,141197600,107411738,
134,98062400,104606936,
135,66382400,93139575,
136,142586400,107973622,
137,61068800,93902175,
138,109705600,98643202,
139,95155200,97596801,
140,93952000,96503360,
141,129800000,106492352,
142,66382400,94459366,
143,38225600,77589236,
144,56060800,71130705,
145,135672000,90493093,
146,82265600,88024845,
147,53435200,77647951,
148,50767200,69583725,
149,108879200,81372367,
150,126496000,94909456,
151,63653600,85532699,
152,66998400,79972409,
153,138579200,97554446,
154,51086400,83614032,
155,76980800,81624062,
156,146241600,101009323,
157,103376000,101719326,
158,113216800,105168568,
159,108873600,106280077,
160,142689600,117202933,
161,78097600,105471333,
162,108632000,106419533,
163,63446400,93527593,
164,136817600,106514595,
165,117146400,109704136,
166,116777600,111826175,
167,119449600,114113202,
168,138812800,121523081,
169,96196000,113924956,
170,41720000,92263469,
171,156782400,111619148,
172,106312000,110027003,
173,59336000,94819702,
174,99881600,96338271,
175,96300800,96327029,
176,76952000,90514520,
177,118614400,98944484,
178,113600000,103341138,
179,91264000,99717996,
180,47811200,84145957,
181,0,58902169,
182,0,41231518,
183,0,28862062,
184,0,20203443,
185,0,14142410,
