t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
10,7106385,7106385,7106385,7106385,7106385,7106385,7106385,7106385,7106385,
20,31699018,7352311,7598237,8336016,9565648,12024911,14484174,16943438,19402701,
30,37196718,7650755,8190206,9779051,12328755,17059272,21297937,25044750,28299709,
40,31531474,7889562,8657031,10866672,14249026,19953712,24367998,27639439,29915591,
50,42828864,8238955,9340467,12464781,17107009,24528742,29906257,33715209,36372227,
60,31509346,8471658,9783844,13417009,18547242,25924862,30387183,32832863,33940786,
70,45598813,8842929,10500143,15026099,21252399,29859652,34950672,37939243,39769799,
80,35189710,9106396,10993934,16034279,22646130,30925663,35022383,36839429,37479754,
90,46308098,9478413,11700217,17547969,25012326,34002150,38408097,40626896,41893926,
100,41544344,9799072,12297099,18747787,26665527,35510588,39348971,40993875,41719135,
110,46603261,10167113,12983222,20140560,28659300,37729122,41525258,43237629,44161198,
120,47561523,10541057,13674788,21511608,30549522,39695602,43336137,44967186,45861360,
130,24026331,10675909,13881818,21637344,29897202,36561747,37543195,36590844,34943845,
