t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,17616000,5284800,
6,23488000,10745760,
7,26320000,15418032,
8,29360000,19600622,
9,31708800,23233075,
10,36464000,27202352,
11,35232000,29611246,
12,34057600,30945152,
13,32883200,31526566,
14,29360000,30876596,
15,14092800,25841457,
16,31708800,27601659,
17,26320000,27217161,
18,32883200,28916972,
19,17616000,25526680,
20,37580800,29142916,
21,35232000,30969641,
22,32883200,31543708,
23,18790400,27717715,
24,32883200,29267360,
25,38755200,32113712,
26,34057600,32696878,
27,37580800,34162054,
28,34057600,34130717,
29,30534400,33051821,
30,28243200,31609234,
31,42278400,34809983,
32,23488000,31413388,
33,43510400,35042491,
34,30534400,33690063,
35,41104000,35914244,
36,31708800,34652610,
37,32883200,34121787,
38,32883200,33750210,
39,32883200,33490107,
40,42278400,36126594,
41,31708800,34801255,
42,43452800,37396718,
43,30534400,35338022,
44,35232000,35306215,
45,45801600,38454830,
46,42278400,39601901,
47,42278400,40404850,
48,35232000,38852995,
49,24662400,34595816,
50,35232000,34786671,
51,32883200,34215629,
52,32883200,33815900,
53,34057600,33888410,
54,27011200,31825247,
55,36891200,33345032,
56,37580800,34615762,
57,32883200,34095993,
58,23488000,30913595,
59,33366400,31649436,
60,27011200,30257965,
61,39929600,33159455,
62,34057600,33428898,
63,27011200,31503588,
64,25145600,29596191,
65,36406400,31639253,
66,64971200,41638837,
67,36464000,40086385,
68,90428800,55189109,
69,27068800,46753016,
70,86905600,58798791,
71,95126400,69697073,
72,155078400,95311471,
73,41104000,79049229,
74,41104000,67665660,
75,41104000,59697162,
76,49324800,56585453,
77,85035200,65120377,
78,32187200,55240423,
79,199648000,98562696,
80,124486400,106339807,
81,44627200,87826024,
82,43452800,74514056,
83,35232000,62729439,
84,40409600,56033487,
85,134368000,79533840,
86,99244800,85447128,
87,35708800,70525629,
88,41104000,61699140,
89,123798400,80328918,
90,75161600,78778722,
91,39929600,67123985,
92,55196800,63545829,
93,42336000,57182880,
94,49324800,54825456,
95,64649600,57772699,
96,43510400,53494009,
97,45801600,51186286,
98,85731200,61549760,
99,34544000,53448032,
100,37580800,48687862,
101,45801600,47821983,
102,19964800,39464828,
103,35232000,38194979,
104,131532800,66196325,
105,86905600,72409107,
106,34057600,60903654,
107,30534400,51792877,
108,88080000,62679013,
109,54022400,60082029,
110,34057600,52274700,
111,132707200,76404450,
112,35289600,64069995,
113,41161600,57197476,
114,143334400,83038553,
115,44627200,71515147,
116,93952000,78246202,
117,61547200,73236501,
118,38755200,62892110,
119,37580800,55298717,
120,37580800,49983341,
121,44627200,48376498,
122,92777600,61696828,
123,98649600,72782659,
124,41104000,63279061,
125,52161600,59943822,
126,35768000,52691075,
127,42451200,49619112,
128,106291200,66620738,
129,92777600,74467796,
130,86905600,78199137,
131,46976000,68832195,
132,150323200,93279496,
133,76819200,88341407,
134,22313600,68533064,
135,113222400,81939864,
136,105753600,89083984,
137,35232000,72928388,
138,49382400,65864591,
139,108044800,78518653,
140,99824000,84910257,
141,75641600,82129659,
142,130838400,96742281,
143,138579200,109293356,
144,51673600,92007429,
145,61068800,82725840,
146,83918400,83083608,
147,106870400,90219645,
148,92777600,90987031,
149,31824000,73238121,
150,137462400,92505404,
151,257193600,141911862,
152,41595200,111816863,
153,151497600,123721084,
154,38755200,98231318,
155,85731200,94481282,
156,49324800,80934337,
157,27011200,64757395,
158,78684800,68935616,
159,95184000,76810131,
160,81033600,78077171,
161,170777600,105887299,
162,110393600,107239189,
163,54502400,91418152,
164,33361600,74001186,
165,38755200,63427390,
166,130836800,83650213,
167,55675200,75257709,
168,31708800,62193036,
169,194950400,102020245,
170,101113600,101748251,
171,103347200,102227935,
172,192601600,129340034,
173,76814400,113582343,
174,59894400,97475960,
175,32883200,78098132,
176,56862400,71727412,
177,27011200,58312548,
178,28185600,49274463,
179,39929600,46471004,
180,58507200,50081862,
181,16556800,40024343,
182,0,28017040,
183,0,19611928,
184,0,13728349,
185,0,9609844,
186,0,6726890,
