t,data,a0.3,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,9575464,2872639,
6,31596480,11489791,
7,31374768,17455284,
8,31516240,21673570,
9,31481008,24615801,
10,31504480,26682404,
11,31551472,28143124,
12,31492736,29148007,
13,31492752,29851430,
14,31516224,30350868,
15,31527984,30704002,
16,31504496,30944150,
17,31516224,31115772,
18,31516240,31235912,
19,31492736,31312959,
20,31516240,31373943,
21,31527968,31420150,
22,31516240,31448977,
23,31480992,31458581,
24,31504496,31472355,
25,31551472,31496090,
26,31480992,31491560,
27,31527984,31502487,
28,31504480,31503084,
29,31492752,31499984,
30,31527968,31508379,
31,31504496,31507214,
32,31540096,31517078,
33,31492736,31509775,
34,31516240,31511714,
35,31480992,31502497,
36,31528000,31510147,
37,31516224,31511970,
38,31492736,31506199,
39,31551472,31519780,
40,31480992,31508143,
41,31527984,31514095,
42,31504480,31511210,
43,31516240,31512719,
44,31481008,31503205,
45,31516224,31507110,
46,31527968,31513367,
47,31527984,31517752,
48,31492752,31510252,
49,31527968,31515566,
50,31492752,31508721,
51,31504496,31507453,
52,31516224,31510084,
53,31504480,31508402,
54,31504496,31507230,
55,31516240,31509933,
56,31516240,31511825,
57,31527968,31516667,
58,31492752,31509492,
59,31540080,31518668,
60,31516240,31517939,
61,31504480,31513901,
62,31504496,31511079,
63,31504480,31509099,
64,31527984,31514764,
65,39820680,34006538,
66,59905952,41776362,
67,61479344,47687256,
68,61545808,51844821,
69,62254688,54967781,
70,61672304,56979137,
71,61738016,58406800,
72,62440464,59616899,
73,61357392,60139046,
74,62264320,60776628,
75,62151664,61189138,
76,60922768,61109226,
77,58024272,60183739,
78,61249536,60503478,
79,61449152,60787180,
80,61578384,61024541,
81,61568752,61187804,
82,61963264,61420442,
83,61460928,61432587,
84,61770416,61533935,
85,62146320,61717650,
86,61523888,61659521,
87,62062032,61780274,
88,61451312,61681585,
89,61577808,61650451,
90,61669632,61656205,
91,61531376,61618756,
92,61482016,61577734,
93,61597008,61583516,
94,61373808,61520603,
95,61566608,61534404,
96,61423008,61500985,
97,61918384,61626204,
98,61688832,61644992,
99,61333904,61551665,
100,61836672,61637167,
101,61702720,61656832,
102,61617904,61645153,
103,61561776,61620139,
104,61369072,61544818,
105,61392624,61499159,
106,61298624,61438998,
107,62276048,61690112,
108,61845840,61736830,
109,61914128,61790019,
110,61681296,61757402,
111,61143344,61573184,
112,60328192,61199686,
113,61516992,61294877,
114,61258608,61283996,
115,61354624,61305184,
116,61730928,61432907,
117,61763616,61532119,
118,61585296,61548072,
119,61228560,61452218,
120,61195104,61375083,
121,58317888,60457924,
122,60758432,60548076,
123,60971968,60675243,
124,61267728,60852988,
125,62920112,61473125,
126,66977728,63124505,
127,64013968,63391343,
128,63641312,63466333,
129,63684032,63531642,
130,63749648,63597043,
131,63742224,63640597,
132,63549952,63613403,
133,63350384,63534497,
134,63263264,63453127,
135,66370832,64328438,
136,70098416,66059431,
137,63397296,65260790,
138,63146016,64626357,
139,60940272,63520531,
140,63195616,63423056,
141,62523536,63153200,
142,64174688,63459646,
143,63975392,63614369,
144,63650928,63625336,
145,62554112,63303968,
146,63411744,63336300,
147,63341360,63337818,
148,63679088,63440198,
149,64082576,63632911,
150,64068816,63763682,
151,64174512,63886931,
152,65863936,64480032,
153,65877392,64899240,
154,64144176,64672720,
155,64291936,64558484,
156,64315488,64485585,
157,64987552,64636175,
158,64508256,64597799,
159,65360640,64826651,
160,64825264,64826234,
161,64489552,64725229,
162,63505056,64359177,
163,65457328,64688622,
164,65006288,64783921,
165,64094992,64577242,
166,61335296,63604658,
167,65816672,64268262,
168,64120576,64223956,
169,64329968,64255759,
170,64273408,64261053,
171,65898736,64752357,
172,75087952,67853035,
173,68149392,67941942,
174,69520752,68415585,
175,64003104,67091840,
176,64879072,66428009,
177,66793296,66537595,
178,72851216,68431681,
179,64583328,67277175,
180,67019312,67199816,
181,33347232,57044040,
182,0,39930828,
183,0,27951579,
184,0,19566105,
185,0,13696273,
186,0,9587391,
