t,data,a0.01,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,13172320,131723,
6,29278720,423192,
7,30217600,721136,
8,29462240,1008547,
9,29408320,1292544,
10,30070400,1580322,
11,33054560,1895064,
12,27887360,2154986,
13,30817600,2441612,
14,34340800,2760603,
15,33684320,3069840,
16,31064000,3349781,
17,29254080,3608823,
18,29419840,3866933,
19,31404800,4142311,
20,35114560,4452033,
21,32307520,4730587,
22,30657600,4989857,
23,31373760,5253696,
24,32771520,5528874,
25,33518240,5808767,
26,30118720,6051866,
27,31528000,6306627,
28,30892480,6552485,
29,31645440,6803414,
30,31880320,7054183,
31,30534400,7288985,
32,31031680,7526411,
33,31714560,7768292,
34,32078400,8011393,
35,32461760,8255896,
36,31992000,8493257,
37,29932160,8707646,
38,29766240,8918231,
39,28586240,9114911,
40,31757120,9341333,
41,33123840,9579158,
42,30001280,9783379,
43,34415680,10029702,
44,31762880,10247033,
45,30001440,10444577,
46,32888960,10669020,
47,31997760,10882307,
48,29947200,11072955,
49,30886720,11271092,
50,32867840,11487059,
51,31416160,11686350,
52,33295360,11902440,
53,33759360,12121009,
54,33241280,12332211,
55,31058240,12519471,
56,33012160,12724397,
57,31528160,12912434,
58,32066880,13103978,
59,31880320,13291741,
60,28778560,13446609,
61,32344320,13635586,
62,29932160,13798551,
63,30182080,13962386,
64,34976480,14172526,
65,41599920,14446799,
66,65735520,14959686,
67,51024960,15320338,
68,49903040,15666165,
69,65943520,16168938,
70,63889120,16646139,
71,63911520,17118792,
72,54045440,17488058,
73,59699520,17910172,
74,50547680,18236547,
75,53190880,18586090,
76,62192320,19022152,
77,50895520,19340885,
78,59373120,19741207,
79,60409280,20147887,
80,64257440,20588982,
81,43859520,20821687,
82,68196480,21295434,
83,75814720,21840626,
84,70300160,22325221,
85,44184480,22543813,
86,55630720,22874682,
87,53345600,23179391,
88,47954240,23427139,
89,62053440,23813402,
90,54136640,24116634,
91,58721440,24462682,
92,65971840,24877773,
93,65613120,25285126,
94,54990720,25582181,
95,80021280,26126571,
96,69910240,26564407,
97,70074720,26999510,
98,62752480,27357039,
99,54322880,27626697,
100,69360960,28044039,
101,73572000,28499318,
102,67940640,28893731,
103,56223520,29167028,
104,52112800,29396485,
105,76498560,29867505,
106,59602080,30164850,
107,61230880,30475510,
108,61417760,30784932,
109,73144800,31208530,
110,55774560,31454190,
111,63669280,31776340,
112,56650240,32025079,
113,56136320,32266191,
114,59510880,32538637,
115,63401920,32847269,
116,42787040,32946666,
117,54904000,33166239,
118,76380320,33598379,
119,60342560,33865820,
120,57521600,34102377,
121,66663840,34427991,
122,67759360,34761304,
123,64978560,35063476,
124,63729920,35350140,
125,58548240,35582121,
126,114768960,36373989,
127,112629760,37136546,
128,107987040,37845050,
129,91744160,38384041,
130,92759040,38927790,
131,85862720,39397139,
132,125958400,40262751,
133,94301120,40803134,
134,75616480,41151267,
135,96323840,41702992,
136,109802720,42383989,
137,100878880,42968937,
138,87324320,43412490,
139,92414880,43902513,
140,99862400,44462111,
141,109396480,45111454,
142,113402720,45794366,
143,112664800,46463070,
144,102258720,47021026,
145,126883040,47819646,
146,79178080,48133230,
147,94066080,48592558,
148,84685760,48953490,
149,100387680,49467831,
150,92860320,49901755,
151,97592640,50378663,
152,113844320,51013319,
153,84015520,51343341,
154,106866560,51898573,
155,103941120,52418998,
156,90292320,52797731,
157,70577920,52975532,
158,86837600,53314152,
159,89159680,53672607,
160,127042400,54406304,
161,141473600,55276976,
162,82846720,55552673,
163,75771840,55754864,
164,73076160,55928076,
165,119336000,56562155,
166,96415360,56960687,
167,77660640,57167686,
168,80690240,57402911,
169,69666560,57525547,
170,100147040,57951761,
171,73447840,58106721,
172,95253120,58478184,
173,117344320,59066845,
174,118209440,59658270,
175,88465600,59946343,
176,122266560,60569545,
177,80068480,60764534,
178,96706880,61123957,
179,79042880,61303146,
180,112337760,61813492,
181,48499360,61680350,
182,0,61063546,
183,0,60452910,
184,0,59848380,
185,0,59249896,
186,0,58657397,
