t,data_mean,ewma_mean,ewma_mean_low,ewma_mean_high
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,17228088,5168426,2447161,7889692
6,38738577,15239472,9439559,21039384
7,31671466,20169069,16298095,24040044
8,31531377,23577761,20172033,26983490
9,32377688,26217739,23053871,29381607
10,33005333,28254017,26413711,30094323
11,31721600,29294291,27506951,31081632
12,32740533,30328163,29101596,31554731
13,31051377,30545127,28886663,32203591
14,29849955,30336575,28857838,31815311
15,34013333,31439602,29841845,33037359
16,27696888,30316788,28830858,31802717
17,30701333,30432151,29144177,31720124
18,30310044,30395518,29421987,31369050
19,30808266,30519342,29383208,31655476
20,29396444,30182472,28502816,31862128
21,31308977,30520423,28762388,32278458
22,35532622,32024082,30277095,33771070
23,37783288,33751844,31065141,36438546
24,28215644,32090983,30651425,33530542
25,30567644,31633981,29723643,33544318
26,30075733,31166506,29637645,32695367
27,30100088,30846580,29391228,32301933
28,31151555,30938072,28699815,33176330
29,30887377,30922863,29123522,32722205
30,33050044,31561017,29653461,33468573
31,30117333,31127912,29713684,32542139
32,30651200,30984898,29247711,32722084
33,32391288,31406814,29596154,33217475
34,33391644,32002263,30546593,33457932
35,32640622,32193770,31298790,33088750
36,32388088,32252065,31376712,33127418
37,30381422,31690872,30484697,32897046
38,32436088,31914436,31086143,32742729
39,29262755,31118931,29626858,32611004
40,32068266,31403731,29980705,32826758
41,30484355,31127918,29076642,33179194
42,31899377,31359355,29180952,33537759
43,33729422,32070375,30736294,33404456
44,31544177,31912515,30554267,33270764
45,31991733,31936280,30423945,33448615
46,30959111,31643129,30248378,33037880
47,33108977,32082883,30398197,33767568
48,30686488,31663964,30277700,33050228
49,28541955,30727361,29147699,32307022
50,33488800,31555792,29666443,33445141
51,32921688,31965561,30324789,33606332
52,32913244,32249865,31075572,33424159
53,30532444,31734638,30651867,32817409
54,30413511,31338300,29847190,32829409
55,32104088,31568036,30180435,32955637
56,30935822,31378371,29616869,33139873
57,27892622,30332646,28798961,31866330
58,31931377,30812265,29769886,31854643
59,32606133,31350425,29816254,32884595
60,30069333,30966097,29921726,32010467
61,29381511,30490720,29340267,31641173
62,34518666,31699103,30171352,33226855
63,32080266,31813452,30689114,32937789
64,36576622,33242403,31582966,34901839
65,54766844,39699735,35938998,43460471
66,59359377,45597627,41697914,49497340
67,63136977,50859431,45652756,56066107
68,77316088,58796428,53505081,64087775
69,69431200,61986859,54206473,69767245
70,71808000,64933201,59187040,70679361
71,67654222,65749507,60238546,71260467
72,61300888,64414921,59497219,69332623
73,53413866,61114604,57053812,65175396
74,77353688,65986329,62847099,69125559
75,61898488,64759976,60189973,69329980
76,61405600,63753663,59795570,67711756
77,62867911,63487937,58445480,68530393
78,62321244,63137928,57748038,68527818
79,56511111,61149882,54941038,67358726
80,72673600,64606997,56176926,73037068
81,67068266,65345377,56407797,74282958
82,67962311,66130457,55423521,76837393
83,64960533,65779479,56332231,75226727
84,60438755,64177261,56406682,71947840
85,47609422,59206909,52850032,65563786
86,75313688,64038942,56715065,71362820
87,63675555,63929926,55529232,72330619
88,59356355,62557854,54022775,71092933
89,53103555,59721564,54444902,64998226
90,61789688,60342001,54838295,65845706
91,71414133,63663640,54352184,72975095
92,60518577,62720121,52926314,72513927
93,62313066,62598004,57387383,67808625
94,60803022,62059509,56197598,67921420
95,58680888,61045922,55852442,66239403
96,66564177,62701398,54064829,71337967
97,59228266,61659458,54359515,68959401
98,67227822,63329967,55697271,70962662
99,58026844,61739029,55299017,68179042
100,67869422,63578147,56383956,70772337
101,67611377,64788115,53585615,75990616
102,53719111,61467413,53537854,69396972
103,60506222,61179055,55385646,66972465
104,58243022,60298245,55837267,64759223
105,60302222,60299437,56003188,64595686
106,57250488,59384752,53733562,65035943
107,58597244,59148499,52898950,65398049
108,46762666,55432749,49087286,61778212
109,51054933,54119404,48450945,59787862
110,64847555,57337849,48363436,66312261
111,57202400,57297213,49358923,65235504
112,55880000,56872049,49541847,64202251
113,64759288,59238221,52477948,65998493
114,55758222,58194220,49886400,66502040
115,65656000,60432754,53551363,67314144
116,64160800,61551167,55676770,67425564
117,62357155,61792963,53332160,70253766
118,66624266,63242353,53779054,72705653
119,68867822,64929993,58494468,71365518
120,56721600,62467475,57167674,67767276
121,57982666,61122032,57921173,64322891
122,66067644,62605715,55874283,69337147
123,55657333,60521200,52909619,68132780
124,56103466,59195879,54242054,64149704
125,88756177,68063968,56956782,79171155
126,94413422,75968804,67281678,84655930
127,73273955,75160349,65581187,84739510
128,70007022,73614350,64800399,82428301
129,83530133,76589085,68550453,84627717
130,78696533,77221319,66759534,87683104
131,90200977,81115216,72509024,89721408
132,93905600,84952331,76370833,93533828
133,105059022,90984338,78222008,103746667
134,96064444,92508369,83018576,101998162
135,87089866,90882818,83843243,97922392
136,103803466,94759012,86836858,102681165
137,71984711,87926721,82945393,92908048
138,94622577,89935477,81078845,98792110
139,114600444,97334967,91656054,103013880
140,90937688,95415783,89921877,100909689
141,108317955,99286434,89006361,109566508
142,67244444,89673837,82698249,96649424
143,80933688,87051792,78626717,95476867
144,83070311,85857347,73792196,97922499
145,85886400,85866062,74929575,96802549
146,82071555,84727710,75928280,93527139
147,80141066,83351716,76554330,90149102
148,86441066,84278521,73445464,95111577
149,108229511,91463817,79547099,103380535
150,99446933,93858751,76760417,110957086
151,89455555,92537792,84243306,100832278
152,105196355,96335361,83487151,109183570
153,82507466,92186992,83416300,100957684
154,92798044,92370307,83840227,100900387
155,87356444,90866148,80703213,101029082
156,94893422,92074329,84357036,99791623
157,89113511,91186083,82394596,99977570
158,108265333,96309858,87082613,105537102
159,104208711,98679513,88027973,109331053
160,109280177,101859712,89208742,114510681
161,77288177,94488251,86056142,102920360
162,122125066,102779295,90673171,114885420
163,81012266,96249186,88526276,103972096
164,87633600,93664510,84616805,102712215
165,102613600,96349236,85047942,107650530
166,92102755,95075291,86065935,104084648
167,95508711,95205317,84125663,106284970
168,103751200,97769081,85619390,109918773
169,76405688,91360063,82269844,100450281
170,94063911,92171217,84837409,99505024
171,107413333,96743851,86096837,107390865
172,99885866,97686455,85521721,109851190
173,77405333,91602118,80572205,102632031
174,82076266,88744362,80678700,96810024
175,76041600,84933533,74484292,95382773
176,90635288,86644059,75913346,97374772
177,92429155,88379588,76051026,100708150
178,82802666,86706511,73407199,100005823
179,95478844,89338210,83290490,95385931
180,60737955,80758133,74405532,87110734
181,20550311,62695786,52692767,72698805
182,0,43887050,36884936,50889163
183,0,30720934,25819455,35622413
184,0,21504653,18073618,24935689
185,0,15053257,12651532,17454982
186,0,11766592,9017577,14515608
