t,data,a0.4,
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,10817920,4327168,
6,29203840,14277836,
7,37066400,23393261,
8,30983360,26429300,
9,31949440,28637356,
10,31356480,29725005,
11,32584960,30868987,
12,34186560,32196016,
13,30877440,31668585,
14,29242560,30698175,
15,32232640,31311961,
16,31009920,31191144,
17,30817760,31041790,
18,33358720,31968562,
19,30353600,31322577,
20,30534400,31007306,
21,33386240,31958879,
22,31009920,31579295,
23,33177920,32218745,
24,31293120,31848495,
25,28426240,30479593,
26,33033920,31501323,
27,28486080,30295225,
28,34186560,31851759,
29,31293120,31628303,
30,30118720,31024469,
31,31458880,31198233,
32,29494720,30516827,
33,30823360,30639440,
34,29179200,30055344,
35,32413440,30998582,
36,31708800,31282669,
37,32066880,31596353,
38,31639680,31613683,
39,26002560,29369233,
40,32627520,30672547,
41,30775040,30713544,
42,31943680,31205598,
43,33012160,31928222,
44,34656320,33019461,
45,30396160,31970140,
46,33524480,32591876,
47,32238400,32450485,
48,32072640,32299347,
49,32009280,32183320,
50,28474400,30699752,
51,31464640,31005707,
52,32066880,31430176,
53,30886720,31212793,
54,32424960,31697659,
55,31410560,31582819,
56,29947200,30928571,
57,34063360,32182486,
58,33177920,32580659,
59,31368000,32095595,
60,31527840,31868493,
61,30754240,31422791,
62,32072640,31682730,
63,34048320,32628966,
64,29712320,31462307,
65,39616240,34723880,
66,62511360,45838872,
67,64977440,53494299,
68,61770080,56804611,
69,65837760,60417870,
70,59879360,60202466,
71,59767680,60028551,
72,61769920,60725098,
73,60936320,60809586,
74,63583200,61919031,
75,56895040,59909434,
76,61589120,60581308,
77,61188320,60824112,
78,60658880,60758019,
79,59596160,60293275,
80,59527040,59986781,
81,60065760,60018372,
82,67636160,63065487,
83,61411680,62403964,
84,62351200,62382858,
85,63248320,62729042,
86,58866240,61183921,
87,61309440,61234128,
88,64166880,62407228,
89,60077440,61475312,
90,60610560,61129411,
91,65537280,62892558,
92,56516160,60341998,
93,59478720,59996686,
94,59538560,59813435,
95,58054080,59109693,
96,70448800,63645335,
97,66607040,64830017,
98,64742400,64794970,
99,63754720,64378870,
100,63941440,64203898,
101,63754880,64024290,
102,65777920,64725742,
103,62666880,63902197,
104,65100640,64381574,
105,64038080,64244176,
106,57696320,61625033,
107,61225440,61465195,
108,60295040,60997133,
109,62740640,61694535,
110,61721600,61705361,
111,63462400,62408176,
112,62303040,62366121,
113,66392320,63976600,
114,63588960,63821544,
115,63546560,63711550,
116,65825920,64557298,
117,64694240,64612074,
118,66003520,65168652,
119,59773280,63010503,
120,56253760,60307805,
121,58539200,59600363,
122,64097600,61399257,
123,70294720,64957442,
124,63857120,64517313,
125,64178240,64381683,
126,104095200,80267089,
127,86679680,82832125,
128,105780160,92011339,
129,93729920,92698771,
130,87197920,90498430,
131,111040640,98715314,
132,91952000,96009988,
133,85910560,91970216,
134,102633280,96235441,
135,98337120,97076112,
136,87271040,93154083,
137,89647040,91751265,
138,102283840,95964295,
139,103801920,99099345,
140,97456320,98442135,
141,92099840,95905217,
142,87206080,92425562,
143,85641120,89711785,
144,83911680,87391743,
145,108863360,95980389,
146,109685280,101462345,
147,83249760,94177311,
148,100264000,96611986,
149,106390080,100523223,
150,121007520,108716941,
151,96586240,103864660,
152,111094560,106756620,
153,97419040,103021588,
154,95806880,100135704,
155,84347200,93820302,
156,97432320,95265109,
157,85531680,91371737,
158,99918880,94790594,
159,98401920,96235124,
160,89998080,93740306,
161,109085600,99878423,
162,97224640,98816909,
163,81488160,91885409,
164,80955200,87513325,
165,76902720,83269083,
166,84793760,83878953,
167,83553920,83748939,
168,96580320,88881491,
169,86902080,88089726,
170,83582880,86286987,
171,98630720,91224480,
172,90795680,91052960,
173,90015520,90637984,
174,88302240,89703686,
175,96782080,92535043,
176,106054560,97942849,
177,101218080,99252941,
178,103400000,100911764,
179,77043040,91364274,
180,103245760,96116868,
181,55292160,79786984,
182,0,47872190,
183,0,28723314,
184,0,17233988,
185,0,10340392,
186,0,6204235,
