test-vm,vm-1,vm-2,vm-3,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,8,0,0,
0,520,552,0,
0,8,104,0,
0,8,16,160,
0,88,128,112,
0,232,24,16,
0,280,923904,16,
0,8,8,8,
0,8,8,16,
0,16,56,16,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,48,48,48,
0,32,32,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,48,48,48,
0,32,32,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,896,1554056,0,
0,136,30918504,48,
0,32,30911576,32,
0,32,30878384,0,
0,0,31119832,0,
0,0,30656360,0,
0,0,30931672,5934416,
0,144,30924856,61848288,
0,64,30862432,61721376,
0,0,30934520,61864456,
0,32,30914800,61839848,
0,0,30930608,61856592,
0,4734304,30799264,61598504,
0,92750096,30916360,61838384,
0,92809464,30954880,61908544,
0,92761536,30893792,61783000,
0,92701424,30897928,61934760,
0,92875576,30959696,61775088,
0,87014064,29018784,58033016,
0,104,104,104,
0,32,32,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,104,48,48,
0,32,64,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
