0,3,4,3,3,0,2098,0,0,
10,3,4,43,3,0,2102,0,0,
20,3,4,0,42,0,2066,8,0,
30,42,4,0,0,0,1997,4,0,
40,0,4,0,0,0,2220,10,10,
50,0,4,0,0,0,2108,0,0,
60,0,4,0,0,0,2188,0,0,
70,0,41,0,0,0,2150,0,0,
80,0,0,0,0,0,2159,0,0,
90,0,0,0,0,0,2035,0,0,
100,0,0,0,0,0,2012,10,10,
110,0,0,0,0,0,2286,0,0,
120,0,0,7,0,0,2162,0,0,
130,0,0,0,7,0,2117,0,0,
140,7,0,2,0,0,1965,0,0,
150,0,20,24,2,0,232622,222829988,0,
160,1,100,100,3,0,1295546,1220024401,10,
170,2,83,100,3,0,1343962,1340510872,0,
180,3,78,92,3,0,1004462,949173053,0,
190,3,0,0,4,0,2068,0,0,
200,3,0,0,3,0,2071,0,0,
210,3,12,2,3,0,240971,235408056,0,
220,3,89,100,3,0,1272322,1211382071,10,
230,2,80,100,2,0,1417323,1377189048,0,
240,3,83,85,3,0,1133878,1080844484,0,
250,2,0,2,3,0,1895,0,0,
260,3,2,3,3,0,1937,0,0,
270,3,22,42,3,0,257134,247160842,0,
280,2,100,81,3,0,1281956,1230761076,10,
290,2,81,100,40,0,1438639,1401647402,0,
300,2,36,80,0,0,1067263,1013191106,0,
310,4,4,1,0,0,2069,0,0,
320,3,4,4,0,0,2025,0,0,
330,41,4,3,0,0,2131,0,0,
340,0,40,3,0,0,2201,21,17,
350,0,0,3,0,0,2144,0,0,
360,0,0,3,0,0,2144,0,0,
370,0,0,3,0,0,2064,0,0,
380,0,0,3,0,0,2125,0,0,
390,0,0,4,0,0,2162,0,0,
400,0,0,3,2,0,2340,10,10,
410,0,0,3,3,0,1988,0,0,
420,0,12,3,4,0,1973,0,0,
430,8,0,3,3,0,2158,0,0,
440,0,0,3,3,0,1972,0,0,
450,1,4,45,4,0,2210,0,0,
460,2,4,0,3,0,2033,10,10,
470,3,4,0,3,0,2135,0,0,
480,3,4,0,4,0,2090,0,0,
490,3,4,0,3,0,2012,0,0,
500,3,4,0,3,0,2149,0,0,
510,3,4,0,42,0,2030,0,0,
520,4,4,0,0,0,1808,10,10,
530,3,4,0,0,0,2112,0,0,
540,3,4,0,0,0,2024,0,0,
550,3,41,0,0,0,2115,0,0,
560,3,0,6,0,0,2137,0,0,
570,3,0,0,0,0,2205,0,0,
580,3,0,1,0,0,2196,10,10,
590,3,0,3,0,0,2073,0,0,
600,46,0,3,0,0,2090,0,0,
610,0,0,4,0,0,1945,0,0,
620,0,0,3,4,0,2211,0,0,
630,0,0,3,2,0,2037,0,0,
640,0,9,3,3,0,2319,10,10,
650,0,0,3,3,0,2002,0,0,
660,0,4,3,3,0,2207,0,0,
670,0,5,3,3,0,2384,0,0,
680,0,4,3,3,0,2247,0,0,
690,0,4,3,3,0,2339,0,0,
700,8,4,3,3,0,2142,10,10,
710,0,4,3,4,0,2180,0,0,
720,0,4,50,4,0,2173,0,0,
730,3,4,0,3,0,2151,0,0,
740,3,4,0,3,0,2169,14,0,
750,3,52,0,50,0,2141,0,0,
760,3,0,0,0,0,2276,10,10,
770,2,0,0,0,0,2065,0,0,
780,3,0,0,0,0,2173,0,0,
790,3,0,0,0,0,1938,13,0,
800,3,0,0,0,0,2081,3,7,
810,3,0,0,0,0,2152,0,4,
820,3,0,0,0,0,2228,10,10,
830,3,0,6,0,0,2210,0,0,
1850,3,4,3,3,0,2124,1,1,
2840,3,4,3,3,0,2106,1,1,
3840,3,4,3,3,0,2121,1,2,
4840,3,4,3,3,0,2110,2,1,
5850,3,4,3,3,0,2075,1,2,
6840,3,4,3,3,0,2094,1,1,
7840,3,4,3,3,0,2110,1,1,
8840,3,4,3,3,0,2130,36,2,
8990,4,4,3,3,0,2079,2,6,
9000,0,4,3,3,0,2095,0,4,
9020,3,24,3,3,0,2046,0,0,
9030,3,0,3,4,0,1935,0,0,
9050,3,0,3,3,0,2180,5,5,
9060,3,0,3,3,0,1654,0,0,
9070,3,0,3,3,0,2337,0,0,
9080,3,0,3,3,0,2110,0,0,
9090,3,0,43,3,0,2055,0,0,
9110,3,5,0,19,0,2096,4,4,
9120,3,0,0,0,0,2205,0,0,
9130,3,3,0,0,0,2127,123,97,
9140,3,4,0,0,0,7197,4264717,4,
9150,41,5,0,0,0,16048,12536908,0,
9170,0,5,0,0,0,13655,10104840,7,
9180,0,4,0,0,0,2806,0,0,
9190,0,4,7,0,0,2920,0,0,
9200,0,5,0,0,0,12130,8645659,0,
9210,0,46,3,8,0,29952,25030305,0,
9220,0,0,6,0,0,33943,25401164,16,
