test-vm,vm-1,vm-2,vm-3,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
248,496,424,512,
0,32,32,0,
72,72,72,2904,
0,0,0,4568,
0,0,0,2160,
0,0,0,136,
0,0,0,224,
0,0,0,0,
0,0,0,0,
0,0,0,136,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,136,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,80,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,80,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,80,
0,0,0,0,
0,0,0,0,
832,265336,13444224,728,
0,691304,31500936,0,
0,683624,31414264,0,
0,679584,31299928,80,
0,668272,31446320,0,
0,685872,31437184,0,
0,417744,31836832,26682560,
0,22808,32256080,61679408,
0,38480,32232440,61713128,
0,26160,32283112,61723472,
0,32048,32184800,61686112,
0,42096,32184648,61689104,
0,38893088,32240616,62226176,
0,92686928,32158408,62533720,
0,91783248,32209048,62796392,
0,91820552,32225744,62772008,
0,91815584,32200888,62782928,
0,92006936,32206392,62699512,
0,50175688,17607264,34324296,
0,0,0,0,
0,0,0,0,
0,0,0,136,
0,0,104,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,80,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,80,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,80,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,80,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,80,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,80,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,80,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,80,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,80,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
