test-vm,vm-1,vm-2,vm-3,
0,0,0,8,
0,0,0,16,
0,0,0,16,
0,0,0,8,
0,0,0,16,
0,0,0,16,
0,0,0,8,
0,0,0,16,
0,0,0,16,
8,0,0,8,
0,8,0,16,
0,0,8,16,
0,0,0,8,
0,0,0,16,
0,0,0,16,
0,0,0,8,
0,0,0,16,
0,0,0,136,
0,0,0,16,
0,0,0,8,
0,0,0,16,
0,0,0,8,
0,0,0,16,
0,0,0,16,
0,0,0,8,
0,0,0,16,
0,0,0,16,
0,0,0,8,
16,8,0,24,
0,8,0,24,
8,0,0,8,
0,8,0,16,
0,0,8,16,
0,0,0,8,
0,0,0,16,
0,0,0,16,
0,0,0,88,
0,0,0,16,
0,0,0,16,
0,0,0,16,
0,0,0,16,
0,0,0,16,
0,0,0,8,
0,0,0,16,
0,0,0,16,
0,0,0,8,
0,0,0,16,
0,0,0,16,
0,0,0,8,
0,0,0,16,
8,0,8,16,
0,8,16,8,
480,8,16,24,
16,425944,31047400,23525816,
0,55352240,26466584,51153312,
0,0,0,160,
0,32,32,16,
0,7102784,80,42094472,
0,48493416,56,32281848,
0,0,0,24,
0,0,0,8,
0,0,0,16,
0,0,0,16,
0,0,0,8,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
104,104,104,192,
0,32,32,32,
0,80,48,48,
0,0,32,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
64,0,0,0,
712,712,712,680,
0,0,0,0,
0,0,0,48,
128,128,4728,160,
0,0,64,0,
0,0,0,0,
0,0,840,46983608,
0,0,32,61573560,
0,0,168,62037480,
0,0,0,61784368,
0,72,32,61330664,
0,32,0,62266144,
0,69710608,0,61741288,
0,92653352,0,61885288,
0,92804984,0,61728000,
0,92632784,32,61899128,
0,92757256,0,61720504,
0,92676224,0,61906680,
0,22274152,544,14213328,
0,0,0,0,
0,0,0,104,
0,0,104,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,104,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,32,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,48,
0,0,0,136,
0,0,0,0,
